rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
144,691788,Joe Mack,MIA,SF,2026-06-20T20:10:00Z,Pre-Game,8,Trevor McDonald,686790,R,42.4,Longshot,Watch List,"Platoon Edge, Hot Hitter/Streak",36.7,26.8,35.0,52.4,80.0,81.7,Yes,Yes,8,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,19,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 5.3% barrel, 3.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.5,37.8,89.4,99.7265,0.408,0.17,0.313,74.5,44.4,51.4,21.6,3.0,0.137,5.34,40.07,89.58,0.376,0.1234,13.87,None,72,loanDepot park,
145,681198,TJ Rumfield,COL,PIT,2026-06-21T01:10:00Z,Scheduled,3,Paul Skenes,694973,R,42.3,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",20.1,22.0,38.7,92.1,80.0,88.7,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,29,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 5.8% barrel, 8.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.4,32.7,84.5,97.2875,0.398,0.149,0.323,69.1,9.8,47.3,27.7,11.0,0.197,5.8,37.16,87.46,0.3175,0.1183,21.75,,,Coors Field,
146,681508,Mickey Gasper,BOS,SEA,2026-06-21T02:10:00Z,Scheduled,1,Emerson Hancock,676106,R,42.3,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",18.7,53.1,25.4,88.7,75.0,8.1,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,23,0,"Last 7 games: 4/23, 0 HR","switch hitter; pitcher baseline 9.8% barrel, 12.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.96,35.96,88.43,98.4524,0.3096,0.0992,0.2675,71.44,11.58,40.24,31.48,0.6,0.0726,9.8,44.04,90.05,0.461,0.1955,28.24,,,T-Mobile Park,
147,665926,Andrés Giménez,TOR,CHC,2026-06-20T18:20:00Z,Pre-Game,8,Colin Rea,607067,R,42.2,Longshot,Watch List,Platoon Edge,8.2,59.7,55.3,52.4,80.0,46.0,Yes,Yes,8,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,23,1,"Last 7 games: 7/23, 1 HR","platoon edge; pitcher baseline 11.6% barrel, 14.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.84,24.69,86.3,95.8437,0.3295,0.0978,0.2758,68.32,4.86,37.05,23.09,7.0,0.1303,11.56,41.91,90.15,0.4814,0.2064,26.33,L To R,74,Wrigley Field,
148,665804,Miguel Amaya,CHC,TOR,2026-06-20T18:20:00Z,Pre-Game,8,Patrick Corbin,571578,L,42.2,Longshot,Watch List,Platoon Edge,22.3,44.7,55.3,52.4,78.0,28.2,Yes,Yes,8,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,13,0,"Last 7 games: 4/13, 0 HR","platoon edge; pitcher baseline 8.1% barrel, 11.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.58,30.38,86.19,97.3648,0.3517,0.1322,0.3076,70.66,12.89,41.5,32.79,3.3,0.1651,8.12,41.94,89.06,0.4579,0.1745,24.18,L To R,74,Wrigley Field,
149,669392,Samad Taylor,SD,TEX,2026-06-20T20:05:00Z,Pre-Game,2,MacKenzie Gore,669022,L,42.2,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",2.5,47.2,41.1,100.0,78.0,57.2,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,11,29,1,Contact streak: 11/29 over last 7 games,"platoon edge; pitcher baseline 9.4% barrel, 11.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,2.38,20.62,81.44,93.5103,0.3357,0.0682,0.288,68.67,3.64,31.65,10.96,0.7,0.07,9.41,44.1,89.91,0.3961,0.1565,28.21,None,72,Globe Life Field,
150,672640,Otto Lopez,MIA,SF,2026-06-20T20:10:00Z,Pre-Game,2,Trevor McDonald,686790,R,42.2,Longshot,Watch List,Premium Lineup Spot,33.8,26.8,35.0,100.0,50.0,16.6,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,26,0,"Last 7 games: 6/26, 0 HR","same-side matchup; pitcher baseline 5.3% barrel, 3.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.82,42.64,89.62,100.8913,0.4431,0.1552,0.3349,72.05,25.15,32.09,22.64,8.0,0.1318,5.34,40.07,89.58,0.376,0.1234,13.87,None,72,loanDepot park,
151,543760,Marcus Semien,NYM,PHI,2026-06-20T23:15:00Z,Scheduled,6,Cristopher Sánchez,650911,L,42.1,Longshot,Watch List,"Projected Lineup, Platoon Edge",28.6,34.8,34.3,71.7,78.0,42.3,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,25,1,"Last 7 games: 7/25, 1 HR","platoon edge; pitcher baseline 8.1% barrel, 7.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.06,35.28,86.83,97.7328,0.4188,0.1635,0.3229,68.61,2.99,47.05,30.81,10.8,0.1361,8.08,42.18,89.21,0.3548,0.1312,17.53,,,Citizens Bank Park,
152,682177,Daniel Schneemann,CLE,HOU,2026-06-20T23:15:00Z,Scheduled,5,Spencer Arrighetti,681293,R,41.9,Longshot,Watch List,"Projected Lineup, Platoon Edge",31.5,27.2,27.6,81.9,80.0,43.7,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,18,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 6.4% barrel, 3.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.49,39.39,88.06,98.9548,0.3744,0.1513,0.297,71.18,12.63,44.48,29.09,7.8,0.1445,6.42,34.04,87.56,0.3812,0.1406,27.32,,,Daikin Park,
153,647304,Josh Naylor,SEA,BOS,2026-06-21T02:10:00Z,Scheduled,4,Connelly Early,813349,L,41.9,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",26.1,45.9,25.4,90.4,50.0,27.1,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,28,1,"Last 7 games: 5/28, 1 HR","same-side matchup; pitcher baseline 9.3% barrel, 9.8 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,5.51,39.24,88.22,99.3497,0.4136,0.1415,0.3259,70.51,10.76,44.3,23.06,11.6,0.1334,9.3,41.61,89.72,0.3897,0.1617,31.31,,,T-Mobile Park,
