rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
197,814439,Ryan Waldschmidt,AZ,WSH,2026-07-25T20:05:00Z,Warmup,9,Foster Griffin,656492,L,39.9,Longshot,Watch List,Platoon Edge,28.1,41.2,38.2,44.8,78.0,34.4,Yes,,,No,Yes,MLB Stats API; RotoWire,not found on RotoWire,H:2026 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,22,1,"Last 7 games: 5/22, 1 HR","platoon edge; pitcher baseline 9.5% barrel, 17.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.2,35.3,87.5,98.4239,0.367,0.133,0.284,72.4,19.1,35.3,30.6,1.0,0.112,9.5,37.2,87.5,0.403,0.16,24.4,In From RF,82,Nationals Park,
198,669224,Austin Wells,NYY,PHI,2026-07-25T22:05:00Z,Pre-Game,9,Tim Mayza,641835,L,39.8,Longshot,Watch List,No major boost,35.3,32.5,48.8,44.8,50.0,44.5,Yes,Yes,9,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,17,1,"Last 7 games: 5/17, 1 HR","same-side matchup; pitcher baseline 6.6% barrel, 3.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.47,43.94,89.27,100.5151,0.3682,0.1556,0.2933,72.98,28.05,46.94,32.65,10.5,0.1337,6.64,45.53,89.36,0.3609,0.1335,20.01,In From RF,81,Citizens Bank Park,
199,681198,TJ Rumfield,COL,MIL,2026-07-25T23:10:00Z,Pre-Game,5,Robert Gasser,688107,L,39.4,Longshot,Watch List,No major boost,14.5,37.5,41.1,86.4,50.0,56.6,Yes,No,5,Yes,Yes,MLB Stats API; RotoWire,RotoWire not confirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,24,1,Contact streak: 9/24 over last 7 games,"same-side matchup; pitcher baseline 8.4% barrel, 8.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.3,28.4,83.9,96.4182,0.387,0.132,0.327,68.9,8.6,44.6,28.4,13.0,0.181,8.37,34.95,88.34,0.3911,0.1677,28.78,None,72,American Family Field,
200,664983,Jake McCarthy,COL,MIL,2026-07-25T23:10:00Z,Pre-Game,1,Robert Gasser,688107,L,39.2,Longshot,Watch List,Premium Lineup Spot,15.0,37.5,41.1,93.2,50.0,30.4,Yes,No,1,Yes,Yes,MLB Stats API; RotoWire,RotoWire not confirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,31,0,Contact streak: 10/31 over last 7 games,"same-side matchup; pitcher baseline 8.4% barrel, 8.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.44,26.34,85.12,96.4643,0.388,0.1336,0.3028,70.71,11.37,37.66,21.31,8.2,0.1893,8.37,34.95,88.34,0.3911,0.1677,28.78,None,72,American Family Field,
201,650333,Luis Arraez,SF,LAA,2026-07-25T20:05:00Z,Warmup,1,Ryan Johnson,696270,R,39.1,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",6.9,39.4,42.8,93.2,80.0,14.1,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,28,0,"Last 7 games: 6/28, 0 HR","platoon edge; pitcher baseline 8.1% barrel, 8.2 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,0.68,19.64,86.66,94.0434,0.3679,0.083,0.303,63.09,0.12,29.82,27.05,5.2,0.1168,8.08,35.86,87.26,0.4248,0.1784,33.46,Varies,66,Oracle Park,
202,680700,Richie Palacios,TB,CLE,2026-07-25T22:10:00Z,Pre-Game,7,Tanner Bibee,676440,R,39.1,Longshot,Watch List,Platoon Edge,13.8,45.8,41.1,64.3,80.0,24.0,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,19,1,"Last 7 games: 3/19, 1 HR","platoon edge; pitcher baseline 8.6% barrel, 22.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.71,30.8,86.96,96.616,0.3646,0.1004,0.3215,68.87,3.31,33.87,20.56,3.1,0.1134,8.59,39.33,89.27,0.4186,0.1702,27.76,None,72,Tropicana Field,
203,641487,J.P. Crawford,SEA,TEX,2026-07-25T23:15:00Z,Pre-Game,8,Nathan Eovaldi,543135,R,39.1,Longshot,Watch List,Platoon Edge,22.7,41.7,41.1,52.4,80.0,18.0,Yes,Yes,8,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,25,0,"Last 7 games: 6/25, 0 HR","platoon edge; pitcher baseline 8.2% barrel, 18.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.16,35.75,87.9,98.4118,0.3762,0.1256,0.3311,71.31,18.95,35.7,20.09,10.6,0.1274,8.24,40.11,88.74,0.3965,0.1607,25.32,None,72,Globe Life Field,
204,690924,Braxton Fulford,COL,MIL,2026-07-25T23:10:00Z,Pre-Game,7,Robert Gasser,688107,L,39.0,Longshot,Watch List,Platoon Edge,22.3,37.5,41.1,64.3,78.0,9.3,Yes,No,7,Yes,Yes,MLB Stats API; RotoWire,RotoWire not confirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,11,0,"Last 7 games: 2/11, 0 HR","platoon edge; pitcher baseline 8.4% barrel, 8.0 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,7.75,32.19,86.95,97.9376,0.2619,0.1028,0.2263,71.88,22.02,26.86,37.54,1.0,0.1166,8.37,34.95,88.34,0.3911,0.1677,28.78,None,72,American Family Field,
205,802415,Chandler Simpson,TB,CLE,2026-07-25T22:10:00Z,Pre-Game,5,Tanner Bibee,676440,R,38.8,Longshot,Watch List,Platoon Edge,0.2,45.8,41.1,86.4,80.0,45.0,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,12,25,0,Contact streak: 12/25 over last 7 games,"platoon edge; pitcher baseline 8.6% barrel, 22.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,0.0,14.92,83.88,93.0399,0.3073,0.0382,0.2767,64.76,0.37,26.59,12.79,0.0,0.0598,8.59,39.33,89.27,0.4186,0.1702,27.76,None,72,Tropicana Field,
206,660688,Keibert Ruiz,WSH,AZ,2026-07-25T20:05:00Z,Warmup,9,Mitch Bratt,683352,L,38.5,Longshot,Watch List,Platoon Edge,18.8,50.1,38.2,44.8,75.0,30.3,Yes,Yes,9,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,20,1,"Last 7 games: 4/20, 1 HR","switch hitter; pitcher baseline 10.8% barrel, 3.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,4.37,36.71,88.16,97.7954,0.3608,0.115,0.2793,67.22,0.51,54.26,27.61,5.5,0.1529,10.8,37.8,87.9,0.451,0.206,35.1,In From RF,82,Nationals Park,
207,593428,Xander Bogaerts,SD,MIA,2026-07-25T20:10:00Z,Pre-Game,8,Eury Pérez,691587,R,38.4,Longshot,Watch List,No major boost,27.2,51.0,35.0,52.4,50.0,1.6,Yes,Yes,8,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,23,0,"Last 7 games: 3/23, 0 HR","same-side matchup; pitcher baseline 11.2% barrel, 12.7 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,6.41,38.85,88.37,99.7444,0.3836,0.1348,0.32,72.34,27.68,44.64,23.83,9.6,0.1119,11.17,41.6,88.89,0.387,0.1784,31.22,None,72,loanDepot park,
208,695731,Braden Montgomery,CWS,HOU,2026-07-25T23:10:00Z,Pre-Game,6,Hunter Brown,686613,R,38.4,Longshot,Watch List,Platoon Edge,20.9,19.1,53.1,76.2,75.0,30.2,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,28,0,Contact streak: 9/28 over last 7 games,"switch hitter; pitcher baseline 5.9% barrel, 8.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.8,40.0,89.0,99.9419,0.367,0.121,0.302,69.7,8.9,32.4,19.0,3.0,0.159,5.9,36.4,85.61,0.3306,0.1248,21.41,R To L,78,Rate Field,
209,808982,Jung Hoo Lee,SF,LAA,2026-07-25T20:05:00Z,Warmup,6,Ryan Johnson,696270,R,38.3,Longshot,Watch List,Platoon Edge,10.6,39.4,42.8,76.2,80.0,20.9,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,27,0,"Last 7 games: 7/27, 0 HR","platoon edge; pitcher baseline 8.1% barrel, 8.2 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,2.65,29.48,87.03,96.5293,0.3808,0.0919,0.3154,68.37,2.77,39.44,21.96,5.9,0.1284,8.08,35.86,87.26,0.4248,0.1784,33.46,Varies,66,Oracle Park,
210,805347,Jim Jarvis,ATL,BAL,2026-07-25T23:05:00Z,Pre-Game,9,Brandon Young,687064,R,38.3,Longshot,Watch List,Platoon Edge,23.3,40.7,43.1,44.8,80.0,17.7,Yes,Yes,9,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,21,0,"Last 7 games: 5/21, 0 HR","platoon edge; pitcher baseline 7.3% barrel, 9.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.7,40.0,88.8,98.6304,0.354,0.096,0.286,70.8,10.6,35.6,17.8,1.0,0.16,7.33,42.2,89.4,0.4117,0.1609,27.29,In From RF,82,Oriole Park at Camden Yards,
211,669242,Tommy Edman,LAD,NYM,2026-07-25T23:15:00Z,Pre-Game,8,Nolan McLean,690997,R,38.1,Longshot,Watch List,"Projected Lineup, Platoon Edge",30.7,25.7,38.8,47.9,75.0,50.3,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,24,1,Contact streak: 8/24 over last 7 games,"switch hitter; pitcher baseline 7.0% barrel, 8.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.09,41.72,89.21,100.6373,0.4411,0.1328,0.3609,70.48,11.93,44.42,22.65,5.3,0.1619,6.95,37.52,88.1,0.3367,0.1208,20.3,In From RF,76,Citi Field,
212,678662,Ezequiel Tovar,COL,MIL,2026-07-25T23:10:00Z,Pre-Game,9,Robert Gasser,688107,L,37.9,Longshot,Watch List,Platoon Edge,28.6,37.5,41.1,44.8,78.0,0.0,Yes,No,9,Yes,Yes,MLB Stats API; RotoWire,RotoWire not confirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,22,0,"Last 7 games: 2/22, 0 HR","platoon edge; pitcher baseline 8.4% barrel, 8.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.34,34.7,87.93,98.9093,0.3829,0.1527,0.2847,71.95,20.71,37.33,30.13,8.3,0.1302,8.37,34.95,88.34,0.3911,0.1677,28.78,None,72,American Family Field,
213,680757,Steven Kwan,CLE,TB,2026-07-25T22:10:00Z,Pre-Game,1,Nick Martinez,607259,R,37.7,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",2.1,34.7,41.1,93.2,80.0,45.0,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,13,25,0,Contact streak: 13/25 over last 7 games,"platoon edge; pitcher baseline 7.1% barrel, 14.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,0.78,12.3,84.24,92.4198,0.3401,0.0706,0.317,63.07,0.38,27.88,23.44,4.0,0.0719,7.07,33.24,87.46,0.4303,0.1572,28.33,None,72,Tropicana Field,
214,691458,Blaze Jordan,STL,CIN,2026-07-25T23:15:00Z,Scheduled,8,Hunter Greene,668881,R,37.7,Longshot,Watch List,Projected Lineup,30.4,50.1,22.1,47.9,50.0,22.9,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,22,0,"Last 7 games: 6/22, 0 HR","same-side matchup; pitcher baseline 8.7% barrel, 6.6 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,6.9,43.7,89.0,99.4898,0.389,0.132,0.295,72.8,30.4,39.1,20.7,1.0,0.122,8.72,43.74,91.03,0.4203,0.1864,32.25,,,Busch Stadium,
215,677649,Ezequiel Duran,TEX,SEA,2026-07-25T23:15:00Z,Pre-Game,6,Bryan Woo,693433,R,37.7,Longshot,Watch List,Projected Lineup,19.1,41.2,41.1,71.7,50.0,16.6,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,26,0,"Last 7 games: 6/26, 0 HR","same-side matchup; pitcher baseline 7.6% barrel, 16.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.19,35.03,87.61,98.8211,0.3503,0.1076,0.2876,72.27,23.85,34.33,19.83,7.0,0.1362,7.63,42.43,89.45,0.3793,0.1492,28.62,None,72,Globe Life Field,
216,663968,Jake Mangum,PIT,CHC,2026-07-25T22:40:00Z,Scheduled,1,Shota Imanaga,684007,L,37.6,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",4.7,51.0,24.3,88.7,75.0,20.7,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,31,0,"Last 7 games: 8/31, 0 HR","switch hitter; pitcher baseline 10.4% barrel, 24.7 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,1.79,28.08,85.48,96.306,0.3304,0.0738,0.283,67.23,3.83,28.07,14.51,2.3,0.0706,10.41,38.53,88.81,0.4235,0.1905,32.99,,,PNC Park,
217,643289,Mauricio Dubón,ATL,BAL,2026-07-25T23:05:00Z,Pre-Game,5,Brandon Young,687064,R,37.6,Longshot,Watch List,No major boost,11.8,40.7,43.1,86.4,50.0,16.6,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,26,0,"Last 7 games: 6/26, 0 HR","same-side matchup; pitcher baseline 7.3% barrel, 9.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.65,29.45,85.9,96.4398,0.3709,0.1092,0.3018,68.76,3.19,32.31,24.11,9.1,0.1371,7.33,42.2,89.4,0.4117,0.1609,27.29,In From RF,82,Oriole Park at Camden Yards,
218,701675,Nathan Church,STL,CIN,2026-07-25T23:15:00Z,Scheduled,7,Hunter Greene,668881,R,37.3,Longshot,Watch List,"Projected Lineup, Platoon Edge",18.2,50.1,22.1,59.8,80.0,7.0,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,18,0,"Last 7 games: 3/18, 0 HR","platoon edge; pitcher baseline 8.7% barrel, 6.6 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,5.9,35.13,86.9,98.1044,0.3378,0.1165,0.2708,69.77,8.48,34.64,19.22,5.9,0.1158,8.72,43.74,91.03,0.4203,0.1864,32.25,,,Busch Stadium,
219,675961,Alika Williams,ATH,MIN,2026-07-25T23:10:00Z,Pre-Game,9,Mike Paredes,702474,R,36.9,Longshot,Watch List,"Projected Lineup, Good Environment",9.0,48.7,71.1,40.2,50.0,28.2,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,13,0,"Last 7 games: 4/13, 0 HR","same-side matchup; pitcher baseline 6.8% barrel, 6.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,0.0,35.8,85.6,97.3572,0.272,0.059,0.229,69.5,4.3,36.8,22.1,2.0,0.159,6.8,50.8,91.5,0.446,0.167,29.7,Out To RF,94,Target Field,
220,687401,Joey Ortiz,MIL,COL,2026-07-25T23:10:00Z,Pre-Game,9,Ryan Feltner,663372,R,36.7,Longshot,Watch List,Projected Lineup,15.7,49.0,41.1,40.2,50.0,68.7,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,21,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 9.1% barrel, 11.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.77,34.48,87.14,98.7118,0.341,0.0967,0.2939,72.82,28.88,30.65,21.22,5.6,0.1038,9.07,39.27,88.74,0.4624,0.208,28.6,None,72,American Family Field,
221,806198,Cooper Pratt,MIL,COL,2026-07-25T23:10:00Z,Pre-Game,8,Ryan Feltner,663372,R,36.6,Longshot,Watch List,Projected Lineup,15.7,49.0,41.1,47.9,50.0,46.0,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,23,1,"Last 7 games: 7/23, 1 HR","same-side matchup; pitcher baseline 9.1% barrel, 11.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.1,30.7,88.3,97.4293,0.38,0.097,0.336,70.3,8.8,34.7,21.3,1.0,0.086,9.07,39.27,88.74,0.4624,0.208,28.6,None,72,American Family Field,
222,655316,Andruw Monasterio,BOS,TOR,2026-07-25T20:10:00Z,Pre-Game,8,Dylan Cease,656302,R,36.4,Longshot,Watch List,No major boost,29.5,21.4,43.7,52.4,50.0,63.3,Yes,Yes,8,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,21,1,Contact streak: 9/21 over last 7 games,"same-side matchup; pitcher baseline 6.4% barrel, 11.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.03,36.71,88.19,98.0843,0.3882,0.1474,0.2982,69.17,3.18,41.6,32.53,4.7,0.1824,6.36,34.35,86.8,0.3149,0.1128,22.81,In From RF,76,Fenway Park,
223,669707,Jared Triolo,PIT,CHC,2026-07-25T22:40:00Z,Scheduled,9,Shota Imanaga,684007,L,36.4,Longshot,Watch List,"Projected Lineup, Platoon Edge",16.1,52.4,24.3,40.2,78.0,45.0,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,22,0,Contact streak: 10/22 over last 7 games,"platoon edge; pitcher baseline 10.4% barrel, 24.7 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,3.61,37.43,87.81,98.5724,0.3326,0.0943,0.289,70.97,8.07,37.64,21.45,2.8,0.0884,10.41,38.53,88.81,0.4235,0.1905,32.99,,,PNC Park,
224,608324,Alex Bregman,CHC,PIT,2026-07-25T22:40:00Z,Scheduled,4,Paul Skenes,694973,R,36.0,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",23.8,25.0,24.3,90.4,50.0,28.1,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,27,1,"Last 7 games: 5/27, 1 HR","same-side matchup; pitcher baseline 6.0% barrel, 11.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.99,38.52,88.49,98.1342,0.3717,0.1327,0.3146,70.16,5.01,47.0,25.48,12.4,0.1393,6.01,38.56,87.95,0.3203,0.1155,23.71,,,PNC Park,
225,543760,Marcus Semien,NYM,LAD,2026-07-25T23:15:00Z,Pre-Game,7,Yoshinobu Yamamoto,808967,R,35.6,Longshot,Watch List,No major boost,26.6,27.6,38.8,64.3,50.0,18.3,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,27,1,"Last 7 games: 3/27, 1 HR","same-side matchup; pitcher baseline 6.4% barrel, 13.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.36,35.21,86.9,97.6275,0.3992,0.1544,0.3103,68.61,2.92,46.0,31.51,11.5,0.1312,6.4,36.41,87.95,0.3453,0.1277,23.99,In From RF,76,Citi Field,
226,553869,Elias Diaz,TEX,SEA,2026-07-25T23:15:00Z,Pre-Game,9,Bryan Woo,693433,R,35.3,Longshot,Watch List,Projected Lineup,25.4,41.2,41.1,40.2,50.0,14.6,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,23,0,"Last 7 games: 5/23, 0 HR","same-side matchup; pitcher baseline 7.6% barrel, 16.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.2,36.81,86.79,99.5926,0.375,0.1303,0.2817,74.41,43.47,39.89,27.45,5.5,0.1631,7.63,42.43,89.45,0.3793,0.1492,28.62,None,72,Globe Life Field,
227,593871,Jorge Polanco,NYM,LAD,2026-07-25T23:15:00Z,Pre-Game,6,Yoshinobu Yamamoto,808967,R,35.2,Longshot,Watch List,Platoon Edge,17.2,26.2,38.8,76.2,75.0,0.0,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,23,0,"Last 7 games: 2/23, 0 HR","switch hitter; pitcher baseline 6.4% barrel, 13.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.19,33.62,86.81,98.0379,0.3366,0.114,0.2709,70.08,7.29,44.83,24.29,8.5,0.125,6.4,36.41,87.95,0.3453,0.1277,23.99,In From RF,76,Citi Field,
228,683083,Nasim Nuñez,WSH,AZ,2026-07-25T20:05:00Z,Warmup,8,Mitch Bratt,683352,L,35.1,Longshot,Watch List,Platoon Edge,4.8,50.1,38.2,52.4,75.0,33.9,Yes,Yes,8,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,26,0,Contact streak: 9/26 over last 7 games,"switch hitter; pitcher baseline 10.8% barrel, 3.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,1.76,26.94,85.87,95.9192,0.3026,0.0734,0.2785,68.77,5.01,32.27,18.4,1.9,0.0825,10.8,37.8,87.9,0.451,0.206,35.1,In From RF,82,Nationals Park,
229,671289,Tyler Freeman,COL,MIL,2026-07-25T23:10:00Z,Pre-Game,8,Robert Gasser,688107,L,34.9,Longshot,Watch List,Platoon Edge,16.2,37.5,41.1,52.4,78.0,0.0,Yes,No,8,Yes,Yes,MLB Stats API; RotoWire,RotoWire not confirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,26,0,"Last 7 games: 3/26, 0 HR","platoon edge; pitcher baseline 8.4% barrel, 8.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,1.68,36.9,88.63,98.7065,0.36,0.0901,0.318,70.74,12.99,34.44,20.87,2.7,0.0751,8.37,34.95,88.34,0.3911,0.1677,28.78,None,72,American Family Field,
230,691026,Masyn Winn,STL,CIN,2026-07-25T23:15:00Z,Scheduled,6,Hunter Greene,668881,R,34.9,Longshot,Watch List,Projected Lineup,15.1,50.1,22.1,71.7,50.0,0.0,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,22,0,"Last 7 games: 2/22, 0 HR","same-side matchup; pitcher baseline 8.7% barrel, 6.6 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,3.75,35.09,88.09,98.6617,0.333,0.0867,0.2958,71.17,15.55,32.74,20.97,5.5,0.0904,8.72,43.74,91.03,0.4203,0.1864,32.25,,,Busch Stadium,
231,806068,Colt Emerson,SEA,TEX,2026-07-25T23:15:00Z,Pre-Game,9,Nathan Eovaldi,543135,R,34.9,Longshot,Watch List,Platoon Edge,14.8,41.7,41.1,44.8,80.0,8.1,Yes,Yes,9,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,23,0,"Last 7 games: 4/23, 0 HR","platoon edge; pitcher baseline 8.2% barrel, 18.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.6,29.6,86.3,96.8922,0.287,0.106,0.244,72.5,25.2,40.7,22.2,7.0,0.173,8.24,40.11,88.74,0.3965,0.1607,25.32,None,72,Globe Life Field,
232,687551,Drew Gilbert,SF,LAA,2026-07-25T20:05:00Z,Warmup,8,Ryan Johnson,696270,R,34.6,Longshot,Watch List,Platoon Edge,10.8,39.4,42.8,52.4,80.0,13.3,Yes,Yes,8,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,24,0,"Last 7 games: 5/24, 0 HR","platoon edge; pitcher baseline 8.1% barrel, 8.2 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,2.66,34.05,85.9,97.5137,0.3296,0.0957,0.2856,70.45,10.3,39.72,18.43,3.7,0.1348,8.08,35.86,87.26,0.4248,0.1784,33.46,Varies,66,Oracle Park,
