rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
151,683146,Brett Baty,NYM,LAD,2026-07-25T23:15:00Z,Pre-Game,8,Yoshinobu Yamamoto,808967,R,43.9,Longshot,Watch List,"Strong Barrel, Platoon Edge, Hot Hitter/Streak",39.6,27.6,38.8,52.4,80.0,77.4,Yes,Yes,8,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,26,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 6.4% barrel, 13.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.03,41.79,89.86,101.3465,0.401,0.1595,0.3144,74.94,52.35,37.08,24.42,9.6,0.1299,6.4,36.41,87.95,0.3453,0.1277,23.99,In From RF,76,Citi Field,
152,681351,Logan O'Hoppe,LAA,SF,2026-07-25T20:05:00Z,Warmup,9,Robbie Ray,592662,L,43.8,Longshot,Watch List,"Strong Barrel, Platoon Edge",36.1,50.7,42.8,44.8,78.0,0.0,Yes,Yes,9,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,21,0,"Last 7 games: 2/21, 0 HR","platoon edge; pitcher baseline 9.4% barrel, 17.1 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,11.2,39.55,88.1,99.838,0.3641,0.1543,0.28,72.07,24.04,45.22,29.28,8.5,0.1097,9.39,40.29,89.74,0.4116,0.1786,35.48,Varies,66,Oracle Park,
153,683953,Travis Bazzana,CLE,TB,2026-07-25T22:10:00Z,Pre-Game,3,Nick Martinez,607259,R,43.8,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",21.6,34.7,41.1,96.6,80.0,29.2,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,26,1,"Last 7 games: 5/26, 1 HR","platoon edge; pitcher baseline 7.1% barrel, 14.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.8,36.1,88.1,98.5287,0.352,0.128,0.304,69.8,13.3,39.1,29.5,9.0,0.165,7.07,33.24,87.46,0.4303,0.1572,28.33,None,72,Tropicana Field,
154,686797,Brooks Lee,MIN,ATH,2026-07-25T23:10:00Z,Pre-Game,8,Brady Basso,669620,L,43.6,Longshot,Watch List,"Good Environment, Platoon Edge",18.5,45.6,71.1,52.4,75.0,35.3,Yes,No,8,Yes,Yes,MLB Stats API; RotoWire,RotoWire not confirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,30,1,"Last 7 games: 7/30, 1 HR","switch hitter; pitcher baseline 9.5% barrel, 0.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.47,33.67,87.97,97.432,0.3439,0.1155,0.2778,69.92,8.49,41.43,27.6,15.3,0.1648,9.53,48.72,90.71,0.4089,0.1343,22.12,Out To RF,94,Target Field,
155,663886,Tyler Stephenson,CIN,STL,2026-07-25T23:15:00Z,Scheduled,7,Andre Pallante,669467,R,43.6,Longshot,Watch List,"Projected Lineup, Strong Barrel, Hot Hitter/Streak",51.5,28.6,22.1,59.8,50.0,70.8,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,23,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 6.2% barrel, 13.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,12.82,47.24,90.78,100.6633,0.4522,0.2089,0.3375,70.8,8.68,38.06,32.17,9.5,0.1627,6.25,36.12,88.08,0.3824,0.137,18.24,,,Busch Stadium,
156,571448,Nolan Arenado,AZ,WSH,2026-07-25T20:05:00Z,Warmup,6,Foster Griffin,656492,L,43.5,Longshot,Watch List,"Platoon Edge, Hot Hitter/Streak",20.0,41.2,38.2,76.2,78.0,70.8,Yes,,,No,Yes,MLB Stats API; RotoWire,not found on RotoWire,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,23,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 9.5% barrel, 17.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.38,32.67,85.61,97.1511,0.3639,0.1248,0.2974,71.4,16.27,43.57,27.72,13.4,0.1694,9.5,37.2,87.5,0.403,0.16,24.4,In From RF,82,Nationals Park,
157,694374,Tim Tawa,AZ,WSH,2026-07-25T20:05:00Z,Warmup,7,Foster Griffin,656492,L,43.5,Longshot,Watch List,Platoon Edge,33.2,41.2,38.2,64.3,78.0,18.0,Yes,,,No,Yes,MLB Stats API; RotoWire,not found on RotoWire,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,25,0,"Last 7 games: 6/25, 0 HR","platoon edge; pitcher baseline 9.5% barrel, 17.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.55,40.63,88.99,99.3523,0.3792,0.1536,0.2984,73.94,37.72,42.83,26.82,4.9,0.1614,9.5,37.2,87.5,0.403,0.16,24.4,In From RF,82,Nationals Park,
158,573262,Mike Yastrzemski,ATL,BAL,2026-07-25T23:05:00Z,Pre-Game,8,Brandon Young,687064,R,43.5,Longshot,Watch List,Platoon Edge,33.4,40.7,43.1,52.4,80.0,33.7,Yes,Yes,8,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,18,1,"Last 7 games: 4/18, 1 HR","platoon edge; pitcher baseline 7.3% barrel, 9.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.96,43.16,90.45,99.6729,0.3665,0.1393,0.3066,71.27,8.16,43.87,32.03,9.3,0.142,7.33,42.2,89.4,0.4117,0.1609,27.29,In From RF,82,Oriole Park at Camden Yards,
159,642086,Dominic Smith,ATL,BAL,2026-07-25T23:05:00Z,Pre-Game,6,Brandon Young,687064,R,43.4,Longshot,Watch List,Platoon Edge,22.9,40.7,43.1,76.2,80.0,34.9,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,13,1,"Last 7 games: 3/13, 1 HR","platoon edge; pitcher baseline 7.3% barrel, 9.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.32,35.43,87.77,98.1364,0.3945,0.1408,0.3102,68.47,5.15,37.07,28.33,6.4,0.1323,7.33,42.2,89.4,0.4117,0.1609,27.29,In From RF,82,Oriole Park at Camden Yards,
160,681624,Andy Pages,LAD,NYM,2026-07-25T23:15:00Z,Pre-Game,2,Nolan McLean,690997,R,43.3,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",38.1,26.5,38.8,95.5,50.0,14.1,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,28,0,"Last 7 games: 6/28, 0 HR","same-side matchup; pitcher baseline 7.0% barrel, 8.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.4,42.03,88.95,100.1184,0.4385,0.1735,0.3335,72.95,27.52,36.29,29.14,20.0,0.1932,6.95,37.52,88.1,0.3367,0.1208,20.3,In From RF,76,Citi Field,
