rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
221,800325,Luis Lara,MIL,CHC,2026-09-02T23:40:00Z,Scheduled,8,David Peterson,656849,L,36.1,Longshot,Watch List,"Projected Lineup, Platoon Edge",24.2,34.5,29.8,47.9,75.0,37.3,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,19,0,Contact streak: 7/19 over last 7 games,"switch hitter; pitcher baseline 6.4% barrel, 12.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.9,44.7,89.7,99.0532,0.369,0.091,0.319,71.4,17.0,30.1,15.5,1.0,0.107,6.4,42.64,89.55,0.4105,0.1391,19.15,,,Wrigley Field,
222,701852,Drew Cavanaugh,SF,PIT,2026-09-02T22:40:00Z,Scheduled,6,Bubba Chandler,696149,R,35.8,Longshot,Watch List,"Projected Lineup, Platoon Edge",16.0,34.2,24.3,71.7,80.0,29.4,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,19,0,"Last 7 games: 6/19, 0 HR","platoon edge; pitcher baseline 6.7% barrel, 8.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.4,31.6,85.9,98.6829,0.38,0.12,0.329,69.1,4.5,27.6,21.1,0.0,0.028,6.74,39.16,89.22,0.3814,0.149,25.74,,,PNC Park,
223,694376,Shay Whitcomb,SF,PIT,2026-09-02T22:40:00Z,Scheduled,7,Bubba Chandler,696149,R,35.8,Longshot,Watch List,"Projected Lineup, Strong Barrel",30.5,34.2,24.3,59.8,50.0,19.9,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,23,1,"Last 7 games: 3/23, 1 HR","same-side matchup; pitcher baseline 6.7% barrel, 8.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.64,30.17,85.62,97.4007,0.3356,0.1737,0.2148,71.45,14.56,39.01,32.2,2.4,0.1605,6.74,39.16,89.22,0.3814,0.149,25.74,,,PNC Park,
224,691783,Jordan Lawlar,AZ,PHI,2026-09-02T19:40:00Z,Pre-Game,9,Andrew Painter,691725,R,35.7,Longshot,Watch List,No major boost,18.2,39.6,41.7,44.8,50.0,62.8,Yes,,,No,Yes,MLB Stats API; RotoWire,not found on RotoWire,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,17,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 8.2% barrel, 17.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.46,26.05,87.28,97.1528,0.3633,0.1208,0.3041,70.3,8.5,48.07,33.71,2.8,0.1655,8.2,36.1,87.3,0.424,0.17,26.9,None,72,Chase Field,
225,686555,Isaac Collins,KC,MIA,2026-09-02T23:40:00Z,Scheduled,8,Eury Pérez,691587,R,35.7,Longshot,Watch List,"Projected Lineup, Platoon Edge",22.9,42.0,23.2,47.9,75.0,22.9,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,22,0,"Last 7 games: 6/22, 0 HR","switch hitter; pitcher baseline 9.2% barrel, 13.4 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,5.25,39.74,88.66,99.933,0.3303,0.0969,0.3052,73.33,30.34,39.98,25.88,6.9,0.1284,9.21,41.18,88.96,0.3639,0.1574,30.59,,,Kauffman Stadium,
226,703601,Max Clark,DET,MIN,2026-09-02T23:40:00Z,Scheduled,8,Dean Kremer,665152,R,35.6,Longshot,Watch List,"Projected Lineup, Platoon Edge",16.3,44.2,27.1,47.9,80.0,31.9,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,19,1,"Last 7 games: 4/19, 1 HR","platoon edge; pitcher baseline 8.1% barrel, 17.1 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,1.3,38.5,86.4,97.9733,0.356,0.089,0.305,73.3,28.7,35.9,25.6,2.0,0.158,8.14,36.08,87.96,0.4363,0.1938,32.25,,,Target Field,
227,545121,Ildemaro Vargas,AZ,PHI,2026-09-02T19:40:00Z,Pre-Game,8,Andrew Painter,691725,R,35.4,Longshot,Watch List,Platoon Edge,17.1,37.7,41.7,52.4,75.0,7.9,Yes,,,No,Yes,MLB Stats API; RotoWire,not found on RotoWire,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,29,0,"Last 7 games: 5/29, 0 HR","switch hitter; pitcher baseline 8.2% barrel, 17.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.48,36.11,87.94,98.6201,0.3725,0.1028,0.2968,70.71,14.47,40.43,21.26,7.2,0.1277,8.2,36.1,87.3,0.424,0.17,26.9,None,72,Chase Field,
228,670764,Taylor Walls,TB,NYM,2026-09-02T22:40:00Z,Scheduled,9,Justin Hagenman,663795,R,35.3,Longshot,Watch List,"Projected Lineup, Platoon Edge",5.7,66.2,27.6,40.2,75.0,21.1,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,23,0,"Last 7 games: 6/23, 0 HR","switch hitter; pitcher baseline 12.3% barrel, 4.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,2.29,23.39,86.02,95.4834,0.2754,0.078,0.254,68.35,2.2,38.4,28.98,2.6,0.0808,12.3,50.7,92.1,0.464,0.209,30.1,,,Tropicana Field,
229,807726,John Peck,DET,MIN,2026-09-02T23:40:00Z,Scheduled,9,Dean Kremer,665152,R,35.3,Longshot,Watch List,Projected Lineup,31.9,44.2,27.1,40.2,50.0,0.0,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,2,0,4,0,"Last 2 games: 0/4, 0 HR","same-side matchup; pitcher baseline 8.1% barrel, 17.1 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,0.0,50.0,81.9,97.28,0.44,0.251,0.264,72.2,25.0,0.0,25.0,0.0,0.0,8.14,36.08,87.96,0.4363,0.1938,32.25,,,Target Field,
230,671976,Tristan Peters,CWS,HOU,2026-09-03T00:10:00Z,Scheduled,8,Hayden Wesneski,669713,R,35.3,Longshot,Watch List,"Projected Lineup, Platoon Edge, Hot Hitter/Streak",14.2,37.3,27.6,47.9,80.0,73.2,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,22,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 7.7% barrel, 3.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.92,34.89,87.22,98.0506,0.3278,0.1064,0.2649,69.23,5.53,41.7,19.81,8.4,0.1295,7.7,40.77,89.35,0.3968,0.1529,24.95,,,Daikin Park,
231,701785,Kaelen Culpepper,MIN,DET,2026-09-02T23:40:00Z,Scheduled,8,Drew Anderson,623454,R,35.0,Longshot,Watch List,Projected Lineup,25.8,37.9,27.1,47.9,50.0,42.3,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,25,1,"Last 7 games: 7/25, 1 HR","same-side matchup; pitcher baseline 8.2% barrel, 13.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.2,33.9,87.6,98.4217,0.422,0.157,0.327,73.6,36.2,40.7,23.7,3.0,0.173,8.2,38.0,89.7,0.367,0.143,25.2,,,Target Field,
232,699393,Pedro Ramirez,CHC,MIL,2026-09-02T23:40:00Z,Scheduled,7,Jacob Misiorowski,694819,R,34.8,Longshot,Watch List,"Projected Lineup, Platoon Edge",23.1,17.4,29.8,59.8,75.0,68.7,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,27,2,Hot streak: 2 HR in last 7 games,"switch hitter; pitcher baseline 4.9% barrel, 11.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.3,41.8,89.2,99.6931,0.368,0.103,0.305,72.2,22.2,41.8,21.3,4.0,0.151,4.89,34.63,87.67,0.2782,0.1003,26.41,,,Wrigley Field,
233,643376,Danny Jansen,TEX,ATH,2026-09-02T18:35:00Z,Warmup,9,Jacob Lopez,682052,L,34.7,Longshot,Watch List,Platoon Edge,22.9,22.4,42.1,44.8,78.0,42.4,Yes,Yes,9,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,19,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 5.8% barrel, 15.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,7.54,34.1,87.25,97.6189,0.308,0.1325,0.2657,69.99,6.53,53.84,29.26,7.7,0.1707,5.83,30.89,84.94,0.3431,0.1352,33.39,None,74,Globe Life Field,
234,500743,Miguel Rojas,LAD,STL,2026-09-03T02:10:00Z,Scheduled,7,,,,34.5,Longshot,Watch List,Projected Lineup,18.1,41.2,27.6,59.8,60.0,14.1,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,14,0,"Last 7 games: 3/14, 0 HR","handedness incomplete; pitcher baseline 0.0% barrel, 0.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.94,35.12,87.25,98.0629,0.3867,0.1097,0.3102,68.94,5.21,36.36,22.47,4.2,0.1245,,,,,,,,,UNIQLO Field at Dodger Stadium,
235,640459,Brian Navarreto,MIA,KC,2026-09-02T23:40:00Z,Scheduled,9,Noah Cameron,702070,L,34.3,Longshot,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge",26.9,38.6,23.2,40.2,78.0,0.0,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,1,11,0,"Last 7 games: 1/11, 0 HR","platoon edge; pitcher baseline 7.4% barrel, 15.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,12.33,32.05,87.14,96.7789,0.2664,0.1106,0.2192,73.0,24.64,56.13,19.65,1.0,0.1736,7.42,37.89,88.53,0.4089,0.1611,26.38,,,Kauffman Stadium,
236,641487,J.P. Crawford,SEA,BOS,2026-09-02T20:10:00Z,Pre-Game,8,Patrick Sandoval,663776,L,34.1,Longshot,Watch List,No major boost,21.2,33.1,42.7,52.4,50.0,17.7,Yes,Yes,8,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,21,0,"Last 7 games: 5/21, 0 HR","same-side matchup; pitcher baseline 7.4% barrel, 6.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.67,35.4,87.69,98.316,0.3664,0.1207,0.3231,71.28,18.88,35.07,21.28,10.6,0.1211,7.4,33.8,87.0,0.44,0.167,24.3,In From RF,72,Fenway Park,
237,656716,Zach McKinstry,DET,MIN,2026-09-02T23:40:00Z,Scheduled,6,Dean Kremer,665152,R,34.1,Longshot,Watch List,"Projected Lineup, Platoon Edge",6.8,44.2,27.1,71.7,80.0,0.0,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,21,0,"Last 7 games: 2/21, 0 HR","platoon edge; pitcher baseline 8.1% barrel, 17.1 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,3.37,24.62,85.7,95.6628,0.3272,0.0907,0.2903,67.92,3.93,40.33,27.16,6.4,0.123,8.14,36.08,87.96,0.4363,0.1938,32.25,,,Target Field,
238,702332,Caleb Durbin,BOS,SEA,2026-09-02T20:10:00Z,Pre-Game,6,Bryce Miller,682243,R,33.3,Longshot,Watch List,No major boost,3.7,41.7,42.7,76.2,50.0,9.3,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,22,0,"Last 7 games: 4/22, 0 HR","same-side matchup; pitcher baseline 8.0% barrel, 17.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,3.02,25.92,84.01,95.5947,0.3312,0.0895,0.2938,68.88,5.02,40.25,20.03,11.7,0.1338,8.0,37.61,88.97,0.3933,0.1617,32.14,In From RF,72,Fenway Park,
239,806198,Cooper Pratt,MIL,CHC,2026-09-02T23:40:00Z,Scheduled,9,David Peterson,656849,L,33.2,Longshot,Watch List,"Projected Lineup, Platoon Edge",13.7,35.8,29.8,40.2,78.0,58.7,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,18,1,Contact streak: 7/18 over last 7 games,"platoon edge; pitcher baseline 6.4% barrel, 12.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.8,29.1,87.3,96.9046,0.357,0.103,0.308,70.1,8.9,34.3,24.6,3.0,0.098,6.4,42.64,89.55,0.4105,0.1391,19.15,,,Wrigley Field,
240,657136,Connor Wong,BOS,SEA,2026-09-02T20:10:00Z,Pre-Game,9,Bryce Miller,682243,R,33.0,Longshot,Watch List,No major boost,15.7,41.7,42.7,44.8,50.0,12.0,Yes,Yes,9,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,25,0,"Last 7 games: 5/25, 0 HR","same-side matchup; pitcher baseline 8.0% barrel, 17.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,4.36,34.78,85.99,98.8749,0.3244,0.1034,0.2828,72.79,28.17,40.31,23.42,2.8,0.0991,8.0,37.61,88.97,0.3933,0.1617,32.14,In From RF,72,Fenway Park,
241,701675,Nathan Church,STL,LAD,2026-09-03T02:10:00Z,Scheduled,7,Yoshinobu Yamamoto,808967,R,32.9,Longshot,Watch List,"Projected Lineup, Platoon Edge",15.5,26.2,27.6,59.8,80.0,36.3,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,25,1,"Last 7 games: 6/25, 1 HR","platoon edge; pitcher baseline 6.1% barrel, 15.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.99,33.24,86.76,97.52,0.3357,0.1095,0.2729,69.6,8.55,34.36,21.88,7.3,0.1095,6.12,37.32,87.95,0.3292,0.1179,23.08,,,UNIQLO Field at Dodger Stadium,
242,676609,Jose Caballero,NYY,LAA,2026-09-03T01:38:00Z,Scheduled,8,Reid Detmers,672282,L,32.6,Longshot,Watch List,"Projected Lineup, Platoon Edge",9.6,38.9,28.2,47.9,78.0,42.3,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,25,1,"Last 7 games: 7/25, 1 HR","platoon edge; pitcher baseline 7.8% barrel, 13.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.78,27.17,84.46,96.4369,0.339,0.1122,0.2848,68.89,7.98,41.6,21.87,10.6,0.1292,7.85,39.44,90.03,0.3637,0.1411,27.85,,,Angel Stadium,
243,805300,Jakob Marsee,MIA,KC,2026-09-02T23:40:00Z,Scheduled,7,Noah Cameron,702070,L,32.5,Longshot,Watch List,Projected Lineup,19.8,38.6,23.2,59.8,50.0,8.1,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,23,0,"Last 7 games: 4/23, 0 HR","same-side matchup; pitcher baseline 7.4% barrel, 15.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.74,36.71,87.71,98.5615,0.3531,0.1169,0.3162,70.43,5.93,42.14,23.82,7.1,0.1356,7.42,37.89,88.53,0.4089,0.1611,26.38,,,Kauffman Stadium,
244,807727,Charles McAdoo,TOR,CLE,2026-09-02T22:40:00Z,Scheduled,8,Joey Cantillo,676282,L,32.2,Longshot,Watch List,"Projected Lineup, Platoon Edge",17.9,35.1,27.6,47.9,78.0,0.0,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,25,0,"Last 7 games: 3/25, 0 HR","platoon edge; pitcher baseline 7.5% barrel, 13.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.6,31.5,85.9,97.4656,0.334,0.107,0.269,73.7,36.3,20.4,27.8,2.0,0.109,7.48,39.7,88.45,0.3651,0.1361,26.67,,,Progressive Field,
245,805805,Walker Jenkins,MIN,DET,2026-09-02T23:40:00Z,Scheduled,9,Drew Anderson,623454,R,32.2,Longshot,Watch List,"Projected Lineup, Platoon Edge",14.5,37.9,27.1,40.2,80.0,28.5,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,5,3,16,1,"Last 5 games: 3/16, 1 HR","platoon edge; pitcher baseline 8.2% barrel, 13.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.7,26.7,84.1,94.8595,0.297,0.123,0.279,72.4,24.1,53.3,26.7,1.0,0.25,8.2,38.0,89.7,0.367,0.143,25.2,,,Target Field,
246,664770,Nathan Lukes,TOR,CLE,2026-09-02T22:40:00Z,Scheduled,7,Joey Cantillo,676282,L,32.0,Longshot,Watch List,Projected Lineup,10.8,35.1,27.6,59.8,50.0,59.6,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,22,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 7.5% barrel, 13.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.19,30.49,87.13,96.8396,0.357,0.1022,0.2968,67.23,3.69,33.31,21.3,10.6,0.1317,7.48,39.7,88.45,0.3651,0.1361,26.67,,,Progressive Field,
247,680757,Steven Kwan,CLE,TOR,2026-09-02T22:40:00Z,Scheduled,1,Dylan Cease,656302,R,31.9,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",2.5,21.0,27.6,88.7,80.0,45.0,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,13,30,0,Contact streak: 13/30 over last 7 games,"platoon edge; pitcher baseline 6.2% barrel, 13.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,0.92,12.37,84.52,92.6577,0.3422,0.072,0.3184,62.8,0.31,28.58,23.37,4.7,0.0726,6.15,33.86,86.73,0.3023,0.1093,25.68,,,Progressive Field,
248,665923,Esteury Ruiz,MIA,KC,2026-09-02T23:40:00Z,Scheduled,8,Noah Cameron,702070,L,31.8,Longshot,Watch List,"Projected Lineup, Platoon Edge",16.1,38.6,23.2,47.9,78.0,0.8,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,16,0,"Last 7 games: 2/16, 0 HR","platoon edge; pitcher baseline 7.4% barrel, 15.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.56,26.11,84.09,95.9656,0.3195,0.1358,0.2826,71.24,17.54,43.61,25.41,4.5,0.1682,7.42,37.89,88.53,0.4089,0.1611,26.38,,,Kauffman Stadium,
249,608348,Carson Kelly,CHC,MIL,2026-09-02T23:40:00Z,Scheduled,9,Jacob Misiorowski,694819,R,31.8,Longshot,Watch List,"Projected Lineup, Hot Hitter/Streak",27.0,18.6,29.8,40.2,50.0,75.9,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,27,3,Hot streak: 3 HR in last 7 games,"same-side matchup; pitcher baseline 4.9% barrel, 11.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.8,37.43,87.68,98.7126,0.3879,0.1477,0.3161,70.68,8.4,40.83,26.41,12.1,0.1454,4.89,34.63,87.67,0.2782,0.1003,26.41,,,Wrigley Field,
250,694203,Denzer Guzman,LAA,NYY,2026-09-03T01:38:00Z,Scheduled,8,Cam Schlittler,693645,R,31.8,Longshot,Watch List,Projected Lineup,24.2,35.0,28.2,47.9,50.0,0.0,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,20,0,"Last 7 games: 2/20, 0 HR","same-side matchup; pitcher baseline 7.9% barrel, 12.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.56,36.67,86.43,98.4794,0.3202,0.1127,0.249,73.43,34.85,40.04,23.56,4.8,0.1362,7.92,39.71,88.51,0.3497,0.1337,26.74,,,Angel Stadium,
251,664728,Kyle Isbel,KC,MIA,2026-09-02T23:40:00Z,Scheduled,9,Eury Pérez,691587,R,31.7,Longshot,Watch List,"Projected Lineup, Platoon Edge",13.0,43.4,23.2,40.2,80.0,13.3,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,24,0,"Last 7 games: 5/24, 0 HR","platoon edge; pitcher baseline 9.2% barrel, 13.4 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,2.72,34.77,88.29,99.0463,0.311,0.0826,0.2629,71.1,13.62,32.95,19.43,5.4,0.1155,9.21,41.18,88.96,0.3639,0.1574,30.59,,,Kauffman Stadium,
252,805367,Chase Meidroth,CWS,HOU,2026-09-03T00:10:00Z,Scheduled,7,Hayden Wesneski,669713,R,31.7,Longshot,Watch List,Projected Lineup,12.5,37.3,27.6,59.8,50.0,32.0,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,27,0,Contact streak: 9/27 over last 7 games,"same-side matchup; pitcher baseline 7.7% barrel, 3.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.49,35.05,87.78,97.3583,0.3351,0.094,0.2958,67.12,1.25,38.61,20.19,9.9,0.1097,7.7,40.77,89.35,0.3968,0.1529,24.95,,,Daikin Park,
253,686475,Tyler Tolbert,KC,MIA,2026-09-02T23:40:00Z,Scheduled,7,Eury Pérez,691587,R,31.6,Longshot,Watch List,Projected Lineup,7.9,43.4,23.2,59.8,50.0,44.5,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,12,0,Contact streak: 5/12 over last 7 games,"same-side matchup; pitcher baseline 9.2% barrel, 13.4 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,2.96,29.84,86.06,96.6159,0.3248,0.076,0.3025,69.25,3.58,32.89,23.33,2.4,0.1161,9.21,41.18,88.96,0.3639,0.1574,30.59,,,Kauffman Stadium,
254,683953,Travis Bazzana,CLE,TOR,2026-09-02T22:40:00Z,Scheduled,7,Dylan Cease,656302,R,31.5,Longshot,Watch List,"Projected Lineup, Platoon Edge",19.1,21.0,27.6,59.8,80.0,8.1,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,23,0,"Last 7 games: 4/23, 0 HR","platoon edge; pitcher baseline 6.2% barrel, 13.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.5,36.5,87.8,98.4408,0.338,0.114,0.297,69.6,12.3,38.7,27.9,9.0,0.128,6.15,33.86,86.73,0.3023,0.1093,25.68,,,Progressive Field,
255,673490,Ha-Seong Kim,ATL,WSH,2026-09-02T17:05:00Z,Delayed,9,Brad Lord,695418,R,31.4,Longshot,Watch List,No major boost,14.1,30.9,46.2,44.8,50.0,32.0,Yes,Yes,9,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,15,0,Contact streak: 5/15 over last 7 games,"same-side matchup; pitcher baseline 6.5% barrel, 10.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.87,31.89,87.67,97.2402,0.2587,0.0734,0.2424,71.52,16.82,44.29,30.69,1.5,0.0333,6.47,38.86,87.73,0.3957,0.1495,19.83,In From RF,88,Nationals Park,
