rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
176,660688,Keibert Ruiz,WSH,ATL,2026-09-02T17:05:00Z,Delayed,8,Grant Holmes,656550,R,40.5,Longshot,Watch List,Platoon Edge,15.6,48.4,46.2,52.4,75.0,54.9,Yes,Yes,8,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,22,1,Contact streak: 8/22 over last 7 games,"switch hitter; pitcher baseline 9.0% barrel, 18.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.88,34.75,87.6,97.4949,0.3587,0.1073,0.2842,67.22,0.93,55.31,26.0,6.9,0.1389,8.98,42.81,90.8,0.4224,0.1726,26.55,In From RF,88,Nationals Park,
177,673237,Yainer Diaz,HOU,CWS,2026-09-03T00:10:00Z,Scheduled,7,Davis Martin,663436,R,40.5,Longshot,Watch List,Projected Lineup,28.7,45.0,27.6,59.8,50.0,63.7,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,20,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 7.7% barrel, 14.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.66,37.65,88.64,99.5497,0.4132,0.1501,0.3071,72.41,21.67,36.98,19.66,13.0,0.1568,7.7,44.46,90.28,0.4307,0.1601,23.48,,,Daikin Park,
178,666139,Josh Lowe,LAA,NYY,2026-09-03T01:38:00Z,Scheduled,6,Cam Schlittler,693645,R,40.5,Longshot,Watch List,"Projected Lineup, Platoon Edge",30.9,35.0,28.2,71.7,80.0,8.5,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,17,0,"Last 7 games: 3/17, 0 HR","platoon edge; pitcher baseline 7.9% barrel, 12.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.09,37.64,88.6,99.1714,0.3735,0.1506,0.2917,73.38,34.96,36.69,30.66,10.3,0.1425,7.92,39.71,88.51,0.3497,0.1337,26.74,,,Angel Stadium,
179,596115,Trevor Story,BOS,SEA,2026-09-02T20:10:00Z,Pre-Game,8,Bryce Miller,682243,R,40.4,Longshot,Watch List,No major boost,28.0,41.7,42.7,52.4,50.0,58.0,Yes,Yes,8,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,26,1,Contact streak: 10/26 over last 7 games,"same-side matchup; pitcher baseline 8.0% barrel, 17.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,6.47,42.94,89.37,100.2012,0.3482,0.1261,0.2676,71.1,14.24,42.37,24.11,9.6,0.1259,8.0,37.61,88.97,0.3933,0.1617,32.14,In From RF,72,Fenway Park,
180,802415,Chandler Simpson,TB,NYM,2026-09-02T22:40:00Z,Scheduled,5,Justin Hagenman,663795,R,40.4,Longshot,Watch List,"Projected Lineup, Platoon Edge",0.2,66.6,27.6,81.9,80.0,30.0,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,25,0,Contact streak: 8/25 over last 7 games,"platoon edge; pitcher baseline 12.3% barrel, 4.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,0.0,14.22,83.88,92.78,0.3066,0.0382,0.2725,64.66,0.51,28.41,12.58,0.0,0.0521,12.3,50.7,92.1,0.464,0.209,30.1,,,Tropicana Field,
181,592663,J.T. Realmuto,PHI,AZ,2026-09-02T19:40:00Z,Pre-Game,8,Taylor Clarke,664199,R,40.3,Longshot,Watch List,No major boost,31.4,38.5,41.7,52.4,50.0,53.3,Yes,Yes,8,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,26,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 8.7% barrel, 6.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.0,42.28,89.86,100.2173,0.3984,0.1405,0.3209,72.77,30.96,42.3,25.52,10.6,0.1326,8.74,35.48,87.62,0.4293,0.1784,23.95,None,72,Chase Field,
182,803011,Sam Antonacci,CWS,HOU,2026-09-03T00:10:00Z,Scheduled,1,Hayden Wesneski,669713,R,40.0,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",18.2,37.3,27.6,88.7,80.0,25.8,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,24,0,"Last 7 games: 7/24, 0 HR","platoon edge; pitcher baseline 7.7% barrel, 3.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.1,32.4,87.3,97.4803,0.389,0.116,0.342,69.9,8.1,32.6,21.9,8.0,0.123,7.7,40.77,89.35,0.3968,0.1529,24.95,,,Daikin Park,
183,690022,Ryan Ritter,COL,BAL,2026-09-02T19:10:00Z,Pre-Game,8,Trevor Rogers,669432,L,39.8,Longshot,Watch List,"Good Environment, Platoon Edge",10.4,37.7,80.2,52.4,78.0,19.5,Yes,Yes,8,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,8,0,"Last 7 games: 2/8, 0 HR","platoon edge; pitcher baseline 7.3% barrel, 13.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,0.45,32.46,88.0,96.2407,0.2718,0.0646,0.2375,69.87,4.36,30.31,17.18,0.3,0.0288,7.32,41.12,88.93,0.3907,0.151,24.46,Out To LF,85,Coors Field,
184,672016,Denzel Clarke,ATH,TEX,2026-09-02T18:35:00Z,Warmup,9,Cody Bradford,674003,L,39.6,Longshot,Watch List,Platoon Edge,23.2,50.1,42.1,44.8,78.0,7.0,Yes,Yes,9,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,12,0,"Last 7 games: 2/12, 0 HR","platoon edge; pitcher baseline 9.7% barrel, 1.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,4.11,43.68,90.21,102.4442,0.2282,0.0548,0.208,76.12,62.84,49.57,11.21,0.9,0.0552,9.7,39.4,90.4,0.466,0.18,33.0,None,74,Globe Life Field,
185,687551,Drew Gilbert,SF,PIT,2026-09-02T22:40:00Z,Scheduled,1,Bubba Chandler,696149,R,39.5,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",19.9,34.2,24.3,88.7,80.0,28.5,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,16,1,"Last 7 games: 3/16, 1 HR","platoon edge; pitcher baseline 6.7% barrel, 8.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.32,35.52,86.67,98.1579,0.3766,0.1314,0.312,70.52,10.13,41.68,20.46,6.5,0.1502,6.74,39.16,89.22,0.3814,0.149,25.74,,,PNC Park,
