rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
118,691016,Tyler Soderstrom,ATH,WSH,2026-07-18T01:40:00Z,Scheduled,5,Cade Cavalli,676917,R,47.3,Longshot,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge",45.7,30.0,30.9,81.9,80.0,33.7,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,18,1,"Last 7 games: 4/18, 1 HR","platoon edge; pitcher baseline 6.1% barrel, 7.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.49,46.3,90.55,102.0268,0.4388,0.1806,0.3424,74.35,42.8,36.0,26.09,17.3,0.2162,6.11,40.61,88.82,0.3839,0.1305,20.56,,,Sutter Health Park,
119,677587,Brayan Rocchio,CLE,PIT,2026-07-17T23:10:00Z,Pre-Game,2,Jared Jones,683003,R,47.2,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",14.0,35.1,67.6,100.0,75.0,64.8,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,26,2,Hot streak: 2 HR in last 7 games,"switch hitter; pitcher baseline 7.4% barrel, 5.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.02,32.91,86.95,97.3998,0.3643,0.1081,0.3062,70.07,7.92,44.41,23.34,7.1,0.1245,7.4,38.3,89.7,0.388,0.163,22.3,Out To LF,88,Progressive Field,
120,608348,Carson Kelly,CHC,MIN,2026-07-18T00:05:00Z,Pre-Game,8,Bailey Ober,641927,R,47.2,Longshot,Watch List,"Projected Lineup, Good Environment",30.5,51.6,73.3,47.9,50.0,49.9,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,24,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 10.1% barrel, 18.1 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,7.57,38.41,88.52,99.2067,0.4012,0.1575,0.3259,70.89,8.61,38.87,25.01,9.3,0.1426,10.06,35.18,88.62,0.4536,0.2091,32.11,Out To LF,87,Wrigley Field,
121,691720,Kyle Karros,COL,CIN,2026-07-18T00:40:00Z,Scheduled,5,Brady Singer,663903,R,47.1,Longshot,Watch List,Projected Lineup,26.5,57.0,38.7,81.9,50.0,57.6,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,27,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 10.2% barrel, 19.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.25,40.84,89.23,99.7709,0.3684,0.1264,0.3161,70.01,5.86,39.43,23.57,6.6,0.1385,10.17,41.47,90.93,0.4573,0.1933,28.54,,,Coors Field,
122,664774,LaMonte Wade Jr.,HOU,BAL,2026-07-18T00:10:00Z,Pre-Game,6,Dean Kremer,665152,R,47.0,Longshot,Watch List,Platoon Edge,22.2,57.9,41.1,76.2,80.0,34.4,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,22,1,"Last 7 games: 5/22, 1 HR","platoon edge; pitcher baseline 11.1% barrel, 12.9 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,8.0,32.85,86.06,97.8092,0.3182,0.1314,0.2509,71.61,14.87,37.77,26.98,2.0,0.2011,11.08,34.89,88.38,0.4781,0.2443,38.69,None,72,Daikin Park,
123,665953,Andres Chaparro,WSH,ATH,2026-07-18T01:40:00Z,Scheduled,2,Gage Jump,695611,L,47.0,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",40.3,30.2,30.9,95.5,78.0,27.6,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,11,1,"Last 7 games: 2/11, 1 HR","platoon edge; pitcher baseline 5.1% barrel, 4.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.1,44.38,89.01,100.5155,0.3563,0.1547,0.3037,74.42,44.96,49.01,29.31,1.0,0.1005,5.1,40.6,90.0,0.389,0.131,26.1,,,Sutter Health Park,
124,666397,Edouard Julien,COL,CIN,2026-07-18T00:40:00Z,Scheduled,8,Brady Singer,663903,R,46.9,Longshot,Watch List,"Projected Lineup, Platoon Edge",38.2,57.0,38.7,47.9,80.0,18.3,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,17,1,"Last 7 games: 2/17, 1 HR","platoon edge; pitcher baseline 10.2% barrel, 19.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.42,48.18,90.67,100.1683,0.41,0.1596,0.3374,71.11,12.56,35.3,19.09,3.0,0.0907,10.17,41.47,90.93,0.4573,0.1933,28.54,,,Coors Field,
125,666176,Jo Adell,LAA,DET,2026-07-18T01:38:00Z,Scheduled,6,Troy Melton,675512,R,46.9,Longshot,Watch List,"Projected Lineup, Strong Barrel",51.0,33.4,28.2,71.7,50.0,66.7,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,25,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 6.7% barrel, 7.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.14,45.38,90.3,102.5455,0.4706,0.2099,0.3363,77.39,71.79,37.72,27.0,20.2,0.1797,6.71,40.17,89.54,0.3591,0.1449,25.75,,,Angel Stadium,
126,680776,Jarren Duran,BOS,TB,2026-07-17T23:10:00Z,Scheduled,7,Mason Englert,669438,R,46.8,Longshot,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge",39.7,56.4,28.7,59.8,80.0,7.0,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,24,0,"Last 7 games: 4/24, 0 HR","platoon edge; pitcher baseline 11.6% barrel, 5.4 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,10.82,40.29,90.05,101.7902,0.389,0.1578,0.3036,75.01,49.39,39.25,22.93,13.9,0.165,11.57,40.6,89.84,0.464,0.201,30.85,,,Fenway Park,
127,670623,Isaac Paredes,HOU,BAL,2026-07-18T00:10:00Z,Pre-Game,3,Dean Kremer,665152,R,46.8,Longshot,Watch List,Premium Lineup Spot,19.8,57.9,41.1,96.6,50.0,43.2,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,28,1,"Last 7 games: 8/28, 1 HR","same-side matchup; pitcher baseline 11.1% barrel, 12.9 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,6.02,31.08,86.91,97.0426,0.3681,0.1306,0.3172,68.02,7.19,52.42,31.43,14.4,0.1753,11.08,34.89,88.38,0.4781,0.2443,38.69,None,72,Daikin Park,
