rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
34,624424,Michael Conforto,CHC,MIA,2026-09-24T18:20:00Z,In Progress,4,Tyler Phillips,663969,R,53.4,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",46.9,39.8,38.3,94.9,80.0,43.2,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,21,1,"Last 7 games: 6/21, 1 HR","platoon edge; pitcher baseline 7.1% barrel, 14.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.38,43.02,90.25,100.7312,0.4345,0.1966,0.3342,72.99,33.51,43.53,33.08,14.1,0.2054,7.06,42.77,89.41,0.4015,0.1506,26.01,In From CF,65,Wrigley Field,
35,691406,Junior Caminero,TB,NYY,2026-09-24T23:05:00Z,Pre-Game,3,Cam Schlittler,693645,R,53.4,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",60.8,33.7,50.2,92.1,50.0,7.0,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,24,0,"Last 7 games: 4/24, 0 HR","same-side matchup; pitcher baseline 7.6% barrel, 13.6 HR allowed",EV profile; pitcher fly-ball pressure modest,13.09,49.86,92.54,104.8811,0.4926,0.2271,0.3558,79.2,83.78,45.03,23.35,42.2,0.2556,7.64,38.94,88.58,0.3441,0.1309,26.04,In From LF,64,Yankee Stadium,
36,679822,Justin Foscue,TEX,NYM,2026-09-24T18:35:00Z,In Progress,1,Zac Thornton,804267,L,53.2,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",40.6,50.5,42.1,93.2,78.0,26.1,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,17,0,"Last 7 games: 5/17, 0 HR","platoon edge; pitcher baseline 9.6% barrel, 13.0 HR allowed",fly-ball profile; pitcher allows elevated contact,7.49,49.48,90.34,99.4365,0.3916,0.1712,0.2862,70.96,9.38,46.71,36.98,7.7,0.1873,9.6,41.4,89.0,0.45,0.184,30.5,None,74,Globe Life Field,
37,596019,Francisco Lindor,NYM,TEX,2026-09-24T18:35:00Z,In Progress,1,Kumar Rocker,677958,R,52.9,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",45.9,46.9,42.1,93.2,75.0,7.9,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,29,0,"Last 7 games: 5/29, 0 HR","switch hitter; pitcher baseline 8.9% barrel, 17.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.97,47.76,91.13,100.5287,0.44,0.194,0.3359,72.23,24.49,44.13,32.12,23.3,0.1976,8.93,42.39,89.8,0.4392,0.178,23.7,None,74,Globe Life Field,
38,683737,Michael Busch,CHC,MIA,2026-09-24T18:20:00Z,In Progress,3,Tyler Phillips,663969,R,52.7,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",44.9,39.8,38.3,96.6,80.0,37.8,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,24,1,"Last 7 games: 6/24, 1 HR","platoon edge; pitcher baseline 7.1% barrel, 14.3 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,11.5,42.12,89.54,99.7216,0.4465,0.2048,0.3465,68.9,5.92,40.98,35.11,24.2,0.1871,7.06,42.77,89.41,0.4015,0.1506,26.01,In From CF,65,Wrigley Field,
39,673548,Seiya Suzuki,CHC,MIA,2026-09-24T18:20:00Z,In Progress,2,Tyler Phillips,663969,R,52.6,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot",47.4,39.8,38.3,100.0,50.0,63.7,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,30,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 7.1% barrel, 14.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,12.4,41.91,89.41,101.021,0.4443,0.1994,0.3415,73.3,36.76,40.99,32.11,27.1,0.2113,7.06,42.77,89.41,0.4015,0.1506,26.01,In From CF,65,Wrigley Field,
40,669003,Garrett Mitchell,MIL,PHI,2026-09-24T22:05:00Z,Pre-Game,1,Andrew Painter,691725,R,52.5,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",47.2,40.3,44.3,93.2,80.0,8.1,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,23,0,"Last 7 games: 4/23, 0 HR","platoon edge; pitcher baseline 8.3% barrel, 21.0 HR allowed",EV profile; pitcher fly-ball pressure modest,10.27,49.48,92.36,103.8265,0.4152,0.1596,0.3328,77.15,77.51,33.23,16.92,7.7,0.1377,8.3,35.5,87.6,0.421,0.169,26.1,In From CF,64,Citizens Bank Park,
41,701807,Carson Benge,NYM,TEX,2026-09-24T18:35:00Z,In Progress,4,Kumar Rocker,677958,R,52.1,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",32.3,48.7,42.1,94.9,80.0,58.0,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,26,1,Contact streak: 10/26 over last 7 games,"platoon edge; pitcher baseline 8.9% barrel, 17.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.3,39.0,88.8,99.6028,0.434,0.157,0.339,71.0,17.1,33.1,27.9,19.0,0.145,8.93,42.39,89.8,0.4392,0.178,23.7,None,74,Globe Life Field,
42,663586,Austin Riley,ATL,CIN,2026-09-24T23:15:00Z,Pre-Game,8,Brady Singer,663903,R,52.1,Longshot,Watch List,Strong Barrel,53.1,54.8,52.9,52.4,50.0,33.7,Yes,Yes,8,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,27,1,"Last 7 games: 6/27, 1 HR","same-side matchup; pitcher baseline 9.9% barrel, 27.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,13.24,46.0,91.53,102.718,0.4188,0.1949,0.3083,75.83,59.5,40.22,30.59,17.4,0.1505,9.89,42.31,90.79,0.4489,0.18,26.86,L To R,71,Truist Park,
43,665487,Fernando Tatis,SD,LAD,2026-09-25T02:10:00Z,Scheduled,1,Tyler Glasnow,607192,R,51.9,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",58.1,36.0,27.6,88.7,50.0,60.0,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,29,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 8.3% barrel, 7.9 HR allowed",EV profile; pitcher fly-ball pressure modest,12.26,53.06,93.02,104.4576,0.4985,0.2086,0.377,75.65,57.98,34.38,22.5,25.0,0.1808,8.35,38.66,89.67,0.3317,0.135,28.71,,,UNIQLO Field at Dodger Stadium,
