rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
80,673237,Yainer Diaz,HOU,ATH,2026-09-25T01:40:00Z,Scheduled,5,Mason Barnett,686930,R,47.5,Longshot,Watch List,"Projected Lineup, Hot Hitter/Streak",33.2,47.1,30.9,81.9,50.0,92.6,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,27,3,Hot streak: 3 HR in last 7 games,"same-side matchup; pitcher baseline 9.5% barrel, 9.3 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,7.71,39.89,89.34,100.0977,0.4293,0.1592,0.3162,72.48,22.79,36.49,19.24,15.8,0.1729,9.54,39.77,89.34,0.4207,0.1726,31.27,,,Sutter Health Park,
81,691019,Kyle Teel,CWS,KC,2026-09-24T18:10:00Z,In Progress,2,Randy Dobnak,677976,R,47.4,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",35.4,36.3,30.2,100.0,80.0,26.4,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,23,1,"Last 7 games: 4/23, 1 HR","platoon edge; pitcher baseline 5.2% barrel, 5.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.93,45.72,85.78,100.2364,0.3684,0.1573,0.3146,71.29,23.64,43.13,29.59,5.2,0.1366,5.25,44.68,91.39,0.422,0.138,23.18,In From RF,72,Kauffman Stadium,
82,553993,Eugenio Suárez,CIN,ATL,2026-09-24T23:15:00Z,Pre-Game,6,Tyler Mahle,641816,R,47.4,Longshot,Watch List,Strong Barrel,44.5,35.8,52.9,76.2,50.0,19.9,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,23,1,"Last 7 games: 3/23, 1 HR","same-side matchup; pitcher baseline 6.8% barrel, 14.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,12.76,39.13,89.01,99.9296,0.3965,0.1946,0.3053,72.23,23.98,46.84,34.95,32.2,0.242,6.81,37.31,89.27,0.3941,0.1467,26.7,L To R,71,Truist Park,
83,663656,Kyle Tucker,LAD,SD,2026-09-25T02:10:00Z,Scheduled,6,Nick Pivetta,601713,R,47.3,Longshot,Watch List,"Projected Lineup, Platoon Edge, Hot Hitter/Streak",34.5,43.6,27.6,71.7,80.0,81.7,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,11,24,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 9.6% barrel, 8.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,7.86,37.81,89.05,98.7923,0.4221,0.1612,0.3447,71.65,20.73,42.82,34.03,18.5,0.1686,9.57,38.63,89.46,0.3722,0.1568,33.3,,,UNIQLO Field at Dodger Stadium,
84,605141,Mookie Betts,LAD,SD,2026-09-25T02:10:00Z,Scheduled,2,Nick Pivetta,601713,R,47.2,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Hot Hitter/Streak",32.9,43.6,27.6,95.5,50.0,77.6,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,11,28,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 9.6% barrel, 8.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,7.11,37.55,90.01,98.5427,0.4297,0.156,0.3356,69.46,8.81,40.87,33.24,21.4,0.1802,9.57,38.63,89.46,0.3722,0.1568,33.3,,,UNIQLO Field at Dodger Stadium,
85,521692,Salvador Perez,KC,CWS,2026-09-24T18:10:00Z,In Progress,4,David Sandlin,689818,R,47.1,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot",47.0,31.5,30.2,94.9,50.0,34.4,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,22,1,"Last 7 games: 5/22, 1 HR","same-side matchup; pitcher baseline 8.2% barrel, 6.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.51,44.04,89.37,100.8609,0.4612,0.2072,0.3248,71.99,22.42,41.63,30.85,22.3,0.1645,8.2,33.7,86.9,0.39,0.153,24.5,In From RF,72,Kauffman Stadium,
86,687263,Zach Neto,LAA,SEA,2026-09-25T01:40:00Z,Scheduled,1,Bryan Woo,693433,R,47.1,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",48.3,41.6,25.4,88.7,50.0,9.3,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,22,0,"Last 7 games: 4/22, 0 HR","same-side matchup; pitcher baseline 7.6% barrel, 20.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,12.18,43.03,90.23,100.4048,0.4334,0.2083,0.3223,71.47,15.65,47.69,34.4,26.0,0.2009,7.63,42.5,89.31,0.3807,0.1492,27.36,,,T-Mobile Park,
87,592518,Manny Machado,SD,LAD,2026-09-25T02:10:00Z,Scheduled,3,Tyler Glasnow,607192,R,47.1,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",48.0,36.0,27.6,92.1,50.0,21.8,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,28,1,"Last 7 games: 4/28, 1 HR","same-side matchup; pitcher baseline 8.3% barrel, 7.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.66,45.9,90.94,101.8132,0.4446,0.1925,0.3379,74.64,45.0,38.75,28.36,28.4,0.1885,8.35,38.66,89.67,0.3317,0.135,28.71,,,UNIQLO Field at Dodger Stadium,
88,607208,Trea Turner,PHI,MIL,2026-09-24T22:05:00Z,Pre-Game,2,Shane Drohan,675660,L,46.9,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",26.4,40.2,44.3,100.0,78.0,16.6,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,26,0,"Last 7 games: 6/26, 0 HR","platoon edge; pitcher baseline 8.8% barrel, 14.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.08,39.79,88.6,99.2152,0.3778,0.1274,0.3021,71.38,18.37,35.59,24.92,17.8,0.1432,8.8,38.3,88.6,0.378,0.147,29.5,In From CF,64,Citizens Bank Park,
89,669224,Austin Wells,NYY,TB,2026-09-24T23:05:00Z,Pre-Game,8,Ian Seymour,693855,L,46.6,Longshot,Watch List,Hot Hitter/Streak,37.5,44.8,50.2,52.4,50.0,82.0,Yes,Yes,8,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,20,3,Hot streak: 3 HR in last 7 games,"same-side matchup; pitcher baseline 9.4% barrel, 19.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.24,43.59,89.76,100.6753,0.3683,0.1598,0.2945,72.98,28.09,45.05,34.05,15.4,0.1624,9.41,37.45,88.42,0.3966,0.1705,29.45,In From LF,64,Yankee Stadium,
90,680776,Jarren Duran,BOS,CLE,2026-09-24T22:45:00Z,Pre-Game,7,Daniel Espino,682982,R,46.5,Longshot,Watch List,Platoon Edge,39.1,43.5,38.2,64.3,80.0,24.9,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,14,0,"Last 7 games: 4/14, 0 HR","platoon edge; pitcher baseline 13.3% barrel, 3.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,9.49,42.11,90.33,101.9306,0.396,0.1564,0.3085,74.98,50.03,37.92,23.84,18.8,0.1657,13.3,36.7,85.0,0.352,0.15,36.7,In From CF,59,Fenway Park,
91,596142,Gary Sánchez,MIL,PHI,2026-09-24T22:05:00Z,Pre-Game,5,Andrew Painter,691725,R,46.4,Longshot,Watch List,No major boost,38.0,40.3,44.3,86.4,50.0,19.5,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,16,0,"Last 7 games: 4/16, 0 HR","same-side matchup; pitcher baseline 8.3% barrel, 21.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.94,42.12,89.45,100.7192,0.4063,0.1775,0.3318,71.85,25.4,47.1,27.51,9.2,0.2031,8.3,35.5,87.6,0.421,0.169,26.1,In From CF,64,Citizens Bank Park,
92,664034,Ty France,SD,LAD,2026-09-25T02:10:00Z,Scheduled,4,Tyler Glasnow,607192,R,46.4,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",41.7,36.0,27.6,90.4,50.0,53.9,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,28,1,Contact streak: 10/28 over last 7 games,"same-side matchup; pitcher baseline 8.3% barrel, 7.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.89,46.86,91.04,100.9574,0.4292,0.1737,0.3308,71.77,19.81,36.57,24.83,16.8,0.1807,8.35,38.66,89.67,0.3317,0.135,28.71,,,UNIQLO Field at Dodger Stadium,
93,650490,Yandy Diaz,TB,NYY,2026-09-24T23:05:00Z,Pre-Game,1,Cam Schlittler,693645,R,46.1,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",41.2,33.7,50.2,88.7,50.0,0.0,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,28,0,"Last 7 games: 2/28, 0 HR","same-side matchup; pitcher baseline 7.6% barrel, 13.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.6,49.35,91.53,103.21,0.4453,0.1635,0.3484,73.5,37.44,23.81,19.72,22.9,0.1624,7.64,38.94,88.58,0.3441,0.1309,26.04,In From LF,64,Yankee Stadium,
94,665161,Jeremy Pena,HOU,ATH,2026-09-25T01:40:00Z,Scheduled,1,Mason Barnett,686930,R,46.1,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",32.9,47.1,30.9,88.7,50.0,46.5,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,26,1,"Last 7 games: 8/26, 1 HR","same-side matchup; pitcher baseline 9.5% barrel, 9.3 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,7.29,40.45,88.69,99.9887,0.4278,0.1592,0.3284,72.3,15.39,46.62,25.06,19.1,0.1877,9.54,39.77,89.34,0.4207,0.1726,31.27,,,Sutter Health Park,
95,680869,Zack Gelof,ATH,HOU,2026-09-25T01:40:00Z,Scheduled,5,Peter Lambert,663567,R,46.1,Longshot,Watch List,"Projected Lineup, Strong Barrel",42.8,32.9,30.9,81.9,50.0,68.7,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,27,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 6.8% barrel, 15.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,11.03,44.12,89.15,99.8792,0.3935,0.1858,0.2911,73.22,26.73,40.02,28.78,14.6,0.1771,6.8,35.8,88.2,0.357,0.139,32.5,,,Sutter Health Park,
96,662139,Daulton Varsho,HOU,ATH,2026-09-25T01:40:00Z,Scheduled,6,Mason Barnett,686930,R,45.9,Longshot,Watch List,"Projected Lineup, Platoon Edge",35.7,47.1,30.9,71.7,80.0,18.3,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,24,1,"Last 7 games: 2/24, 1 HR","platoon edge; pitcher baseline 9.5% barrel, 9.3 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,9.6,37.64,87.66,99.4311,0.396,0.1683,0.2962,73.71,36.6,41.85,31.41,14.4,0.1868,9.54,39.77,89.34,0.4207,0.1726,31.27,,,Sutter Health Park,
97,643217,Andrew Benintendi,CWS,KC,2026-09-24T18:10:00Z,In Progress,5,Randy Dobnak,677976,R,45.8,Longshot,Watch List,Platoon Edge,37.1,36.3,30.2,86.4,80.0,19.5,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,16,0,"Last 7 games: 4/16, 0 HR","platoon edge; pitcher baseline 5.2% barrel, 5.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.21,42.57,88.91,98.8649,0.4074,0.169,0.3093,69.61,4.57,49.19,32.97,15.8,0.1763,5.25,44.68,91.39,0.422,0.138,23.18,In From RF,72,Kauffman Stadium,
98,694249,Cole Carrigg,COL,AZ,2026-09-24T19:10:00Z,In Progress,5,Eduardo Rodriguez,593958,L,45.2,Longshot,Watch List,Platoon Edge,27.1,35.7,48.7,86.4,75.0,30.0,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,25,0,Contact streak: 8/25 over last 7 games,"switch hitter; pitcher baseline 7.7% barrel, 20.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.5,37.0,87.9,98.9832,0.392,0.147,0.31,73.1,34.5,47.1,29.0,10.0,0.186,7.71,33.66,87.57,0.4181,0.1657,27.26,In From RF,70,Coors Field,
99,805999,A.J. Ewing,NYM,TEX,2026-09-24T18:35:00Z,In Progress,7,Kumar Rocker,677958,R,45.1,Longshot,Watch List,Platoon Edge,29.7,48.7,42.1,64.3,80.0,21.1,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,23,0,"Last 7 games: 6/23, 0 HR","platoon edge; pitcher baseline 8.9% barrel, 17.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.8,41.5,89.4,99.906,0.394,0.137,0.318,70.5,12.6,31.2,24.1,10.0,0.12,8.93,42.39,89.8,0.4392,0.178,23.7,None,74,Globe Life Field,
100,645277,Ozzie Albies,ATL,CIN,2026-09-24T23:15:00Z,Pre-Game,6,Brady Singer,663903,R,44.9,Longshot,Watch List,Platoon Edge,15.7,53.7,52.9,76.2,75.0,30.3,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,25,1,"Last 7 games: 5/25, 1 HR","switch hitter; pitcher baseline 9.9% barrel, 27.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.2,28.6,87.22,96.6902,0.3502,0.1198,0.2843,68.86,5.74,46.56,31.69,20.2,0.1481,9.89,42.31,90.79,0.4489,0.18,26.86,L To R,71,Truist Park,
101,691777,Max Muncy,LAD,SD,2026-09-25T02:10:00Z,Scheduled,4,Nick Pivetta,601713,R,44.6,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",35.1,43.6,27.6,90.4,50.0,26.1,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,17,0,"Last 7 games: 5/17, 0 HR","same-side matchup; pitcher baseline 9.6% barrel, 8.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,10.52,40.17,88.5,100.9708,0.3621,0.1493,0.2817,73.8,42.11,43.52,22.51,9.0,0.1594,9.57,38.63,89.46,0.3722,0.1568,33.3,,,UNIQLO Field at Dodger Stadium,
102,703607,Henry Bolte,ATH,HOU,2026-09-25T01:40:00Z,Scheduled,1,Peter Lambert,663567,R,44.4,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",37.7,32.9,30.9,88.7,50.0,50.3,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,27,1,Contact streak: 9/27 over last 7 games,"same-side matchup; pitcher baseline 6.8% barrel, 15.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,8.1,48.0,90.8,104.3571,0.375,0.128,0.318,76.8,70.6,32.8,15.0,11.0,0.128,6.8,35.8,88.2,0.357,0.139,32.5,,,Sutter Health Park,
103,641487,J.P. Crawford,SEA,LAA,2026-09-25T01:40:00Z,Scheduled,1,Grayson Rodriguez,680570,R,44.3,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",21.1,53.6,25.4,88.7,80.0,21.8,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,28,1,"Last 7 games: 4/28, 1 HR","platoon edge; pitcher baseline 8.9% barrel, 15.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.74,34.49,87.62,98.0324,0.3664,0.1221,0.3224,71.21,18.53,35.77,22.47,12.7,0.1204,8.9,45.1,90.2,0.468,0.192,27.6,,,T-Mobile Park,
104,553869,Elias Díaz,TEX,NYM,2026-09-24T18:35:00Z,In Progress,8,Zac Thornton,804267,L,44.2,Longshot,Watch List,Platoon Edge,31.5,50.5,42.1,52.4,78.0,19.5,Yes,Yes,8,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,20,0,"Last 7 games: 5/20, 0 HR","platoon edge; pitcher baseline 9.6% barrel, 13.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,8.65,39.61,88.33,100.5511,0.3445,0.1341,0.2666,74.34,43.86,37.93,27.24,7.6,0.1515,9.6,41.4,89.0,0.45,0.184,30.5,None,74,Globe Life Field,
105,664954,Brett Sullivan,COL,AZ,2026-09-24T19:10:00Z,In Progress,7,Eduardo Rodriguez,593958,L,44.0,Longshot,Watch List,Strong Barrel,42.3,37.8,48.7,64.3,50.0,3.4,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,21,0,"Last 7 games: 3/21, 0 HR","same-side matchup; pitcher baseline 7.7% barrel, 20.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.3,53.17,90.16,97.8404,0.3603,0.1528,0.311,69.23,5.32,50.42,34.25,4.9,0.119,7.71,33.66,87.57,0.4181,0.1657,27.26,In From RF,70,Coors Field,
106,694208,Moises Ballesteros,LAA,SEA,2026-09-25T01:40:00Z,Scheduled,5,Bryan Woo,693433,R,43.9,Longshot,Watch List,"Projected Lineup, Platoon Edge",33.5,41.6,25.4,81.9,80.0,7.0,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,24,0,"Last 7 games: 4/24, 0 HR","platoon edge; pitcher baseline 7.6% barrel, 20.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.03,42.47,90.01,100.6341,0.3804,0.1429,0.3053,72.36,29.72,33.94,22.33,6.9,0.1375,7.63,42.5,89.31,0.3807,0.1492,27.36,,,T-Mobile Park,
107,606192,Teoscar Hernandez,LAD,SD,2026-09-25T02:10:00Z,Scheduled,7,Nick Pivetta,601713,R,43.9,Longshot,Watch List,"Projected Lineup, Strong Barrel",44.9,43.6,27.6,59.8,50.0,32.0,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,30,0,Contact streak: 10/30 over last 7 games,"same-side matchup; pitcher baseline 9.6% barrel, 8.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,10.66,45.47,90.2,101.5945,0.4399,0.1843,0.3296,72.62,26.95,35.06,28.19,18.0,0.1699,9.57,38.63,89.46,0.3722,0.1568,33.3,,,UNIQLO Field at Dodger Stadium,
108,691720,Kyle Karros,COL,AZ,2026-09-24T19:10:00Z,In Progress,6,Eduardo Rodriguez,593958,L,43.6,Longshot,Watch List,Platoon Edge,24.7,37.8,48.7,76.2,78.0,27.6,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,22,1,"Last 7 games: 4/22, 1 HR","platoon edge; pitcher baseline 7.7% barrel, 20.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.11,38.67,89.09,99.668,0.3621,0.1229,0.3133,69.8,5.58,38.87,24.06,8.7,0.1266,7.71,33.66,87.57,0.4181,0.1657,27.26,In From RF,70,Coors Field,
109,650559,Bryan De La Cruz,PHI,MIL,2026-09-24T22:05:00Z,Pre-Game,6,Shane Drohan,675660,L,43.6,Longshot,Watch List,Platoon Edge,26.5,40.2,44.3,76.2,78.0,17.3,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,17,0,"Last 7 games: 4/17, 0 HR","platoon edge; pitcher baseline 8.8% barrel, 14.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.99,45.33,89.82,100.2739,0.3367,0.1098,0.2751,70.99,16.86,38.6,19.45,1.4,0.1095,8.8,38.3,88.6,0.378,0.147,29.5,In From CF,64,Citizens Bank Park,
110,666211,Taylor Trammell,HOU,ATH,2026-09-25T01:40:00Z,Scheduled,8,Mason Barnett,686930,R,43.6,Longshot,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge",38.9,47.1,30.9,47.9,80.0,18.3,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,1,21,1,"Last 7 games: 1/21, 1 HR","platoon edge; pitcher baseline 9.5% barrel, 9.3 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,10.95,38.69,89.25,101.0614,0.349,0.1606,0.2822,75.93,60.39,47.66,28.48,6.5,0.1472,9.54,39.77,89.34,0.4207,0.1726,31.27,,,Sutter Health Park,
111,572233,Christian Walker,HOU,ATH,2026-09-25T01:40:00Z,Scheduled,7,Mason Barnett,686930,R,43.5,Longshot,Watch List,"Projected Lineup, Strong Barrel",40.9,47.1,30.9,59.8,50.0,22.6,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,27,1,"Last 7 games: 4/27, 1 HR","same-side matchup; pitcher baseline 9.5% barrel, 9.3 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,10.31,42.04,89.5,101.4383,0.3979,0.1722,0.3028,74.31,43.2,41.57,28.07,26.3,0.1865,9.54,39.77,89.34,0.4207,0.1726,31.27,,,Sutter Health Park,
112,695657,Colson Montgomery,CWS,KC,2026-09-24T18:10:00Z,In Progress,9,Randy Dobnak,677976,R,43.4,Longshot,Watch List,"Strong Barrel, Platoon Edge",50.5,36.3,30.2,44.8,80.0,0.8,Yes,Yes,8,Yes,Yes,MLB Stats API; RotoWire,order MLB 9 vs RotoWire 8,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,24,0,"Last 7 games: 3/24, 0 HR","platoon edge; pitcher baseline 5.2% barrel, 5.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,12.96,42.26,88.84,101.814,0.4268,0.2164,0.3116,76.72,70.86,49.3,32.95,28.0,0.2347,5.25,44.68,91.39,0.422,0.138,23.18,In From RF,72,Kauffman Stadium,
113,683011,Anthony Volpe,NYY,TB,2026-09-24T23:05:00Z,Pre-Game,7,Ian Seymour,693855,L,43.4,Longshot,Watch List,Platoon Edge,24.9,44.8,50.2,64.3,78.0,18.0,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,25,0,"Last 7 games: 6/25, 0 HR","platoon edge; pitcher baseline 9.4% barrel, 19.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.3,38.26,88.39,98.8125,0.3546,0.1246,0.2947,71.48,18.77,32.87,24.48,7.1,0.1174,9.41,37.45,88.42,0.3966,0.1705,29.45,In From LF,64,Yankee Stadium,
114,805300,Jakob Marsee,MIA,CHC,2026-09-24T18:20:00Z,In Progress,3,Matthew Boyd,571510,L,43.1,Longshot,Watch List,Premium Lineup Spot,20.3,41.3,38.3,96.6,50.0,54.9,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,22,1,Contact streak: 8/22 over last 7 games,"same-side matchup; pitcher baseline 8.4% barrel, 16.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.95,36.64,87.78,98.5524,0.3622,0.119,0.3211,70.29,5.3,41.02,23.12,9.2,0.1447,8.37,38.14,88.43,0.4176,0.1601,26.2,In From CF,65,Wrigley Field,
