rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
129,686797,Brooks Lee,MIN,SF,2026-09-23T01:45:00Z,Scheduled,2,Anthony Molina,683627,R,44.8,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",21.7,49.0,19.3,95.5,75.0,58.0,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,26,1,Contact streak: 10/26 over last 7 games,"switch hitter; pitcher baseline 8.4% barrel, 5.7 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,4.68,35.35,88.32,97.7147,0.3586,0.1274,0.2813,69.92,8.35,41.85,29.77,21.6,0.1669,8.37,43.22,88.75,0.473,0.2063,33.22,,,Oracle Park,
130,680777,Ryan Jeffers,MIN,SF,2026-09-23T01:45:00Z,Scheduled,4,Anthony Molina,683627,R,44.8,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",38.8,49.6,19.3,90.4,50.0,0.0,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,1,24,0,"Last 7 games: 1/24, 0 HR","same-side matchup; pitcher baseline 8.4% barrel, 5.7 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,9.31,41.4,88.88,100.8312,0.4224,0.1787,0.3384,73.14,37.17,37.74,27.54,12.5,0.1856,8.37,43.22,88.75,0.473,0.2063,33.22,,,Oracle Park,
131,667472,Dane Myers,CIN,ATL,2026-09-22T23:15:00Z,Pre-Game,7,JR Ritchie,702275,R,44.7,Longshot,Watch List,No major boost,25.4,49.0,66.9,64.3,50.0,20.8,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,22,1,"Last 7 games: 3/22, 1 HR","same-side matchup; pitcher baseline 9.7% barrel, 11.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.49,38.15,89.72,99.1091,0.367,0.1253,0.3085,71.04,17.84,28.35,24.05,6.7,0.1057,9.7,40.9,89.9,0.421,0.175,29.5,Out To RF,80,Truist Park,
132,673237,Yainer Diaz,HOU,SEA,2026-09-23T01:40:00Z,Scheduled,5,Logan Gilbert,669302,R,44.7,Longshot,Watch List,Projected Lineup,31.7,48.0,25.4,81.9,50.0,59.6,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,22,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 9.7% barrel, 25.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.36,39.47,89.27,100.0135,0.4181,0.1529,0.3106,72.48,22.79,36.56,18.54,15.1,0.1659,9.65,41.21,89.96,0.3803,0.1589,28.68,,,T-Mobile Park,
133,695657,Colson Montgomery,CWS,KC,2026-09-22T23:40:00Z,Pre-Game,6,Daniel Lynch IV,663738,L,44.6,Longshot,Watch List,"Projected Lineup, Strong Barrel",51.1,32.6,34.2,71.7,50.0,4.5,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,20,0,"Last 7 games: 3/20, 0 HR","same-side matchup; pitcher baseline 6.3% barrel, 6.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,13.03,42.54,88.91,101.8982,0.431,0.2185,0.3144,76.72,70.72,49.16,32.95,28.0,0.2368,6.35,38.79,88.81,0.3986,0.1487,24.58,In From CF,70,Kauffman Stadium,
134,687551,Drew Gilbert,SF,MIN,2026-09-23T01:45:00Z,Scheduled,1,Taj Bradley,671737,R,44.4,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",21.2,48.0,19.3,88.7,80.0,68.7,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,12,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 8.8% barrel, 21.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.67,36.5,86.67,98.2714,0.3808,0.1356,0.3141,70.45,9.99,41.19,19.83,8.6,0.1593,8.8,43.54,90.32,0.3878,0.1585,28.63,,,Oracle Park,
135,681082,Bryson Stott,PHI,MIL,2026-09-22T22:40:00Z,Pre-Game,6,Dustin May,669160,R,44.3,Longshot,Watch List,Platoon Edge,25.1,44.4,43.3,76.2,80.0,20.9,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,27,0,"Last 7 games: 7/27, 0 HR","platoon edge; pitcher baseline 8.0% barrel, 14.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.8,34.68,88.72,98.2637,0.3986,0.139,0.3228,69.72,6.68,34.1,28.01,10.9,0.1375,8.01,44.29,90.04,0.4104,0.1546,24.87,In From CF,62,Citizens Bank Park,
136,699115,Carlos Jorge,CIN,ATL,2026-09-22T23:15:00Z,Pre-Game,1,JR Ritchie,702275,R,44.1,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",6.2,49.0,66.9,93.2,80.0,0.0,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,1,12,0,"Last 7 games: 1/12, 0 HR","platoon edge; pitcher baseline 9.7% barrel, 11.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.6,16.7,81.2,91.3969,0.286,0.086,0.247,69.3,4.0,27.8,16.7,0.0,0.08,9.7,40.9,89.9,0.421,0.175,29.5,Out To RF,80,Truist Park,
137,672580,Maikel Garcia,KC,CWS,2026-09-22T23:40:00Z,Pre-Game,4,Anthony Kay,641743,L,44.0,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",25.8,39.9,34.2,94.9,78.0,9.3,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,22,0,"Last 7 games: 4/22, 0 HR","platoon edge; pitcher baseline 8.1% barrel, 20.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.76,41.67,90.25,100.3278,0.3835,0.1117,0.3175,71.69,17.87,34.32,21.25,6.9,0.128,8.1,38.6,88.3,0.415,0.153,22.3,In From CF,70,Kauffman Stadium,
138,608070,José Ramírez,CLE,BOS,2026-09-22T22:45:00Z,Pre-Game,2,Payton Tolle,801139,L,43.7,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",26.1,26.5,37.2,100.0,75.0,46.9,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,29,1,"Last 7 games: 9/29, 1 HR","switch hitter; pitcher baseline 6.3% barrel, 12.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.11,37.84,88.62,99.1805,0.4124,0.1389,0.3329,70.34,12.77,50.55,28.5,17.4,0.1633,6.33,35.78,87.87,0.3462,0.1324,26.76,In From CF,59,Fenway Park,
