rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
1,699013,Esmerlyn Valdez,PIT,WSH,2026-07-03T22:45:00Z,Scheduled,2,Foster Griffin,656492,L,69.4,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",87.9,45.0,28.2,95.5,78.0,100.0,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,13,24,4,Hot streak: 4 HR in last 7 games,"platoon edge; pitcher baseline 10.4% barrel, 16.0 HR allowed",EV profile; pitcher fly-ball pressure modest,29.7,56.8,92.6,104.8204,0.626,0.362,0.398,75.0,51.5,21.6,40.5,6.0,0.421,10.4,37.4,87.7,0.406,0.168,26.7,,,Nationals Park,
60,686948,Drake Baldwin,ATL,NYM,2026-07-03T23:15:00Z,Scheduled,1,Christian Scott,681035,R,50.3,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",58.5,28.0,30.9,88.7,80.0,0.0,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,25,0,"Last 7 games: 3/25, 0 HR","platoon edge; pitcher baseline 6.0% barrel, 5.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,14.36,48.9,91.28,102.5507,0.5003,0.2276,0.367,75.09,53.95,32.71,22.87,15.5,0.1971,6.0,33.3,87.9,0.394,0.145,29.1,,,Truist Park,
61,542303,Marcell Ozuna,PIT,WSH,2026-07-03T22:45:00Z,Scheduled,5,Foster Griffin,656492,L,50.2,Longshot,Watch List,"Projected Lineup, Platoon Edge",41.7,45.0,28.2,81.9,78.0,59.1,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,26,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 10.4% barrel, 16.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.61,40.89,89.69,100.2833,0.4186,0.1908,0.3239,73.46,36.57,39.89,30.78,11.2,0.1358,10.4,37.4,87.7,0.406,0.168,26.7,,,Nationals Park,
62,802139,JJ Wetherholt,STL,CHC,2026-07-03T20:05:00Z,Pre-Game,1,David Peterson,656849,L,50.1,Longshot,Watch List,"Projected Lineup, Good Environment, Premium Lineup Spot",38.3,35.9,74.8,88.7,50.0,13.0,No,Yes,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,29,0,"Last 7 games: 6/29, 0 HR","same-side matchup; pitcher baseline 6.6% barrel, 8.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.0,44.4,90.0,99.3978,0.435,0.174,0.351,72.5,23.2,39.4,30.5,12.0,0.14,6.61,42.29,89.97,0.4112,0.1405,18.45,Out To CF,88,Wrigley Field,
63,668804,Bryan Reynolds,PIT,WSH,2026-07-03T22:45:00Z,Scheduled,3,Foster Griffin,656492,L,49.8,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",45.8,43.2,28.2,92.1,75.0,7.9,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,29,0,"Last 7 games: 5/29, 0 HR","switch hitter; pitcher baseline 10.4% barrel, 16.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.89,47.33,91.34,102.1335,0.447,0.1876,0.3576,72.76,29.56,40.5,24.41,12.5,0.1724,10.4,37.4,87.7,0.406,0.168,26.7,,,Nationals Park,
64,668715,Spencer Steer,CIN,BAL,2026-07-03T23:10:00Z,Scheduled,3,Trevor Rogers,669432,L,49.6,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",40.2,36.9,39.3,92.1,78.0,32.9,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,23,1,"Last 7 games: 5/23, 1 HR","platoon edge; pitcher baseline 7.0% barrel, 8.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.66,36.35,88.7,98.8401,0.4261,0.191,0.3252,70.97,6.82,47.64,30.23,15.4,0.1772,7.04,41.54,89.14,0.397,0.1531,24.95,,,Great American Ball Park,
65,803011,Sam Antonacci,CWS,CLE,2026-07-03T23:10:00Z,Scheduled,1,Gavin Williams,668909,R,49.6,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",26.7,58.8,27.6,88.7,80.0,57.2,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,11,29,1,Contact streak: 11/29 over last 7 games,"platoon edge; pitcher baseline 11.2% barrel, 17.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.8,36.8,87.9,98.4463,0.441,0.139,0.372,70.3,9.4,33.0,21.6,5.0,0.134,11.24,47.03,90.96,0.4281,0.188,24.11,,,Progressive Field,
66,669477,Casey Schmitt,SF,COL,2026-07-04T00:10:00Z,Scheduled,2,Ryan Feltner,663372,R,49.6,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",49.1,40.5,38.7,95.5,50.0,0.0,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,24,0,"Last 7 games: 2/24, 0 HR","same-side matchup; pitcher baseline 7.6% barrel, 6.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.73,43.66,89.64,100.6955,0.4941,0.2101,0.3511,72.19,25.5,40.92,32.24,14.8,0.1969,7.6,39.34,88.67,0.4351,0.1814,26.92,,,Coors Field,
67,668930,Brice Turang,MIL,AZ,2026-07-04T01:45:00Z,Scheduled,3,Jose Cabrera,703615,R,49.5,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",40.1,42.5,28.2,92.1,80.0,35.3,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,30,1,"Last 7 games: 7/30, 1 HR","platoon edge; pitcher baseline 9.7% barrel, 2.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.42,44.95,91.1,100.7585,0.4388,0.1831,0.3441,70.25,12.43,25.83,23.22,13.8,0.1778,9.7,38.7,88.8,0.414,0.173,25.8,,,Chase Field,
68,621493,Taylor Ward,BAL,CIN,2026-07-03T23:10:00Z,Scheduled,2,Brady Singer,663903,R,49.3,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",32.5,59.0,39.3,95.5,50.0,13.0,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,29,0,"Last 7 games: 6/29, 0 HR","same-side matchup; pitcher baseline 10.7% barrel, 19.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.82,40.39,89.54,99.5748,0.4003,0.1553,0.34,68.45,4.33,32.33,30.15,14.3,0.1448,10.73,41.05,91.0,0.465,0.1996,28.68,,,Great American Ball Park,
69,671739,Michael Harris,ATL,NYM,2026-07-03T23:15:00Z,Scheduled,4,Christian Scott,681035,R,49.0,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",53.9,28.0,30.9,90.4,80.0,0.0,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,26,0,"Last 7 games: 3/26, 0 HR","platoon edge; pitcher baseline 6.0% barrel, 5.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,12.6,48.3,91.39,103.9329,0.4996,0.2054,0.3563,74.72,46.37,33.77,22.98,15.8,0.1817,6.0,33.3,87.9,0.394,0.145,29.1,,,Truist Park,
