rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
12,665052,Griffin Conine,MIA,PIT,2026-08-12T22:40:00Z,Scheduled,4,Carmen Mlodzinski,669387,R,56.9,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",64.2,40.8,21.5,90.4,80.0,56.2,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,24,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 7.1% barrel, 8.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,16.55,53.0,91.81,103.8107,0.4922,0.2348,0.3573,74.33,45.37,42.53,23.97,9.0,0.2406,7.08,44.72,90.48,0.4216,0.1448,23.67,,,loanDepot park,
13,686527,Dominic Canzone,SEA,NYY,2026-08-12T23:05:00Z,Scheduled,3,Will Warren,701542,R,56.9,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",58.2,47.2,38.2,92.1,80.0,10.8,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,26,0,"Last 7 games: 5/26, 0 HR","platoon edge; pitcher baseline 8.4% barrel, 17.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,13.66,46.97,91.88,102.7152,0.5092,0.2325,0.3669,74.22,44.09,40.11,26.58,15.9,0.2188,8.45,43.27,90.72,0.4225,0.1603,23.47,,,Yankee Stadium,
14,701398,Sal Stewart,CIN,CWS,2026-08-12T23:40:00Z,Scheduled,2,Luis Castillo,622491,R,56.9,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",60.6,53.9,27.6,95.5,50.0,39.2,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,27,1,"Last 7 games: 7/27, 1 HR","same-side matchup; pitcher baseline 9.9% barrel, 18.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,15.1,43.33,91.83,101.521,0.5152,0.2547,0.3611,72.31,27.28,38.78,32.44,19.0,0.2396,9.91,42.9,90.16,0.4418,0.18,28.07,,,Rate Field,
15,691406,Junior Caminero,TB,ATH,2026-08-12T19:05:00Z,Scheduled,4,Jack Perkins,678022,R,56.8,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",65.2,42.9,30.9,90.4,50.0,64.8,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,27,3,Hot streak: 3 HR in last 7 games,"same-side matchup; pitcher baseline 9.7% barrel, 11.7 HR allowed",EV profile; pitcher allows elevated contact,14.0,51.19,92.89,105.3618,0.5115,0.2439,0.3656,79.41,85.46,45.66,23.98,38.0,0.2752,9.67,37.56,88.01,0.3832,0.1566,34.52,,,Sutter Health Park,
16,608369,Corey Seager,TEX,LAA,2026-08-13T02:10:00Z,Scheduled,3,George Klassen,691946,R,56.8,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",59.9,45.7,28.2,92.1,80.0,33.7,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,27,1,"Last 7 games: 6/27, 1 HR","platoon edge; pitcher baseline 13.8% barrel, 1.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,14.67,48.49,91.85,102.5447,0.4864,0.2392,0.3545,71.94,15.65,41.76,31.9,14.0,0.1901,13.8,31.0,86.5,0.441,0.168,24.1,,,Angel Stadium,
17,545361,Mike Trout,LAA,TEX,2026-08-13T02:10:00Z,Scheduled,2,Cal Quantrill,615698,R,56.8,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",64.3,48.5,28.2,95.5,50.0,36.7,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,23,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 9.5% barrel, 12.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,16.71,48.25,90.48,103.2112,0.5006,0.2516,0.3811,74.7,49.1,37.98,33.17,21.8,0.2091,9.49,37.16,88.86,0.4547,0.1926,29.78,,,Angel Stadium,
18,682829,Elly De La Cruz,CIN,CWS,2026-08-12T23:40:00Z,Scheduled,1,Luis Castillo,622491,R,56.6,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",55.9,51.9,27.6,88.7,75.0,48.7,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,25,2,Hot streak: 2 HR in last 7 games,"switch hitter; pitcher baseline 9.9% barrel, 18.8 HR allowed",EV profile; pitcher fly-ball pressure modest,12.96,49.03,92.96,104.001,0.4646,0.1982,0.3521,75.17,52.72,35.03,25.03,20.6,0.2103,9.91,42.9,90.16,0.4418,0.18,28.07,,,Rate Field,
19,666160,Mickey Moniak,COL,AZ,2026-08-12T19:40:00Z,Scheduled,5,Merrill Kelly,518876,R,56.5,Longshot,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge",49.6,65.4,28.2,81.9,80.0,30.3,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,20,1,"Last 7 games: 4/20, 1 HR","platoon edge; pitcher baseline 11.7% barrel, 23.0 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,11.84,42.71,89.42,100.2937,0.4473,0.2126,0.3097,74.19,44.58,46.38,37.82,20.5,0.2725,11.68,43.99,90.2,0.5115,0.2265,26.29,,,Chase Field,
20,660271,Shohei Ohtani,LAD,KC,2026-08-13T02:10:00Z,Scheduled,1,Daniel Lynch IV,663738,L,56.3,Longshot,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot",80.0,25.7,27.6,88.7,50.0,54.9,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,29,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 5.9% barrel, 3.8 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,18.53,54.08,93.78,104.3548,0.5909,0.3029,0.411,74.96,52.45,47.19,32.41,34.7,0.2756,5.93,36.76,87.9,0.3685,0.1305,24.51,,,UNIQLO Field at Dodger Stadium,
21,687605,Andrew Pinckney,WSH,CHC,2026-08-12T22:45:00Z,Scheduled,6,David Peterson,656849,L,56.1,Longshot,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge",72.5,37.4,28.2,71.7,78.0,37.8,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,4,1,4,1,"Last 4 games: 1/4, 1 HR","platoon edge; pitcher baseline 6.7% barrel, 11.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,33.3,33.3,90.8,98.9195,0.618,0.381,0.359,72.5,50.0,33.3,33.3,1.0,0.75,6.68,42.85,89.76,0.4182,0.1454,19.71,,,Nationals Park,
22,607043,Brandon Nimmo,TEX,LAA,2026-08-13T02:10:00Z,Scheduled,4,George Klassen,691946,R,55.9,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",50.8,45.7,28.2,90.4,80.0,81.7,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,12,27,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 13.8% barrel, 1.0 HR allowed",EV profile; pitcher fly-ball pressure modest,10.41,51.46,92.11,102.2082,0.4778,0.1964,0.3574,72.2,27.11,32.19,25.98,16.6,0.1712,13.8,31.0,86.5,0.441,0.168,24.1,,,Angel Stadium,
23,677800,Wilyer Abreu,BOS,TOR,2026-08-12T23:07:00Z,Scheduled,3,José Soriano,667755,R,55.8,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",54.1,36.4,30.4,92.1,80.0,91.5,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,22,4,Hot streak: 4 HR in last 7 games,"platoon edge; pitcher baseline 7.6% barrel, 12.0 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,12.65,43.71,90.24,101.3032,0.4792,0.2271,0.3462,73.89,38.59,37.41,37.94,21.3,0.2129,7.62,41.27,89.65,0.3782,0.1362,18.82,,,Rogers Centre,
24,547180,Bryce Harper,PHI,STL,2026-08-12T18:15:00Z,Scheduled,3,Kyle Leahy,681517,R,55.7,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",53.0,54.3,22.1,92.1,80.0,34.4,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,22,1,"Last 7 games: 5/22, 1 HR","platoon edge; pitcher baseline 10.4% barrel, 9.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.74,45.68,90.53,101.9826,0.5025,0.2303,0.3834,74.24,45.92,38.19,27.59,25.6,0.2379,10.43,47.18,90.78,0.4492,0.1754,21.84,,,Busch Stadium,
25,694192,Jackson Chourio,MIL,SD,2026-08-12T20:10:00Z,Scheduled,1,Robbie Ray,592662,L,55.5,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",53.0,47.4,22.6,88.7,78.0,76.1,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,23,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 8.7% barrel, 17.8 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,12.64,46.22,91.26,102.095,0.4659,0.2112,0.3329,74.25,44.45,31.29,27.38,18.2,0.1993,8.69,39.87,89.67,0.4046,0.1695,33.87,,,Petco Park,
26,699013,Esmerlyn Valdez,PIT,MIA,2026-08-12T22:40:00Z,Scheduled,4,Janson Junk,676083,R,55.5,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",74.0,44.5,21.5,90.4,50.0,0.0,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,19,0,"Last 7 games: 2/19, 0 HR","same-side matchup; pitcher baseline 7.9% barrel, 10.8 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,23.7,49.5,91.8,102.9576,0.47,0.267,0.35,74.7,49.2,34.4,45.2,14.0,0.323,7.87,43.17,90.69,0.4257,0.1641,23.43,,,loanDepot park,
27,695657,Colson Montgomery,CWS,CIN,2026-08-12T23:40:00Z,Scheduled,4,Rhett Lowder,695076,R,54.8,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",52.2,50.6,27.6,90.4,80.0,29.2,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,26,1,"Last 7 games: 5/26, 1 HR","platoon edge; pitcher baseline 9.5% barrel, 11.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,13.1,42.33,89.05,101.7233,0.4401,0.2248,0.3165,76.65,69.67,49.44,34.0,24.5,0.2466,9.5,38.2,90.5,0.457,0.19,28.3,,,Rate Field,
28,664040,Brandon Lowe,PIT,MIA,2026-08-12T22:40:00Z,Scheduled,2,Janson Junk,676083,R,54.3,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",52.6,44.5,21.5,95.5,80.0,48.7,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,25,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 7.9% barrel, 10.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,12.58,45.69,91.1,101.4527,0.4521,0.2072,0.3315,73.66,40.09,47.0,33.06,26.8,0.228,7.87,43.17,90.69,0.4257,0.1641,23.43,,,loanDepot park,
29,693307,Dillon Dingler,DET,CLE,2026-08-12T22:40:00Z,Scheduled,2,Foster Griffin,656492,L,54.1,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",46.7,42.9,27.6,95.5,78.0,77.0,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,30,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 9.2% barrel, 21.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.67,44.44,89.23,100.8594,0.4981,0.2137,0.3643,71.77,15.55,40.59,28.22,22.1,0.2191,9.2,37.6,87.9,0.411,0.161,25.8,,,Comerica Park,
30,663886,Tyler Stephenson,CIN,CWS,2026-08-12T23:40:00Z,Scheduled,4,Luis Castillo,622491,R,54.1,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",52.4,53.9,27.6,90.4,50.0,52.0,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,27,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 9.9% barrel, 18.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,13.1,47.17,90.99,100.6041,0.4529,0.2103,0.3389,70.59,7.35,37.15,33.15,10.9,0.1697,9.91,42.9,90.16,0.4418,0.18,28.07,,,Rate Field,
31,592626,Joc Pederson,TEX,LAA,2026-08-13T02:10:00Z,Scheduled,1,George Klassen,691946,R,53.9,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",50.0,45.7,28.2,88.7,80.0,52.0,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,18,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 13.8% barrel, 1.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.97,48.44,91.76,102.0185,0.4441,0.1992,0.3444,72.39,24.15,41.92,29.61,18.1,0.2261,13.8,31.0,86.5,0.441,0.168,24.1,,,Angel Stadium,
32,641933,Tyler O'Neill,BAL,MIN,2026-08-12T17:40:00Z,Scheduled,4,Zebby Matthews,805673,R,53.5,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",48.6,56.3,27.1,90.4,50.0,54.4,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,21,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 11.6% barrel, 15.5 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,11.53,41.41,89.5,100.4288,0.4376,0.2191,0.3236,72.81,22.77,45.44,39.98,9.7,0.1881,11.58,40.06,90.11,0.4463,0.1872,27.66,,,Target Field,
