rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
12,668904,Royce Lewis,MIN,PHI,2026-08-13T23:30:00Z,Pre-Game,5,Aaron Nola,605400,R,52.3,Longshot,Watch List,Strong Barrel,44.3,50.3,42.6,86.4,50.0,53.6,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,11,31,1,Contact streak: 11/31 over last 7 games,"same-side matchup; pitcher baseline 9.7% barrel, 25.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.08,42.4,90.08,101.0553,0.4133,0.1733,0.3131,74.72,50.52,47.0,30.99,13.0,0.1769,9.73,42.04,88.91,0.4233,0.178,27.88,In From CF,76,Field of Dreams,
13,681624,Andy Pages,LAD,MIL,2026-08-14T02:10:00Z,Pre-Game,2,Shane Drohan,675660,L,52.2,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",36.2,35.4,56.1,100.0,78.0,46.5,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,26,1,"Last 7 games: 8/26, 1 HR","platoon edge; pitcher baseline 8.7% barrel, 9.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.91,40.98,88.88,99.849,0.4336,0.1686,0.3307,72.78,26.4,37.76,28.79,21.4,0.1855,8.7,37.2,88.0,0.362,0.132,29.3,Varies,84,UNIQLO Field at Dodger Stadium,
14,661388,William Contreras,MIL,LAD,2026-08-14T02:10:00Z,Pre-Game,4,Roki Sasaki,808963,R,51.8,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",36.7,54.8,56.1,90.4,50.0,18.3,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,24,1,"Last 7 games: 2/24, 1 HR","same-side matchup; pitcher baseline 10.7% barrel, 16.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.1,44.16,90.26,101.4213,0.4196,0.1639,0.3294,73.27,35.11,35.97,24.29,12.8,0.1271,10.68,43.51,90.04,0.4223,0.1845,28.42,Varies,84,UNIQLO Field at Dodger Stadium,
15,592885,Christian Yelich,MIL,LAD,2026-08-14T02:10:00Z,Pre-Game,7,Roki Sasaki,808963,R,51.0,Longshot,Watch List,"Projected Lineup, Platoon Edge",36.7,54.8,56.1,59.8,80.0,36.0,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,21,1,"Last 7 games: 5/21, 1 HR","platoon edge; pitcher baseline 10.7% barrel, 16.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.67,42.97,89.01,100.8281,0.3928,0.1639,0.309,73.09,31.55,33.75,19.23,14.3,0.1572,10.68,43.51,90.04,0.4223,0.1845,28.42,Varies,84,UNIQLO Field at Dodger Stadium,
16,608369,Corey Seager,TEX,LAA,2026-08-14T02:07:00Z,Scheduled,3,Walbert Ureña,700712,R,50.9,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",61.3,13.5,28.2,92.1,80.0,61.5,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,28,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 4.7% barrel, 6.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,15.23,48.49,91.85,102.5498,0.492,0.2434,0.3566,71.94,15.93,42.25,32.18,14.7,0.1999,4.7,33.3,86.9,0.299,0.097,22.1,,,Angel Stadium,
17,680777,Ryan Jeffers,MIN,PHI,2026-08-13T23:30:00Z,Pre-Game,3,Aaron Nola,605400,R,50.4,Longshot,Watch List,Premium Lineup Spot,39.0,50.3,42.6,96.6,50.0,21.1,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,23,0,"Last 7 games: 6/23, 0 HR","same-side matchup; pitcher baseline 9.7% barrel, 25.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.45,40.49,89.09,100.8221,0.4315,0.1794,0.3495,72.93,35.35,37.04,27.4,9.7,0.1877,9.73,42.04,88.91,0.4233,0.178,27.88,In From CF,76,Field of Dreams,
18,687263,Zach Neto,LAA,TEX,2026-08-14T02:07:00Z,Scheduled,4,Jacob deGrom,594798,R,50.4,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",47.1,50.8,28.2,90.4,50.0,25.3,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,30,1,"Last 7 games: 5/30, 1 HR","same-side matchup; pitcher baseline 9.1% barrel, 19.7 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,12.39,41.98,89.81,100.1558,0.4194,0.2048,0.3111,71.26,13.48,46.99,35.31,21.8,0.1981,9.09,44.42,90.52,0.3966,0.1679,29.88,,,Angel Stadium,
19,606192,Teoscar Hernández,LAD,MIL,2026-08-14T02:10:00Z,Pre-Game,5,Shane Drohan,675660,L,49.7,Longshot,Watch List,Platoon Edge,41.4,35.4,56.1,86.4,78.0,0.0,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,18,0,"Last 7 games: 2/18, 0 HR","platoon edge; pitcher baseline 8.7% barrel, 9.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.75,43.44,89.71,100.8738,0.4221,0.178,0.3167,72.41,24.57,34.08,30.01,15.2,0.1699,8.7,37.2,88.0,0.362,0.132,29.3,Varies,84,UNIQLO Field at Dodger Stadium,
20,518692,Freddie Freeman,LAD,MIL,2026-08-14T02:10:00Z,Pre-Game,4,Shane Drohan,675660,L,49.6,Longshot,Watch List,Premium Lineup Spot,42.4,35.4,56.1,94.9,50.0,18.0,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,25,0,"Last 7 games: 6/25, 0 HR","same-side matchup; pitcher baseline 8.7% barrel, 9.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.42,43.67,90.13,100.4673,0.4824,0.1923,0.3689,70.15,8.26,36.47,27.07,17.7,0.1783,8.7,37.2,88.0,0.362,0.132,29.3,Varies,84,UNIQLO Field at Dodger Stadium,
21,663616,Trevor Larnach,MIN,PHI,2026-08-13T23:30:00Z,Pre-Game,1,Aaron Nola,605400,R,48.7,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",30.1,50.3,42.6,93.2,80.0,0.0,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,24,0,"Last 7 games: 2/24, 0 HR","platoon edge; pitcher baseline 9.7% barrel, 25.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.41,38.98,88.45,99.636,0.4002,0.146,0.3264,72.1,21.78,42.48,24.19,12.1,0.1589,9.73,42.04,88.91,0.4233,0.178,27.88,In From CF,76,Field of Dreams,
22,683734,Andrew Vaughn,MIL,LAD,2026-08-14T02:10:00Z,Pre-Game,6,Roki Sasaki,808963,R,48.4,Longshot,Watch List,Projected Lineup,34.1,54.8,56.1,71.7,50.0,21.1,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,23,0,"Last 7 games: 6/23, 0 HR","same-side matchup; pitcher baseline 10.7% barrel, 16.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.59,43.29,90.06,99.9919,0.4181,0.15,0.3406,70.39,12.73,35.82,24.2,7.7,0.164,10.68,43.51,90.04,0.4223,0.1845,28.42,Varies,84,UNIQLO Field at Dodger Stadium,
23,681082,Bryson Stott,PHI,MIN,2026-08-13T23:30:00Z,Pre-Game,5,Taj Bradley,671737,R,48.1,Longshot,Watch List,Platoon Edge,27.1,46.8,42.6,86.4,80.0,44.5,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,24,0,Contact streak: 10/24 over last 7 games,"platoon edge; pitcher baseline 8.6% barrel, 17.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.01,37.2,89.0,98.7263,0.4056,0.1397,0.3284,69.79,6.75,35.01,27.73,9.5,0.1466,8.59,43.75,90.39,0.3854,0.1561,28.77,In From CF,76,Field of Dreams,
24,607043,Brandon Nimmo,TEX,LAA,2026-08-14T02:07:00Z,Scheduled,4,Walbert Ureña,700712,R,47.5,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",50.4,13.5,28.2,90.4,80.0,70.6,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,26,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 4.7% barrel, 6.0 HR allowed",EV profile; pitcher fly-ball pressure modest,10.34,51.11,92.11,102.1801,0.475,0.1957,0.3553,72.2,27.18,32.26,25.84,16.6,0.1698,4.7,33.3,86.9,0.299,0.097,22.1,,,Angel Stadium,
25,669016,Brandon Marsh,PHI,MIN,2026-08-13T23:30:00Z,Pre-Game,7,Taj Bradley,671737,R,46.9,Longshot,Watch List,Platoon Edge,38.1,46.8,42.6,64.3,80.0,10.8,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,26,0,"Last 7 games: 5/26, 0 HR","platoon edge; pitcher baseline 8.6% barrel, 17.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.33,45.7,90.05,100.3341,0.4222,0.1599,0.3167,71.54,15.86,38.19,26.24,14.5,0.1616,8.59,43.75,90.39,0.3854,0.1561,28.77,In From CF,76,Field of Dreams,
26,607208,Trea Turner,PHI,MIN,2026-08-13T23:30:00Z,Pre-Game,2,Taj Bradley,671737,R,46.5,Longshot,Watch List,Premium Lineup Spot,27.7,46.8,42.6,100.0,50.0,25.3,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,30,1,"Last 7 games: 5/30, 1 HR","same-side matchup; pitcher baseline 8.6% barrel, 17.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.22,40.56,88.67,99.3877,0.3869,0.1309,0.3056,71.45,19.0,35.24,25.34,16.4,0.1509,8.59,43.75,90.39,0.3854,0.1561,28.77,In From CF,76,Field of Dreams,
27,592626,Joc Pederson,TEX,LAA,2026-08-14T02:07:00Z,Scheduled,1,Walbert Ureña,700712,R,46.4,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",50.1,13.5,28.2,88.7,80.0,56.2,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,16,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 4.7% barrel, 6.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.9,48.72,91.83,102.0363,0.4441,0.1985,0.3451,72.46,24.5,41.99,29.47,18.1,0.2254,4.7,33.3,86.9,0.299,0.097,22.1,,,Angel Stadium,
28,694208,Moises Ballesteros,LAA,TEX,2026-08-14T02:07:00Z,Scheduled,6,Jacob deGrom,594798,R,45.6,Longshot,Watch List,"Projected Lineup, Platoon Edge",35.0,50.8,28.2,71.7,80.0,7.0,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,24,0,"Last 7 games: 4/24, 0 HR","platoon edge; pitcher baseline 9.1% barrel, 19.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.31,43.31,90.08,101.0984,0.3979,0.1478,0.3207,72.92,36.02,34.29,19.46,4.8,0.1431,9.09,44.42,90.52,0.3966,0.1679,29.88,,,Angel Stadium,
29,669242,Tommy Edman,LAD,MIL,2026-08-14T02:10:00Z,Pre-Game,3,Shane Drohan,675660,L,45.3,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",23.7,34.4,56.1,96.6,75.0,10.8,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,26,0,"Last 7 games: 5/26, 0 HR","switch hitter; pitcher baseline 8.7% barrel, 9.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.48,37.45,88.58,99.655,0.3886,0.1174,0.3196,70.52,11.83,43.02,25.73,6.0,0.1367,8.7,37.2,88.0,0.362,0.132,29.3,Varies,84,UNIQLO Field at Dodger Stadium,
30,571771,Enrique Hernández,LAD,MIL,2026-08-14T02:10:00Z,Pre-Game,8,Shane Drohan,675660,L,44.4,Longshot,Watch List,"Strong Barrel, Platoon Edge",39.7,35.4,56.1,52.4,78.0,0.0,Yes,Yes,8,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,1,12,0,"Last 7 games: 1/12, 0 HR","platoon edge; pitcher baseline 8.7% barrel, 9.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.11,40.12,89.74,99.5161,0.4164,0.1744,0.3024,70.47,12.0,20.98,26.17,3.7,0.2155,8.7,37.2,88.0,0.362,0.132,29.3,Varies,84,UNIQLO Field at Dodger Stadium,
31,664761,Alec Bohm,PHI,MIN,2026-08-13T23:30:00Z,Pre-Game,6,Taj Bradley,671737,R,44.0,Longshot,Watch List,No major boost,29.6,46.8,42.6,76.2,50.0,29.4,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,19,0,"Last 7 games: 6/19, 0 HR","same-side matchup; pitcher baseline 8.6% barrel, 17.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.5,43.04,90.52,100.1087,0.3948,0.1348,0.3149,71.14,13.3,28.7,21.88,12.4,0.1276,8.59,43.75,90.39,0.3854,0.1561,28.77,In From CF,76,Field of Dreams,
32,663656,Kyle Tucker,LAD,MIL,2026-08-14T02:10:00Z,Pre-Game,7,Shane Drohan,675660,L,42.9,Longshot,Watch List,No major boost,34.0,35.4,56.1,64.3,50.0,25.3,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,24,1,"Last 7 games: 4/24, 1 HR","same-side matchup; pitcher baseline 8.7% barrel, 9.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.65,38.58,89.19,98.8348,0.42,0.1563,0.3461,71.58,21.22,43.1,32.98,14.3,0.1588,8.7,37.2,88.0,0.362,0.132,29.3,Varies,84,UNIQLO Field at Dodger Stadium,
33,694384,Nolan Schanuel,LAA,TEX,2026-08-14T02:07:00Z,Scheduled,3,Jacob deGrom,594798,R,42.5,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",13.6,50.8,28.2,92.1,80.0,28.9,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,21,1,"Last 7 games: 4/21, 1 HR","platoon edge; pitcher baseline 9.1% barrel, 19.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.1,31.8,87.43,97.0663,0.3852,0.1113,0.3298,67.96,5.76,40.87,22.06,8.5,0.1173,9.09,44.42,90.52,0.3966,0.1679,29.88,,,Angel Stadium,
