rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
22,694671,Wyatt Langford,TEX,SF,2026-08-05T18:35:00Z,Pre-Game,1,Carson Whisenhunt,687931,L,58.0,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",42.4,69.8,42.1,93.2,78.0,18.3,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,27,1,"Last 7 games: 3/27, 1 HR","platoon edge; pitcher baseline 12.1% barrel, 4.6 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,10.15,41.68,90.21,100.9426,0.4207,0.1827,0.3166,72.82,26.24,42.33,30.04,15.7,0.2138,12.08,47.83,90.51,0.5387,0.2494,33.26,None,74,Globe Life Field,
23,665052,Griffin Conine,MIA,ATL,2026-08-05T23:15:00Z,Scheduled,3,Bryce Elder,693821,R,57.9,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",61.3,42.3,30.9,92.1,80.0,56.2,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,20,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 6.8% barrel, 20.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,15.99,53.14,91.46,103.6315,0.4824,0.2208,0.3566,74.19,44.32,44.84,22.57,7.6,0.2392,6.82,41.91,90.14,0.4116,0.1582,26.01,,,Truist Park,
24,518692,Freddie Freeman,LAD,CHC,2026-08-05T18:20:00Z,Warmup,3,Shota Imanaga,684007,L,57.5,Longshot,Watch List,Premium Lineup Spot,43.6,51.5,69.8,96.6,50.0,45.0,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,12,26,0,Contact streak: 12/26 over last 7 games,"same-side matchup; pitcher baseline 10.1% barrel, 26.1 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,9.63,44.44,90.27,100.6317,0.4859,0.1951,0.371,70.22,8.47,36.89,27.14,17.7,0.1853,10.13,37.62,88.88,0.4235,0.1905,33.48,Out To CF,80,Wrigley Field,
25,695506,Jac Caglianone,KC,MIN,2026-08-05T23:40:00Z,Scheduled,3,Dean Kremer,665152,R,57.3,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",58.7,46.8,23.2,92.1,80.0,61.5,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,28,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 8.7% barrel, 15.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,13.68,51.43,91.85,104.8371,0.473,0.2136,0.342,77.4,75.67,43.72,22.54,14.7,0.1835,8.7,34.96,87.26,0.462,0.2114,35.47,,,Kauffman Stadium,
26,699013,Esmerlyn Valdez,PIT,MIL,2026-08-05T23:40:00Z,Scheduled,4,Kyle Harrison,690986,L,57.3,Longshot,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",77.2,33.4,27.6,90.4,78.0,0.0,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,1,20,0,"Last 7 games: 1/20, 0 HR","platoon edge; pitcher baseline 6.6% barrel, 8.2 HR allowed",EV profile; pitcher fly-ball pressure modest,24.1,50.6,92.4,103.3798,0.493,0.284,0.354,74.6,48.1,33.3,46.0,14.0,0.354,6.59,38.43,89.65,0.3663,0.1364,28.93,,,American Family Field,
27,666211,Taylor Trammell,HOU,TOR,2026-08-05T18:10:00Z,Warmup,5,Jameson Taillon,592791,R,57.1,Longshot,Watch List,"Strong Barrel, Platoon Edge",40.0,69.6,41.6,86.4,80.0,32.9,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,23,1,"Last 7 games: 5/23, 1 HR","platoon edge; pitcher baseline 13.4% barrel, 24.7 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,10.74,37.29,89.11,100.8356,0.3819,0.176,0.3032,75.44,54.86,45.77,30.51,5.1,0.1619,13.42,38.72,88.72,0.5045,0.253,37.8,None,73,Daikin Park,
28,571970,Max Muncy,LAD,CHC,2026-08-05T18:20:00Z,Warmup,7,Shota Imanaga,684007,L,56.5,Longshot,Watch List,Strong Barrel,56.3,51.5,69.8,64.3,50.0,31.6,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,24,1,"Last 7 games: 5/24, 1 HR","same-side matchup; pitcher baseline 10.1% barrel, 26.1 HR allowed",fly-ball profile; pitcher allows elevated contact,13.46,47.16,90.67,101.3097,0.4795,0.2394,0.3565,71.38,13.99,52.83,35.23,20.4,0.2326,10.13,37.62,88.88,0.4235,0.1905,33.48,Out To CF,80,Wrigley Field,
29,683737,Michael Busch,CHC,LAD,2026-08-05T18:20:00Z,Warmup,5,Eric Lauer,641778,L,56.5,Longshot,Watch List,Strong Barrel,45.1,54.1,69.8,86.4,50.0,31.4,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,29,1,"Last 7 games: 6/29, 1 HR","same-side matchup; pitcher baseline 10.3% barrel, 18.5 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,11.78,42.12,89.4,99.6471,0.4472,0.2062,0.3472,68.76,5.57,40.49,34.83,20.0,0.1836,10.27,37.07,88.85,0.4477,0.2028,36.69,Out To CF,80,Wrigley Field,
30,682987,Spencer Jones,NYY,STL,2026-08-05T23:05:00Z,Scheduled,4,Andre Pallante,669467,R,56.2,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",61.2,27.7,38.2,90.4,80.0,74.5,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,24,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 6.0% barrel, 13.3 HR allowed",EV profile; pitcher fly-ball pressure modest,11.5,61.7,94.2,103.5868,0.401,0.19,0.304,77.8,79.3,29.5,36.1,5.0,0.183,5.97,35.98,88.15,0.3817,0.1342,18.1,,,Yankee Stadium,
31,660670,Ronald Acuna,ATL,MIA,2026-08-05T23:15:00Z,Scheduled,2,Eury Pérez,691587,R,56.0,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",61.6,46.2,30.9,95.5,50.0,41.7,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,26,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 9.9% barrel, 12.7 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,14.86,47.39,91.02,102.9001,0.5063,0.2482,0.3837,75.98,62.46,36.37,28.72,12.6,0.1895,9.91,41.39,88.75,0.3751,0.1672,31.36,,,Truist Park,
32,701398,Sal Stewart,CIN,ATH,2026-08-05T22:40:00Z,Scheduled,2,Jacob Lopez,682052,L,55.9,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",61.8,20.9,39.3,95.5,78.0,85.0,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,25,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 5.1% barrel, 12.9 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,15.38,43.75,91.97,101.6434,0.5208,0.2582,0.3653,72.31,27.49,38.57,32.44,18.3,0.2438,5.13,31.59,85.85,0.3424,0.1268,32.06,,,Great American Ball Park,
