rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
68,596019,Francisco Lindor,NYM,CLE,2026-08-05T22:40:00Z,Scheduled,2,Tanner Bibee,676440,R,51.6,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",47.0,42.0,27.6,95.5,75.0,34.9,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,26,1,"Last 7 games: 6/26, 1 HR","switch hitter; pitcher baseline 8.3% barrel, 22.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.46,47.34,91.2,100.371,0.4596,0.2003,0.3485,72.09,22.74,43.85,29.88,15.6,0.1906,8.31,38.63,89.13,0.4137,0.1646,27.27,,,Progressive Field,
69,695657,Colson Montgomery,CWS,BOS,2026-08-05T23:10:00Z,Scheduled,4,Sonny Gray,543243,R,51.6,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",52.9,37.6,28.7,90.4,80.0,18.3,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,28,1,"Last 7 games: 3/28, 1 HR","platoon edge; pitcher baseline 7.7% barrel, 15.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,13.17,42.47,89.19,101.7926,0.445,0.2269,0.3193,76.58,69.11,49.3,34.49,23.8,0.2501,7.7,39.16,89.25,0.3936,0.1404,22.22,,,Fenway Park,
70,683357,Owen Caissie,MIA,ATL,2026-08-05T23:15:00Z,Scheduled,5,Bryce Elder,693821,R,51.6,Longshot,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge",49.2,42.3,30.9,81.9,80.0,36.7,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,17,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 6.8% barrel, 20.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,15.05,39.18,90.45,100.5086,0.3852,0.1818,0.2803,74.88,53.95,30.13,31.67,8.7,0.1953,6.82,41.91,90.14,0.4116,0.1582,26.01,,,Truist Park,
71,682928,CJ Abrams,WSH,PHI,2026-08-05T22:40:00Z,Scheduled,4,Andrew Painter,691725,R,51.1,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",41.7,46.5,34.3,90.4,80.0,24.3,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,25,1,"Last 7 games: 4/25, 1 HR","platoon edge; pitcher baseline 9.4% barrel, 15.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.84,41.79,89.4,100.1598,0.4409,0.1875,0.3349,72.75,27.33,44.01,29.29,25.3,0.2376,9.4,36.5,87.4,0.465,0.194,28.3,,,Citizens Bank Park,
72,678246,Miguel Vargas,CWS,BOS,2026-08-05T23:10:00Z,Scheduled,3,Sonny Gray,543243,R,51.1,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",55.3,37.6,28.7,92.1,50.0,41.7,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,26,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 7.7% barrel, 15.9 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,13.04,44.91,90.47,100.6121,0.4896,0.2312,0.3673,73.05,34.56,43.3,36.22,21.6,0.2188,7.7,39.16,89.25,0.3936,0.1404,22.22,,,Fenway Park,
73,671732,Lawrence Butler,ATH,CIN,2026-08-05T22:40:00Z,Scheduled,1,Rhett Lowder,695076,R,51.0,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",33.0,50.5,39.3,88.7,80.0,50.3,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,24,1,Contact streak: 8/24 over last 7 games,"platoon edge; pitcher baseline 9.4% barrel, 10.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.66,45.52,89.59,101.8134,0.3664,0.1325,0.3068,73.7,38.16,35.31,20.95,10.5,0.1308,9.4,39.0,90.8,0.453,0.186,28.4,,,Great American Ball Park,
74,665487,Fernando Tatis,SD,AZ,2026-08-06T01:40:00Z,Scheduled,1,Mitch Bratt,683352,L,51.0,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",50.2,38.2,28.2,88.7,78.0,32.0,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,27,0,Contact streak: 9/27 over last 7 games,"platoon edge; pitcher baseline 8.6% barrel, 4.0 HR allowed",EV profile; pitcher allows elevated contact,10.58,52.43,92.46,104.2761,0.4516,0.1708,0.3574,75.44,57.35,33.68,21.31,13.1,0.1346,8.6,37.1,87.7,0.405,0.168,30.0,,,Chase Field,
75,670231,John Rave,KC,MIN,2026-08-05T23:40:00Z,Scheduled,7,Dean Kremer,665152,R,50.7,Longshot,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge",55.2,46.8,23.2,59.8,80.0,43.2,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,21,1,"Last 7 games: 6/21, 1 HR","platoon edge; pitcher baseline 8.7% barrel, 15.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,17.19,40.49,87.25,101.7302,0.4988,0.2368,0.358,75.09,53.65,49.14,25.48,2.6,0.2804,8.7,34.96,87.26,0.462,0.2114,35.47,,,Kauffman Stadium,
76,621438,Tyrone Taylor,CHC,LAD,2026-08-05T18:20:00Z,Warmup,9,Eric Lauer,641778,L,50.5,Longshot,Watch List,Platoon Edge,33.5,54.1,69.8,44.8,78.0,54.0,Yes,Yes,9,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,17,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 10.3% barrel, 18.5 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,9.33,35.59,87.2,98.7214,0.4137,0.1756,0.3043,71.28,12.49,48.44,31.4,7.6,0.2087,10.27,37.07,88.85,0.4477,0.2028,36.69,Out To CF,80,Wrigley Field,
77,592518,Manny Machado,SD,AZ,2026-08-06T01:40:00Z,Scheduled,3,Mitch Bratt,683352,L,50.5,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",50.9,38.2,28.2,92.1,78.0,8.8,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,28,0,"Last 7 games: 5/28, 0 HR","platoon edge; pitcher baseline 8.6% barrel, 4.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,11.43,46.53,91.29,101.9072,0.4495,0.203,0.3347,74.64,44.51,40.92,28.99,24.2,0.2067,8.6,37.1,87.7,0.405,0.168,30.0,,,Chase Field,
78,682829,Elly De La Cruz,CIN,ATH,2026-08-05T22:40:00Z,Scheduled,1,Jacob Lopez,682052,L,50.1,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",57.6,19.5,39.3,88.7,75.0,26.4,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,27,0,"Last 7 games: 8/27, 0 HR","switch hitter; pitcher baseline 5.1% barrel, 12.9 HR allowed",EV profile; pitcher allows elevated contact,13.38,50.15,93.24,104.2191,0.4695,0.2003,0.3556,75.24,52.65,35.66,24.96,19.2,0.2089,5.13,31.59,85.85,0.3424,0.1268,32.06,,,Great American Ball Park,
79,681715,Heriberto Hernandez,MIA,ATL,2026-08-05T23:15:00Z,Scheduled,6,Bryce Elder,693821,R,50.0,Longshot,Watch List,"Projected Lineup, Strong Barrel",55.3,42.3,30.9,71.7,50.0,47.5,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,26,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 6.8% barrel, 20.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,12.19,48.41,91.39,101.7408,0.4714,0.2236,0.3445,74.35,47.28,45.42,31.04,14.2,0.2147,6.82,41.91,90.14,0.4116,0.1582,26.01,,,Truist Park,
80,695734,Daylen Lile,WSH,PHI,2026-08-05T22:40:00Z,Scheduled,1,Andrew Painter,691725,R,49.9,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",30.9,46.5,34.3,88.7,80.0,76.1,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,23,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 9.4% barrel, 15.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.16,37.16,88.41,98.6553,0.4238,0.1551,0.3235,70.43,7.54,40.87,31.99,12.5,0.1801,9.4,36.5,87.4,0.465,0.194,28.3,,,Citizens Bank Park,
81,802139,JJ Wetherholt,STL,NYY,2026-08-05T23:05:00Z,Scheduled,1,Will Warren,701542,R,49.9,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",37.0,46.0,38.2,88.7,80.0,25.3,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,24,1,"Last 7 games: 4/24, 1 HR","platoon edge; pitcher baseline 8.2% barrel, 17.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.0,43.8,89.7,99.271,0.429,0.174,0.348,72.2,21.4,38.2,28.6,16.0,0.138,8.24,42.85,90.58,0.4183,0.1589,23.68,,,Yankee Stadium,
82,605137,Josh Bell,MIN,KC,2026-08-05T23:40:00Z,Scheduled,4,Noah Cameron,702070,L,49.9,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",45.7,41.3,23.2,90.4,75.0,40.7,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,26,1,"Last 7 games: 7/26, 1 HR","switch hitter; pitcher baseline 8.3% barrel, 15.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.7,44.27,90.19,101.0642,0.4514,0.2024,0.3331,72.33,28.29,41.29,26.92,16.4,0.1723,8.26,38.31,88.81,0.431,0.173,25.96,,,Kauffman Stadium,
83,672960,Kazuma Okamoto,TOR,HOU,2026-08-05T18:10:00Z,Warmup,2,Hunter Brown,686613,R,49.8,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot",51.5,24.1,41.6,100.0,50.0,44.8,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,27,1,"Last 7 games: 8/27, 1 HR","same-side matchup; pitcher baseline 6.5% barrel, 9.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,13.1,45.1,90.7,101.8356,0.421,0.208,0.311,73.3,36.4,50.7,32.8,24.0,0.214,6.46,36.33,86.59,0.3355,0.1304,23.16,None,73,Daikin Park,
84,664034,Ty France,SD,AZ,2026-08-06T01:40:00Z,Scheduled,4,Mitch Bratt,683352,L,49.8,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",45.7,38.2,28.2,90.4,78.0,32.0,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,24,0,Contact streak: 8/24 over last 7 games,"platoon edge; pitcher baseline 8.6% barrel, 4.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,10.01,48.61,91.67,101.4652,0.439,0.1828,0.3315,71.7,18.76,36.15,24.27,13.3,0.1947,8.6,37.1,87.7,0.405,0.168,30.0,,,Chase Field,
85,553869,Elias Díaz,TEX,SF,2026-08-05T18:35:00Z,Pre-Game,6,Carson Whisenhunt,687931,L,49.7,Longshot,Watch List,Platoon Edge,23.8,69.8,42.1,76.2,78.0,21.8,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,14,1,"Last 7 games: 2/14, 1 HR","platoon edge; pitcher baseline 12.1% barrel, 4.6 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,5.85,36.39,86.65,99.3042,0.3522,0.1271,0.2687,74.34,42.6,39.89,28.36,6.2,0.169,12.08,47.83,90.51,0.5387,0.2494,33.26,None,74,Globe Life Field,
86,521692,Salvador Perez,KC,MIN,2026-08-05T23:40:00Z,Scheduled,4,Dean Kremer,665152,R,49.7,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",46.7,46.8,23.2,90.4,50.0,48.5,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,28,1,Contact streak: 9/28 over last 7 games,"same-side matchup; pitcher baseline 8.7% barrel, 15.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,11.58,43.97,89.3,100.732,0.4493,0.2079,0.3164,71.99,22.21,41.98,30.92,20.2,0.1771,8.7,34.96,87.26,0.462,0.2114,35.47,,,Kauffman Stadium,
87,680700,Richie Palacios,TB,COL,2026-08-05T19:10:00Z,Pre-Game,7,Tomoyuki Sugano,608372,R,49.6,Longshot,Watch List,"Pitcher Vulnerable, Platoon Edge",14.9,74.6,61.7,64.3,80.0,26.8,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,17,1,"Last 7 games: 3/17, 1 HR","platoon edge; pitcher baseline 13.3% barrel, 24.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.85,31.99,87.1,96.7987,0.3667,0.1025,0.3229,68.84,3.24,34.99,20.42,3.8,0.1176,13.27,43.16,90.7,0.5576,0.2497,29.86,Varies,77,Coors Field,
88,686611,Dylan Crews,WSH,PHI,2026-08-05T22:40:00Z,Scheduled,3,Andrew Painter,691725,R,49.5,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",43.9,46.5,34.3,92.1,50.0,25.3,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,24,1,"Last 7 games: 4/24, 1 HR","same-side matchup; pitcher baseline 9.4% barrel, 15.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.29,42.76,90.54,101.4034,0.4217,0.1839,0.3217,73.69,35.62,33.8,29.31,9.3,0.1524,9.4,36.5,87.4,0.465,0.194,28.3,,,Citizens Bank Park,
89,680777,Ryan Jeffers,MIN,KC,2026-08-05T23:40:00Z,Scheduled,3,Noah Cameron,702070,L,49.5,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",41.5,42.9,23.2,92.1,78.0,43.2,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,28,1,"Last 7 games: 8/28, 1 HR","platoon edge; pitcher baseline 8.3% barrel, 15.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.87,41.26,89.3,100.8804,0.4448,0.1892,0.3551,72.79,34.79,37.25,28.24,9.7,0.1989,8.26,38.31,88.81,0.431,0.173,25.96,,,Kauffman Stadium,
90,642715,Willy Adames,SF,TEX,2026-08-05T18:35:00Z,Pre-Game,3,Cody Bradford,674003,L,49.4,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",37.5,41.2,42.1,96.6,78.0,5.1,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,26,0,"Last 7 games: 4/26, 0 HR","platoon edge; pitcher baseline 0.0% barrel, 0.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.66,39.93,87.92,99.0729,0.3979,0.1774,0.3011,72.21,23.83,47.91,34.2,21.6,0.1911,,,,,,,None,74,Globe Life Field,
91,693307,Dillon Dingler,DET,SEA,2026-08-06T01:40:00Z,Scheduled,3,Bryan Woo,693433,R,49.3,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",47.4,40.5,25.4,92.1,50.0,55.2,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,37,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 7.4% barrel, 16.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.67,45.14,89.44,100.9658,0.5009,0.2144,0.3664,71.77,15.62,40.45,28.36,20.7,0.2177,7.42,42.29,89.38,0.3807,0.1478,28.06,,,T-Mobile Park,
92,687263,Zach Neto,LAA,BAL,2026-08-05T22:35:00Z,Scheduled,1,Trevor Rogers,669432,L,49.1,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",48.2,35.8,32.1,88.7,78.0,7.9,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,29,0,"Last 7 games: 5/29, 0 HR","platoon edge; pitcher baseline 6.8% barrel, 8.8 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,12.74,41.84,89.88,100.1853,0.4264,0.2097,0.3167,71.19,13.27,46.99,35.45,21.1,0.2002,6.83,42.03,89.28,0.3872,0.1433,24.81,,,Oriole Park at Camden Yards,
93,663757,Trent Grisham,NYY,STL,2026-08-05T23:05:00Z,Scheduled,1,Andre Pallante,669467,R,49.0,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",47.2,27.7,38.2,88.7,80.0,29.2,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,26,1,"Last 7 games: 5/26, 1 HR","platoon edge; pitcher baseline 6.0% barrel, 13.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.84,45.35,90.89,100.8338,0.4525,0.2038,0.3504,70.72,8.95,46.54,30.42,18.6,0.1884,5.97,35.98,88.15,0.3817,0.1342,18.1,,,Yankee Stadium,
94,663886,Tyler Stephenson,CIN,ATH,2026-08-05T22:40:00Z,Scheduled,5,Jacob Lopez,682052,L,48.8,Longshot,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge",51.3,20.9,39.3,81.9,78.0,50.3,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,21,1,Contact streak: 7/21 over last 7 games,"platoon edge; pitcher baseline 5.1% barrel, 12.9 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,12.82,46.68,90.92,100.5747,0.4487,0.2068,0.3382,70.66,7.77,37.71,32.87,10.2,0.1683,5.13,31.59,85.85,0.3424,0.1268,32.06,,,Great American Ball Park,
95,673237,Yainer Diaz,HOU,TOR,2026-08-05T18:10:00Z,Warmup,8,Jameson Taillon,592791,R,48.6,Longshot,Watch List,Hot Hitter/Streak,29.5,69.6,41.6,52.4,50.0,81.7,Yes,Yes,8,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,13,26,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 13.4% barrel, 24.7 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,6.8,37.02,88.43,99.6032,0.4307,0.1592,0.3155,72.34,20.9,35.79,19.59,11.6,0.1582,13.42,38.72,88.72,0.5045,0.253,37.8,None,73,Daikin Park,
96,663728,Cal Raleigh,SEA,DET,2026-08-06T01:40:00Z,Scheduled,6,Drew Anderson,623454,R,48.6,Longshot,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge",54.1,34.0,25.4,71.7,75.0,40.9,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,27,2,Hot streak: 2 HR in last 7 games,"switch hitter; pitcher baseline 7.7% barrel, 9.0 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,14.67,38.82,89.48,100.6255,0.4245,0.2292,0.3164,75.06,53.16,54.29,41.66,26.4,0.2055,7.7,39.4,90.4,0.342,0.132,23.5,,,T-Mobile Park,
97,694249,Cole Carrigg,COL,TB,2026-08-05T19:10:00Z,Pre-Game,2,Nick Martinez,607259,R,48.5,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",24.1,34.5,61.7,100.0,75.0,45.0,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,21,0,Contact streak: 9/21 over last 7 games,"switch hitter; pitcher baseline 7.3% barrel, 17.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.0,33.3,86.6,98.2402,0.411,0.147,0.338,73.6,37.7,44.2,29.2,5.0,0.213,7.28,33.17,87.32,0.4345,0.1628,28.54,Varies,77,Coors Field,
98,701807,Carson Benge,NYM,CLE,2026-08-05T22:40:00Z,Scheduled,4,Tanner Bibee,676440,R,48.4,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",34.1,43.8,27.6,90.4,80.0,52.3,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,26,1,Contact streak: 9/26 over last 7 games,"platoon edge; pitcher baseline 8.3% barrel, 22.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.8,41.0,89.3,100.0599,0.434,0.157,0.338,71.0,18.0,33.0,26.0,12.0,0.135,8.31,38.63,89.13,0.4137,0.1646,27.27,,,Progressive Field,
99,802415,Chandler Simpson,TB,COL,2026-08-05T19:10:00Z,Pre-Game,5,Tomoyuki Sugano,608372,R,48.3,Longshot,Watch List,"Pitcher Vulnerable, Platoon Edge",0.3,74.6,61.7,86.4,80.0,33.9,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,26,0,Contact streak: 9/26 over last 7 games,"platoon edge; pitcher baseline 13.3% barrel, 24.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,0.0,15.27,84.09,93.0883,0.3073,0.0382,0.2746,64.73,0.44,27.85,12.23,0.0,0.0563,13.27,43.16,90.7,0.5576,0.2497,29.86,Varies,77,Coors Field,
100,664761,Alec Bohm,PHI,WSH,2026-08-05T22:40:00Z,Scheduled,5,Jake Irvin,663623,R,48.3,Longshot,Watch List,Projected Lineup,29.2,68.5,34.3,81.9,50.0,20.9,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,27,0,"Last 7 games: 7/27, 0 HR","same-side matchup; pitcher baseline 12.8% barrel, 17.7 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,5.29,43.53,90.66,100.2024,0.3885,0.132,0.3093,71.0,12.6,29.26,21.88,12.4,0.1311,12.84,46.26,89.84,0.4875,0.2288,30.84,,,Citizens Bank Park,
101,643217,Andrew Benintendi,CWS,BOS,2026-08-05T23:10:00Z,Scheduled,5,Sonny Gray,543243,R,48.1,Longshot,Watch List,"Projected Lineup, Platoon Edge",38.9,37.6,28.7,81.9,80.0,66.0,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,19,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 7.7% barrel, 15.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.84,43.34,88.63,98.8711,0.4251,0.1788,0.3207,69.54,4.15,50.45,31.36,14.4,0.1882,7.7,39.16,89.25,0.3936,0.1404,22.22,,,Fenway Park,
