rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
57,668723,Ryan Vilade,TB,ATH,2026-09-17T17:10:00Z,Pre-Game,7,Jeffrey Springs,605488,L,48.6,Longshot,Watch List,Platoon Edge,45.5,46.5,41.1,64.3,78.0,5.1,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,13,0,"Last 7 games: 2/13, 0 HR","platoon edge; pitcher baseline 8.9% barrel, 31.5 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,8.86,50.92,91.84,102.7272,0.4082,0.1646,0.3202,75.84,58.42,24.43,24.82,7.7,0.1442,8.94,35.69,87.74,0.4429,0.1918,32.02,None,72,Tropicana Field,
58,805808,Kevin McGonigle,DET,CWS,2026-09-17T23:40:00Z,Scheduled,1,Erick Fedde,607200,R,48.6,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",33.7,48.1,27.6,88.7,80.0,44.8,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,27,1,"Last 7 games: 8/27, 1 HR","platoon edge; pitcher baseline 8.1% barrel, 21.8 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,7.1,37.2,88.0,98.3846,0.443,0.177,0.357,71.3,16.2,37.8,35.5,17.0,0.15,8.11,40.78,89.08,0.4477,0.186,29.4,,,Rate Field,
59,664983,Jake McCarthy,COL,SD,2026-09-17T19:10:00Z,Pre-Game,1,Michael King,650633,R,48.5,Longshot,Watch List,"Good Environment, Premium Lineup Spot, Platoon Edge",16.9,41.7,73.2,93.2,80.0,33.7,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,29,0,Contact streak: 10/29 over last 7 games,"platoon edge; pitcher baseline 9.4% barrel, 17.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.37,28.37,85.33,96.8988,0.4034,0.1371,0.314,70.89,13.12,37.59,21.73,11.7,0.1732,9.37,34.46,87.24,0.4123,0.1744,27.75,Out To LF,77,Coors Field,
60,679529,Spencer Torkelson,DET,CWS,2026-09-17T23:40:00Z,Scheduled,7,Erick Fedde,607200,R,48.5,Longshot,Watch List,"Projected Lineup, Strong Barrel, Hot Hitter/Streak",48.0,48.1,27.6,59.8,50.0,81.7,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,19,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 8.1% barrel, 21.8 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,12.52,42.79,89.64,100.2063,0.414,0.1978,0.3186,73.14,26.23,47.7,36.11,26.1,0.2027,8.11,40.78,89.08,0.4477,0.186,29.4,,,Rate Field,
61,665019,Kody Clemens,MIN,LAA,2026-09-18T01:38:00Z,Scheduled,3,Walbert Ureña,700712,R,48.5,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",52.6,20.4,28.2,92.1,80.0,37.8,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,28,1,"Last 7 games: 7/28, 1 HR","platoon edge; pitcher baseline 5.6% barrel, 9.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.72,47.11,91.99,101.4875,0.4594,0.2097,0.3345,72.06,14.49,46.29,33.32,23.9,0.2266,5.6,36.4,87.3,0.317,0.109,22.5,,,Angel Stadium,
62,665161,Jeremy Pena,HOU,KC,2026-09-17T23:15:00Z,Scheduled,1,Seth Lugo,607625,R,48.2,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Hot Hitter/Streak",32.3,52.8,27.6,88.7,50.0,76.4,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,26,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 8.7% barrel, 21.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.08,40.73,88.62,100.0253,0.4264,0.1557,0.3291,72.23,14.83,45.99,24.85,18.4,0.187,8.72,43.38,90.0,0.459,0.1883,28.76,,,Daikin Park,
63,663647,Ke'Bryan Hayes,CIN,LAD,2026-09-17T16:40:00Z,Warmup,8,Justin Wrobleski,680736,L,48.1,Longshot,Watch List,"Good Environment, Platoon Edge",29.9,48.2,81.8,52.4,78.0,0.0,Yes,Yes,8,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,1,16,0,"Last 7 games: 1/16, 0 HR","platoon edge; pitcher baseline 8.1% barrel, 16.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.63,40.89,90.28,99.8883,0.37,0.1306,0.2911,70.89,7.5,30.11,26.87,5.0,0.0843,8.07,44.79,90.6,0.4234,0.1612,28.35,Out To LF,89,Great American Ball Park,
64,669134,Luis Campusano,SD,COL,2026-09-17T19:10:00Z,Pre-Game,7,Tanner Gordon,685299,R,48.1,Longshot,Watch List,Good Environment,21.3,61.7,73.2,64.3,50.0,35.3,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,30,1,"Last 7 games: 7/30, 1 HR","same-side matchup; pitcher baseline 10.7% barrel, 17.4 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,6.16,36.23,87.8,98.5433,0.3095,0.1162,0.2955,73.03,30.41,46.63,20.36,5.6,0.1274,10.73,42.32,90.59,0.4838,0.2111,33.46,Out To LF,77,Coors Field,
65,521692,Salvador Perez,KC,HOU,2026-09-17T23:15:00Z,Scheduled,4,,,,48.1,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",46.7,41.2,27.6,90.4,60.0,12.0,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,25,0,"Last 7 games: 5/25, 0 HR","handedness incomplete; pitcher baseline 0.0% barrel, 0.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.44,43.76,89.3,100.7796,0.4591,0.2065,0.3241,72.06,22.49,41.77,30.99,22.3,0.1673,,,,,,,,,Daikin Park,
66,701807,Carson Benge,NYM,PHI,2026-09-17T23:15:00Z,Scheduled,4,Aaron Nola,605400,R,48.1,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",32.2,47.7,24.8,90.4,80.0,49.7,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,29,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 9.3% barrel, 29.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.4,38.6,88.7,99.5662,0.434,0.158,0.338,71.1,17.6,33.9,27.3,18.0,0.143,9.31,41.27,88.77,0.4142,0.1724,27.46,,,Citi Field,
67,575929,Willson Contreras,BOS,TEX,2026-09-18T00:05:00Z,Scheduled,4,Tyler Alexander,641302,L,48.0,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",56.4,17.7,27.6,90.4,78.0,26.4,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,23,1,"Last 7 games: 4/23, 1 HR","platoon edge; pitcher baseline 4.5% barrel, 4.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,13.62,45.71,90.04,102.6842,0.4873,0.231,0.3713,76.7,68.24,46.31,28.49,24.9,0.2278,4.5,34.56,87.1,0.3526,0.1097,24.23,,,Globe Life Field,
68,681198,TJ Rumfield,COL,SD,2026-09-17T19:10:00Z,Pre-Game,4,Michael King,650633,R,47.3,Longshot,Watch List,"Good Environment, Premium Lineup Spot, Platoon Edge",12.8,41.7,73.2,94.9,80.0,32.0,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,27,0,Contact streak: 9/27 over last 7 games,"platoon edge; pitcher baseline 9.4% barrel, 17.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.8,27.2,84.1,96.0531,0.389,0.126,0.336,68.4,7.7,41.2,28.6,15.0,0.155,9.37,34.46,87.24,0.4123,0.1744,27.75,Out To LF,77,Coors Field,
69,502054,Tommy Pham,CWS,DET,2026-09-17T23:40:00Z,Scheduled,4,Framber Valdez,664285,L,47.2,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",42.9,34.5,27.6,90.4,78.0,18.3,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,1,10,1,"Last 7 games: 1/10, 1 HR","platoon edge; pitcher baseline 5.9% barrel, 15.0 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,8.98,49.16,93.77,102.879,0.3218,0.1476,0.2424,71.48,18.75,46.28,33.94,3.7,0.1537,5.93,43.22,90.17,0.384,0.129,18.04,,,Rate Field,
70,693307,Dillon Dingler,DET,CWS,2026-09-17T23:40:00Z,Scheduled,5,Erick Fedde,607200,R,46.6,Longshot,Watch List,Projected Lineup,41.8,48.1,27.6,81.9,50.0,22.6,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,27,1,"Last 7 games: 4/27, 1 HR","same-side matchup; pitcher baseline 8.1% barrel, 21.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.62,42.97,88.88,100.4725,0.4629,0.1955,0.3413,71.77,15.9,41.43,28.71,22.8,0.1904,8.11,40.78,89.08,0.4477,0.186,29.4,,,Rate Field,
71,703607,Henry Bolte,ATH,TB,2026-09-17T17:10:00Z,Pre-Game,1,Drew Rasmussen,656876,R,46.4,Longshot,Watch List,Premium Lineup Spot,38.2,29.6,41.1,93.2,50.0,59.1,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,26,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 6.1% barrel, 15.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.2,47.8,90.9,104.4148,0.377,0.131,0.318,76.9,71.7,32.0,16.0,11.0,0.128,6.09,37.35,88.99,0.3575,0.1257,23.17,None,72,Tropicana Field,
72,630105,Jake Cronenworth,SD,COL,2026-09-17T19:10:00Z,Pre-Game,8,Tanner Gordon,685299,R,46.4,Longshot,Watch List,"Good Environment, Platoon Edge",14.3,61.7,73.2,52.4,80.0,26.4,Yes,Yes,8,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,27,0,"Last 7 games: 8/27, 0 HR","platoon edge; pitcher baseline 10.7% barrel, 17.4 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,4.03,31.58,87.45,97.6737,0.3131,0.0986,0.284,71.32,17.32,31.68,24.54,6.8,0.0925,10.73,42.32,90.59,0.4838,0.2111,33.46,Out To LF,77,Coors Field,
73,596142,Gary Sánchez,MIL,PIT,2026-09-17T16:35:00Z,Warmup,5,Wilber Dotel,696062,R,46.3,Longshot,Watch List,No major boost,38.9,27.6,57.8,86.4,50.0,32.5,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,14,1,"Last 7 games: 3/14, 1 HR","same-side matchup; pitcher baseline 3.0% barrel, 2.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.08,42.47,89.66,100.9025,0.4084,0.181,0.3332,71.78,24.84,47.1,27.65,9.2,0.2066,3.0,46.0,90.7,0.355,0.106,27.0,Out To LF,75,PNC Park,
74,673237,Yainer Diaz,HOU,KC,2026-09-17T23:15:00Z,Scheduled,5,Seth Lugo,607625,R,46.3,Longshot,Watch List,Projected Lineup,31.5,52.8,27.6,81.9,50.0,61.7,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,22,1,Contact streak: 9/22 over last 7 games,"same-side matchup; pitcher baseline 8.7% barrel, 21.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.29,39.4,89.34,99.9889,0.4174,0.1515,0.3106,72.48,22.65,36.07,18.26,14.4,0.1617,8.72,43.38,90.0,0.459,0.1883,28.76,,,Daikin Park,
75,683734,Andrew Vaughn,MIL,PIT,2026-09-17T16:35:00Z,Warmup,4,Wilber Dotel,696062,R,46.2,Longshot,Watch List,Premium Lineup Spot,34.5,27.6,57.8,94.9,50.0,34.9,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,17,0,Contact streak: 6/17 over last 7 games,"same-side matchup; pitcher baseline 3.0% barrel, 2.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.24,44.76,90.55,100.2334,0.4146,0.1444,0.3385,70.53,13.01,34.07,24.83,8.4,0.1479,3.0,46.0,90.7,0.355,0.106,27.0,Out To LF,75,PNC Park,
76,701678,Hao-Yu Lee,DET,CWS,2026-09-17T23:40:00Z,Scheduled,2,Erick Fedde,607200,R,46.2,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",33.9,48.1,27.6,95.5,50.0,29.2,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,26,1,"Last 7 games: 5/26, 1 HR","same-side matchup; pitcher baseline 8.1% barrel, 21.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.3,40.1,89.3,100.1556,0.389,0.161,0.297,71.6,23.2,28.1,26.3,9.0,0.158,8.11,40.78,89.08,0.4477,0.186,29.4,,,Rate Field,
77,687859,Troy Johnston,COL,SD,2026-09-17T19:10:00Z,Pre-Game,7,Michael King,650633,R,46.1,Longshot,Watch List,"Good Environment, Platoon Edge",24.7,41.7,73.2,64.3,80.0,15.3,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,27,0,"Last 7 games: 6/27, 0 HR","platoon edge; pitcher baseline 9.4% barrel, 17.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.43,38.39,89.74,98.9133,0.4027,0.1275,0.3289,70.25,5.3,39.93,23.93,4.0,0.1248,9.37,34.46,87.24,0.4123,0.1744,27.75,Out To LF,77,Coors Field,
78,666310,Bo Naylor,MIL,PIT,2026-09-17T16:35:00Z,Warmup,8,Wilber Dotel,696062,R,45.9,Longshot,Watch List,"Strong Barrel, Platoon Edge",42.9,27.6,57.8,52.4,80.0,37.8,Yes,Yes,8,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,20,1,"Last 7 games: 5/20, 1 HR","platoon edge; pitcher baseline 3.0% barrel, 2.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.52,41.52,89.46,99.7851,0.399,0.183,0.2948,71.91,16.15,39.88,33.26,5.6,0.1189,3.0,46.0,90.7,0.355,0.106,27.0,Out To LF,75,PNC Park,
79,683146,Brett Baty,NYM,PHI,2026-09-17T23:15:00Z,Scheduled,8,Aaron Nola,605400,R,45.9,Longshot,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge",44.2,47.7,24.8,47.9,80.0,45.3,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,20,1,"Last 7 games: 6/20, 1 HR","platoon edge; pitcher baseline 9.3% barrel, 29.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.8,43.26,90.42,101.7196,0.415,0.1749,0.3172,75.08,54.07,35.33,26.87,12.4,0.1481,9.31,41.27,88.77,0.4142,0.1724,27.46,,,Citi Field,
80,662139,Daulton Varsho,HOU,KC,2026-09-17T23:15:00Z,Scheduled,6,Seth Lugo,607625,R,45.8,Longshot,Watch List,"Projected Lineup, Platoon Edge",35.6,52.8,27.6,71.7,80.0,0.0,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,25,0,"Last 7 games: 3/25, 0 HR","platoon edge; pitcher baseline 8.7% barrel, 21.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.46,37.78,87.73,99.4425,0.3974,0.1676,0.2976,73.71,36.6,41.57,31.41,13.7,0.1847,8.72,43.38,90.0,0.459,0.1883,28.76,,,Daikin Park,
81,663330,Jahmai Jones,BOS,TEX,2026-09-18T00:05:00Z,Scheduled,2,Tyler Alexander,641302,L,45.7,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",50.8,17.7,27.6,95.5,78.0,3.4,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,14,0,"Last 7 games: 2/14, 0 HR","platoon edge; pitcher baseline 4.5% barrel, 4.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.95,48.42,91.36,102.5473,0.4567,0.208,0.3486,73.46,36.12,50.18,28.2,5.6,0.1923,4.5,34.56,87.1,0.3526,0.1097,24.23,,,Globe Life Field,
82,680869,Zack Gelof,ATH,TB,2026-09-17T17:10:00Z,Pre-Game,4,Drew Rasmussen,656876,R,45.5,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot",41.0,29.6,41.1,94.9,50.0,18.3,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,25,1,"Last 7 games: 3/25, 1 HR","same-side matchup; pitcher baseline 6.1% barrel, 15.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.54,43.98,89.08,99.8769,0.3809,0.1781,0.2834,73.22,26.94,39.46,28.78,13.2,0.1729,6.09,37.35,88.99,0.3575,0.1257,23.17,None,72,Tropicana Field,
83,677800,Wilyer Abreu,BOS,TEX,2026-09-18T00:05:00Z,Scheduled,3,Tyler Alexander,641302,L,45.3,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",53.9,17.7,27.6,92.1,50.0,34.9,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,26,1,"Last 7 games: 6/26, 1 HR","same-side matchup; pitcher baseline 4.5% barrel, 4.8 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,12.58,44.2,90.17,101.3814,0.4778,0.2257,0.3462,73.89,38.31,37.9,37.45,23.4,0.2101,4.5,34.56,87.1,0.3526,0.1097,24.23,,,Globe Life Field,
84,699302,Héctor Rodríguez,CIN,LAD,2026-09-17T16:40:00Z,Warmup,7,Justin Wrobleski,680736,L,45.0,Longshot,Watch List,Good Environment,23.2,48.2,81.8,64.3,50.0,0.0,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,1,25,0,"Last 7 games: 1/25, 0 HR","same-side matchup; pitcher baseline 8.1% barrel, 16.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.0,33.3,87.7,98.725,0.326,0.122,0.259,74.4,46.2,41.7,29.8,5.0,0.155,8.07,44.79,90.6,0.4234,0.1612,28.35,Out To LF,89,Great American Ball Park,
85,691728,Zac Veen,COL,SD,2026-09-17T19:10:00Z,Pre-Game,9,Michael King,650633,R,45.0,Longshot,Watch List,"Good Environment, Platoon Edge",28.9,41.7,73.2,44.8,80.0,19.5,Yes,Yes,9,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,12,0,"Last 7 games: 3/12, 0 HR","platoon edge; pitcher baseline 9.4% barrel, 17.6 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,8.29,36.09,87.68,100.9066,0.3232,0.1435,0.2643,71.91,21.75,42.83,35.35,1.7,0.1695,9.37,34.46,87.24,0.4123,0.1744,27.75,Out To LF,77,Coors Field,
86,701350,Roman Anthony,BOS,TEX,2026-09-18T00:05:00Z,Scheduled,1,Tyler Alexander,641302,L,45.0,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",55.1,17.7,27.6,88.7,50.0,30.3,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,30,1,"Last 7 games: 6/30, 1 HR","same-side matchup; pitcher baseline 4.5% barrel, 4.8 HR allowed",EV profile; pitcher fly-ball pressure modest,12.8,51.97,92.96,102.8331,0.4462,0.184,0.3552,75.42,53.86,40.63,23.56,5.2,0.1416,4.5,34.56,87.1,0.3526,0.1097,24.23,,,Globe Life Field,
87,805999,A.J. Ewing,NYM,PHI,2026-09-17T23:15:00Z,Scheduled,7,Aaron Nola,605400,R,44.9,Longshot,Watch List,"Projected Lineup, Platoon Edge, Hot Hitter/Streak",31.1,47.7,24.8,59.8,80.0,78.7,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,25,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 9.3% barrel, 29.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.1,41.9,89.4,100.062,0.402,0.143,0.322,70.5,12.8,31.8,24.7,10.0,0.127,9.31,41.27,88.77,0.4142,0.1724,27.46,,,Citi Field,
88,669394,Jake Burger,TEX,BOS,2026-09-18T00:05:00Z,Scheduled,7,Sonny Gray,543243,R,44.5,Longshot,Watch List,"Projected Lineup, Strong Barrel",51.3,38.6,27.6,59.8,50.0,25.3,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,24,1,"Last 7 games: 4/24, 1 HR","same-side matchup; pitcher baseline 7.7% barrel, 18.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,12.78,46.68,90.12,102.7369,0.4374,0.2019,0.3177,75.44,58.21,41.18,28.18,23.0,0.1893,7.7,39.37,89.18,0.3936,0.1439,22.85,,,Globe Life Field,
89,680779,Henry Davis,PIT,MIL,2026-09-17T16:35:00Z,Warmup,9,Kyle Harrison,690986,L,44.4,Longshot,Watch List,Platoon Edge,35.2,41.5,57.8,44.8,78.0,18.3,Yes,Yes,9,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,17,1,"Last 7 games: 2/17, 1 HR","platoon edge; pitcher baseline 8.1% barrel, 15.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.33,39.43,89.72,100.5043,0.3484,0.1466,0.2874,74.18,42.56,49.39,27.75,8.4,0.125,8.06,39.55,89.58,0.3943,0.1511,28.09,Out To LF,75,PNC Park,
90,605137,Josh Bell,MIN,LAA,2026-09-18T01:38:00Z,Scheduled,5,Walbert Ureña,700712,R,44.4,Longshot,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge",45.1,19.5,28.2,81.9,75.0,47.5,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,26,2,Hot streak: 2 HR in last 7 games,"switch hitter; pitcher baseline 5.6% barrel, 9.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.49,43.78,89.98,101.0665,0.457,0.2024,0.3408,72.26,28.36,41.15,27.2,20.6,0.1716,5.6,36.4,87.3,0.317,0.109,22.5,,,Angel Stadium,
91,673962,Josh Jung,TEX,BOS,2026-09-18T00:05:00Z,Scheduled,3,Sonny Gray,543243,R,44.3,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",36.0,38.6,27.6,92.1,50.0,32.0,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,27,0,Contact streak: 9/27 over last 7 games,"same-side matchup; pitcher baseline 7.7% barrel, 18.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.11,47.61,90.21,100.3762,0.4294,0.155,0.3341,70.41,7.62,37.62,23.43,10.5,0.1439,7.7,39.37,89.18,0.3936,0.1439,22.85,,,Globe Life Field,
