rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
12,606192,Teoscar Hernández,LAD,CIN,2026-09-17T16:40:00Z,Warmup,4,Brady Singer,663903,R,61.6,Tier 3,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot",46.4,54.3,81.8,94.9,50.0,64.3,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,23,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 9.8% barrel, 26.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.15,45.4,90.34,101.6547,0.4441,0.1892,0.3317,72.62,26.6,35.41,28.75,18.0,0.1769,9.82,42.1,90.79,0.4454,0.18,26.86,Out To LF,89,Great American Ball Park,
13,663886,Tyler Stephenson,CIN,LAD,2026-09-17T16:40:00Z,Warmup,4,Justin Wrobleski,680736,L,61.5,Tier 3,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge",49.8,48.2,81.8,94.9,78.0,17.3,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,17,0,"Last 7 games: 4/17, 0 HR","platoon edge; pitcher baseline 8.1% barrel, 16.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,13.03,45.98,90.85,100.4585,0.427,0.1963,0.3243,70.45,6.72,36.66,33.78,14.4,0.1767,8.07,44.79,90.6,0.4234,0.1612,28.35,Out To LF,89,Great American Ball Park,
14,691406,Junior Caminero,TB,ATH,2026-09-17T17:10:00Z,Pre-Game,3,Jeffrey Springs,605488,L,61.0,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",62.5,46.5,41.1,96.6,78.0,50.8,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,28,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 8.9% barrel, 31.5 HR allowed",EV profile; pitcher allows elevated contact,13.51,50.35,92.68,105.0913,0.4996,0.2327,0.3579,79.27,84.06,44.96,23.56,42.2,0.2605,8.94,35.69,87.74,0.4429,0.1918,32.02,None,72,Tropicana Field,
15,665742,Juan Soto,NYM,PHI,2026-09-17T23:15:00Z,Scheduled,2,Aaron Nola,605400,R,60.2,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",69.7,47.7,24.8,95.5,80.0,29.4,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,31,1,"Last 7 games: 6/31, 1 HR","platoon edge; pitcher baseline 9.3% barrel, 29.2 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,14.98,50.54,92.96,103.0867,0.5835,0.2916,0.4171,72.76,32.47,40.09,31.56,30.4,0.2515,9.31,41.27,88.77,0.4142,0.1724,27.46,,,Citi Field,
16,518692,Freddie Freeman,LAD,CIN,2026-09-17T16:40:00Z,Warmup,2,Brady Singer,663903,R,59.6,Longshot,Watch List,"Good Environment, Premium Lineup Spot, Platoon Edge",39.1,54.3,81.8,100.0,80.0,2.7,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,29,0,"Last 7 games: 4/29, 0 HR","platoon edge; pitcher baseline 9.8% barrel, 26.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.65,42.13,89.85,100.131,0.467,0.1832,0.3605,70.08,7.91,36.54,27.07,18.4,0.1678,9.82,42.1,90.79,0.4454,0.18,26.86,Out To LF,89,Great American Ball Park,
17,664034,Ty France,SD,COL,2026-09-17T19:10:00Z,Pre-Game,4,Tanner Gordon,685299,R,59.2,Longshot,Watch List,"Good Environment, Premium Lineup Spot",42.8,61.7,73.2,94.9,50.0,30.2,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,28,0,Contact streak: 9/28 over last 7 games,"same-side matchup; pitcher baseline 10.7% barrel, 17.4 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,9.1,47.28,91.25,101.0764,0.4306,0.1744,0.3315,71.77,19.95,35.59,25.74,16.1,0.1814,10.73,42.32,90.59,0.4838,0.2111,33.46,Out To LF,77,Coors Field,
18,682985,Riley Greene,DET,CWS,2026-09-17T23:40:00Z,Scheduled,4,Erick Fedde,607200,R,59.1,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",62.1,48.1,27.6,90.4,80.0,61.4,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,11,27,1,Contact streak: 11/27 over last 7 games,"platoon edge; pitcher baseline 8.1% barrel, 21.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,15.7,47.11,90.25,102.5993,0.5015,0.2445,0.36,75.6,58.01,38.84,33.59,24.8,0.2077,8.11,40.78,89.08,0.4477,0.186,29.4,,,Rate Field,
19,608369,Corey Seager,TEX,BOS,2026-09-18T00:05:00Z,Scheduled,2,Sonny Gray,543243,R,57.6,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",61.8,38.6,27.6,95.5,80.0,65.2,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,29,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 7.7% barrel, 18.0 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,14.81,49.68,92.06,102.5589,0.5067,0.2455,0.3664,71.8,15.16,40.57,31.34,18.9,0.2062,7.7,39.37,89.18,0.3936,0.1439,22.85,,,Globe Life Field,
20,656941,Kyle Schwarber,PHI,NYM,2026-09-17T23:15:00Z,Scheduled,1,Nolan McLean,690997,R,57.3,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",74.9,30.2,24.8,88.7,80.0,40.1,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,28,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 7.2% barrel, 13.1 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,17.72,52.46,92.97,104.1156,0.5229,0.2812,0.3758,77.16,75.42,54.49,33.04,48.3,0.2936,7.16,38.22,88.38,0.3478,0.1246,21.35,,,Citi Field,
21,691181,Emmanuel Rodriguez,MIN,LAA,2026-09-18T01:38:00Z,Scheduled,8,Walbert Ureña,700712,R,56.2,Longshot,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Platoon Edge",94.6,20.4,28.2,47.9,80.0,39.8,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,5,5,19,1,"Last 5 games: 5/19, 1 HR","platoon edge; pitcher baseline 5.6% barrel, 9.0 HR allowed",EV profile; pitcher fly-ball pressure modest,28.6,64.3,95.7,105.5107,0.748,0.386,0.48,77.9,80.0,35.7,35.7,1.0,0.316,5.6,36.4,87.3,0.317,0.109,22.5,,,Angel Stadium,
