rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
170,680776,Jarren Duran,BOS,BAL,2026-09-05T23:05:00Z,Scheduled,8,Chris Bassitt,605135,R,39.9,Longshot,Watch List,"Projected Lineup, Platoon Edge",39.3,30.4,32.1,47.9,80.0,18.3,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,26,1,"Last 7 games: 3/26, 1 HR","platoon edge; pitcher baseline 6.2% barrel, 12.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.63,42.25,90.54,102.0977,0.3946,0.155,0.3064,74.98,50.24,38.69,23.0,18.1,0.1664,6.19,36.25,87.7,0.414,0.1378,23.14,,,Oriole Park at Camden Yards,
171,647304,Josh Naylor,SEA,ATH,2026-09-06T01:40:00Z,Scheduled,5,Jeffrey Springs,605488,L,39.9,Longshot,Watch List,Projected Lineup,22.8,47.7,25.4,81.9,50.0,22.0,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,30,0,"Last 7 games: 8/30, 0 HR","same-side matchup; pitcher baseline 9.2% barrel, 31.5 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,5.16,37.56,87.8,99.0443,0.3977,0.1296,0.318,70.41,11.82,41.99,22.71,13.0,0.1173,9.15,35.69,87.81,0.4471,0.1946,32.51,,,T-Mobile Park,
172,669221,Sean Murphy,ATL,PHI,2026-09-05T22:05:00Z,Scheduled,7,Zack Wheeler,554430,R,39.8,Longshot,Watch List,"Projected Lineup, Hot Hitter/Streak",32.1,26.0,34.3,59.8,50.0,98.4,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,22,3,Hot streak: 3 HR in last 7 games,"same-side matchup; pitcher baseline 6.5% barrel, 19.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.41,39.88,87.07,100.7836,0.3632,0.1573,0.279,72.18,27.14,48.7,26.98,6.9,0.1981,6.5,34.8,86.98,0.3228,0.1212,25.74,,,Citizens Bank Park,
173,656537,Derek Hill,PHI,ATL,2026-09-05T22:05:00Z,Scheduled,9,Martín Pérez,527048,L,39.7,Longshot,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge",35.0,38.5,34.3,40.2,78.0,22.9,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,11,0,"Last 7 games: 3/11, 0 HR","platoon edge; pitcher baseline 8.1% barrel, 10.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.08,37.92,89.52,99.7467,0.3817,0.1563,0.2908,71.97,20.08,35.63,23.97,7.2,0.1561,8.07,38.42,88.06,0.4227,0.1639,23.78,,,Citizens Bank Park,
174,656775,Cedric Mullins,TB,TEX,2026-09-05T23:05:00Z,Scheduled,7,Jacob deGrom,594798,R,39.6,Longshot,Watch List,"Projected Lineup, Platoon Edge",21.1,47.3,27.6,59.8,80.0,31.9,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,19,1,"Last 7 games: 4/19, 1 HR","platoon edge; pitcher baseline 8.5% barrel, 19.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.94,33.38,88.17,97.9313,0.3206,0.1271,0.2708,70.96,9.57,45.39,32.43,14.9,0.1547,8.46,43.58,90.31,0.3875,0.1588,29.53,,,Globe Life Field,
175,663656,Kyle Tucker,LAD,WSH,2026-09-06T01:10:00Z,Scheduled,7,Cade Cavalli,676917,R,39.6,Longshot,Watch List,"Projected Lineup, Platoon Edge",31.6,33.5,27.6,59.8,80.0,28.9,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,21,1,"Last 7 games: 4/21, 1 HR","platoon edge; pitcher baseline 6.6% barrel, 14.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.95,37.88,89.12,98.7533,0.406,0.1486,0.3384,71.51,20.45,42.89,33.12,14.3,0.1483,6.6,41.45,88.75,0.3783,0.1347,21.89,,,UNIQLO Field at Dodger Stadium,
176,689414,Liam Hicks,TB,TEX,2026-09-05T23:05:00Z,Scheduled,4,Jacob deGrom,594798,R,39.5,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",8.5,47.3,27.6,90.4,80.0,27.7,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,23,0,"Last 7 games: 7/23, 0 HR","platoon edge; pitcher baseline 8.5% barrel, 19.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.81,27.77,84.88,96.2406,0.3521,0.1004,0.315,68.03,3.79,41.68,24.43,13.7,0.1382,8.46,43.58,90.31,0.3875,0.1588,29.53,,,Globe Life Field,
177,673237,Yainer Diaz,HOU,AZ,2026-09-05T23:15:00Z,Scheduled,7,Brandon Pfaadt,694297,R,39.3,Longshot,Watch List,Projected Lineup,30.2,42.5,27.6,59.8,50.0,41.2,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,22,1,"Last 7 games: 6/22, 1 HR","same-side matchup; pitcher baseline 8.7% barrel, 16.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.94,38.49,88.85,99.762,0.4195,0.1543,0.3106,72.41,21.67,36.84,19.73,13.0,0.1582,8.66,37.33,88.98,0.4205,0.1666,23.76,,,Daikin Park,
178,670623,Isaac Paredes,HOU,AZ,2026-09-05T23:15:00Z,Scheduled,3,Brandon Pfaadt,694297,R,39.0,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",17.1,42.5,27.6,92.1,50.0,31.6,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,24,1,"Last 7 games: 5/24, 1 HR","same-side matchup; pitcher baseline 8.7% barrel, 16.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.25,29.75,86.42,96.8963,0.3688,0.1278,0.32,67.74,7.5,52.0,31.29,18.6,0.1767,8.66,37.33,88.98,0.4205,0.1666,23.76,,,Daikin Park,
179,605170,Victor Caratini,MIN,CWS,2026-09-05T23:10:00Z,Scheduled,7,Anthony Kay,641743,L,38.9,Longshot,Watch List,"Projected Lineup, Platoon Edge",30.3,38.8,27.6,59.8,75.0,7.0,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,18,0,"Last 7 games: 3/18, 0 HR","switch hitter; pitcher baseline 8.5% barrel, 19.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.79,39.86,89.26,98.9725,0.3914,0.1511,0.322,71.39,16.36,37.78,23.9,8.5,0.1149,8.5,39.1,88.3,0.413,0.154,22.2,,,Rate Field,
