rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
215,573262,Mike Yastrzemski,ATL,PHI,2026-09-05T22:05:00Z,Scheduled,9,Zack Wheeler,554430,R,36.0,Longshot,Watch List,"Projected Lineup, Platoon Edge",34.9,26.0,34.3,40.2,80.0,5.7,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,19,0,"Last 7 games: 3/19, 0 HR","platoon edge; pitcher baseline 6.5% barrel, 19.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.17,43.3,90.73,99.85,0.3819,0.1463,0.3136,71.31,8.16,45.2,31.05,11.4,0.1546,6.5,34.8,86.98,0.3228,0.1212,25.74,,,Citizens Bank Park,
216,686555,Isaac Collins,KC,TOR,2026-09-05T23:10:00Z,Scheduled,8,Max Scherzer,453286,R,35.9,Longshot,Watch List,"Projected Lineup, Platoon Edge",22.7,46.0,23.2,47.9,75.0,8.1,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,23,0,"Last 7 games: 4/23, 0 HR","switch hitter; pitcher baseline 10.1% barrel, 14.1 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,5.25,39.46,88.59,99.9065,0.3289,0.0969,0.3038,73.33,30.2,39.7,25.88,6.9,0.1277,10.09,35.47,88.02,0.4249,0.189,33.53,,,Kauffman Stadium,
217,608348,Carson Kelly,CHC,MIA,2026-09-05T20:10:00Z,Scheduled,9,Ryan Gusto,687473,R,35.8,Longshot,Watch List,Projected Lineup,27.2,45.0,21.5,40.2,50.0,53.3,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,26,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 8.3% barrel, 10.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.73,37.64,87.75,98.7438,0.3893,0.1484,0.3168,70.68,8.33,40.83,26.48,12.1,0.1447,8.31,44.02,89.83,0.4246,0.162,25.21,,,loanDepot park,
218,802415,Chandler Simpson,TB,TEX,2026-09-05T23:05:00Z,Scheduled,5,Jacob deGrom,594798,R,35.8,Longshot,Watch List,"Projected Lineup, Platoon Edge",0.2,47.3,27.6,81.9,80.0,32.0,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,27,0,Contact streak: 9/27 over last 7 games,"platoon edge; pitcher baseline 8.5% barrel, 19.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,0.0,14.08,83.81,92.7324,0.3066,0.0382,0.2725,64.73,0.51,28.34,12.86,0.0,0.0521,8.46,43.58,90.31,0.3875,0.1588,29.53,,,Globe Life Field,
219,671976,Tristan Peters,CWS,MIN,2026-09-05T23:10:00Z,Scheduled,8,Taj Bradley,671737,R,35.6,Longshot,Watch List,"Projected Lineup, Platoon Edge",15.2,47.9,27.6,47.9,80.0,21.5,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,19,0,"Last 7 games: 5/19, 0 HR","platoon edge; pitcher baseline 8.8% barrel, 20.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.13,35.24,87.29,98.1212,0.3334,0.1106,0.267,69.23,5.6,41.7,20.02,8.4,0.1316,8.8,43.33,90.32,0.3864,0.1578,29.19,,,Rate Field,
220,695681,Christian Moore,LAA,PIT,2026-09-05T22:40:00Z,Scheduled,6,Braxton Ashcraft,677952,R,35.3,Longshot,Watch List,Projected Lineup,27.3,31.7,24.3,71.7,50.0,9.8,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,27,0,"Last 7 games: 5/27, 0 HR","same-side matchup; pitcher baseline 5.8% barrel, 15.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.28,35.39,88.41,98.9506,0.3065,0.1133,0.2568,72.35,26.27,23.7,28.97,2.8,0.1321,5.75,40.74,89.19,0.3629,0.1297,24.34,,,PNC Park,
221,808982,Jung Hoo Lee,SF,NYM,2026-09-05T20:10:00Z,Scheduled,4,Zac Thornton,804267,L,35.2,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",12.5,42.0,24.8,90.4,50.0,3.4,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,28,0,"Last 7 games: 4/28, 0 HR","same-side matchup; pitcher baseline 8.2% barrel, 7.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,2.86,31.16,87.38,96.8686,0.3843,0.0982,0.3189,68.37,3.54,37.83,22.59,8.7,0.1333,8.2,38.6,88.7,0.444,0.175,27.7,,,Citi Field,
222,663538,Nico Hoerner,CHC,MIA,2026-09-05T20:10:00Z,Scheduled,5,Ryan Gusto,687473,R,35.1,Longshot,Watch List,Projected Lineup,8.5,45.0,21.5,81.9,50.0,46.5,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,26,1,"Last 7 games: 8/26, 1 HR","same-side matchup; pitcher baseline 8.3% barrel, 10.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,1.7,28.9,86.14,96.2514,0.3791,0.0836,0.322,68.33,1.69,32.73,21.49,7.7,0.0963,8.31,44.02,89.83,0.4246,0.162,25.21,,,loanDepot park,
223,650333,Luis Arraez,PHI,ATL,2026-09-05T22:05:00Z,Scheduled,4,Martín Pérez,527048,L,35.0,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",7.0,38.5,34.3,90.4,50.0,24.0,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,25,0,"Last 7 games: 7/25, 0 HR","same-side matchup; pitcher baseline 8.1% barrel, 10.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,1.17,18.24,86.24,93.8881,0.3742,0.0851,0.3051,62.92,0.12,30.38,28.59,6.6,0.1098,8.07,38.42,88.06,0.4227,0.1639,23.78,,,Citizens Bank Park,
224,645277,Ozzie Albies,ATL,PHI,2026-09-05T22:05:00Z,Scheduled,6,Zack Wheeler,554430,R,34.7,Longshot,Watch List,"Projected Lineup, Platoon Edge",16.5,23.9,34.3,71.7,75.0,32.5,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,28,1,"Last 7 games: 6/28, 1 HR","switch hitter; pitcher baseline 6.5% barrel, 19.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.34,28.74,87.15,96.6781,0.36,0.124,0.2899,68.86,5.67,46.28,31.97,19.5,0.1502,6.5,34.8,86.98,0.3228,0.1212,25.74,,,Citizens Bank Park,
225,641487,J.P. Crawford,SEA,ATH,2026-09-06T01:40:00Z,Scheduled,9,Jeffrey Springs,605488,L,34.6,Longshot,Watch List,Projected Lineup,21.1,47.7,25.4,40.2,50.0,45.0,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,19,0,Contact streak: 9/19 over last 7 games,"same-side matchup; pitcher baseline 9.2% barrel, 31.5 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,5.6,35.47,87.76,98.2691,0.3678,0.12,0.3266,71.28,18.95,35.7,21.0,10.6,0.1197,9.15,35.69,87.81,0.4471,0.1946,32.51,,,T-Mobile Park,
226,676609,Jose Caballero,NYY,SD,2026-09-05T23:15:00Z,Scheduled,8,Robbie Ray,592662,L,34.5,Longshot,Watch List,"Projected Lineup, Platoon Edge",9.5,49.7,22.6,47.9,78.0,46.0,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,23,1,"Last 7 games: 7/23, 1 HR","platoon edge; pitcher baseline 9.0% barrel, 20.6 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,4.71,27.31,84.46,96.4379,0.339,0.1115,0.2841,68.89,8.05,41.88,21.73,10.6,0.1278,9.04,39.8,89.74,0.4088,0.1758,34.29,,,Petco Park,
227,596115,Trevor Story,BOS,BAL,2026-09-05T23:05:00Z,Scheduled,9,Chris Bassitt,605135,R,34.1,Longshot,Watch List,Projected Lineup,27.6,30.4,32.1,40.2,50.0,55.9,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,27,1,Contact streak: 10/27 over last 7 games,"same-side matchup; pitcher baseline 6.2% barrel, 12.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.4,42.24,89.3,100.0151,0.3489,0.1254,0.2683,71.1,14.24,42.79,24.32,9.6,0.128,6.19,36.25,87.7,0.414,0.1378,23.14,,,Oriole Park at Camden Yards,
228,553869,Elias Diaz,TEX,TB,2026-09-05T23:05:00Z,Scheduled,9,Drew Rasmussen,656876,R,34.1,Longshot,Watch List,Projected Lineup,31.7,29.0,27.6,40.2,50.0,47.7,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,19,1,"Last 7 games: 6/19, 1 HR","same-side matchup; pitcher baseline 6.0% barrel, 14.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.72,39.19,87.84,100.3191,0.3606,0.1411,0.275,74.27,43.02,37.72,27.31,6.9,0.1529,6.02,37.14,88.99,0.3568,0.125,23.03,,,Globe Life Field,
229,669720,Austin Hays,SD,NYY,2026-09-05T23:15:00Z,Scheduled,7,Carlos Rodón,607074,L,34.0,Longshot,Watch List,"Projected Lineup, Platoon Edge",22.0,32.8,22.6,59.8,78.0,0.8,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,16,0,"Last 7 games: 2/16, 0 HR","platoon edge; pitcher baseline 7.0% barrel, 10.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.81,39.8,86.98,98.7325,0.361,0.1109,0.2797,72.46,23.44,50.43,20.6,5.9,0.1303,6.97,37.64,89.44,0.3517,0.1317,27.74,,,Petco Park,
230,694497,Evan Carter,TEX,TB,2026-09-05T23:05:00Z,Scheduled,7,Drew Rasmussen,656876,R,33.8,Longshot,Watch List,"Projected Lineup, Platoon Edge",20.5,29.0,27.6,59.8,80.0,7.0,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,18,0,"Last 7 games: 3/18, 0 HR","platoon edge; pitcher baseline 6.0% barrel, 14.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.34,35.44,87.54,98.6407,0.3285,0.1176,0.287,71.02,17.79,38.77,28.26,7.1,0.1324,6.02,37.14,88.99,0.3568,0.125,23.03,,,Globe Life Field,
231,683953,Travis Bazzana,CLE,DET,2026-09-05T22:10:00Z,Scheduled,7,Framber Valdez,664285,L,33.7,Longshot,Watch List,Projected Lineup,18.7,37.0,27.6,59.8,50.0,33.7,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,18,1,"Last 7 games: 4/18, 1 HR","same-side matchup; pitcher baseline 6.3% barrel, 15.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.5,36.1,87.7,98.3562,0.336,0.114,0.296,69.5,12.1,38.3,27.9,9.0,0.126,6.28,44.34,90.52,0.3896,0.1325,18.39,,,Progressive Field,
232,500743,Miguel Rojas,LAD,WSH,2026-09-06T01:10:00Z,Scheduled,6,Cade Cavalli,676917,R,33.4,Longshot,Watch List,Projected Lineup,17.1,33.5,27.6,71.7,50.0,19.5,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,12,0,"Last 7 games: 3/12, 0 HR","same-side matchup; pitcher baseline 6.6% barrel, 14.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.8,34.56,87.04,97.9174,0.3818,0.1083,0.3067,68.87,5.07,36.22,22.54,4.2,0.1259,6.6,41.45,88.75,0.3783,0.1347,21.89,,,UNIQLO Field at Dodger Stadium,
233,805367,Chase Meidroth,CWS,MIN,2026-09-05T23:10:00Z,Scheduled,7,Taj Bradley,671737,R,33.3,Longshot,Watch List,Projected Lineup,11.8,47.9,27.6,59.8,50.0,18.0,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,25,0,"Last 7 games: 6/25, 0 HR","same-side matchup; pitcher baseline 8.8% barrel, 20.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.42,34.7,87.57,97.2878,0.3344,0.0933,0.2958,67.12,1.25,38.47,19.98,9.9,0.109,8.8,43.33,90.32,0.3864,0.1578,29.19,,,Rate Field,
234,669392,Samad Taylor,SD,NYY,2026-09-05T23:15:00Z,Scheduled,2,Carlos Rodón,607074,L,33.3,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",1.6,32.8,22.6,95.5,78.0,21.5,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,19,0,"Last 7 games: 5/19, 0 HR","platoon edge; pitcher baseline 7.0% barrel, 10.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,2.1,20.48,82.0,93.732,0.3112,0.0626,0.2817,68.32,2.87,31.51,12.08,0.7,0.0588,6.97,37.64,89.44,0.3517,0.1317,27.74,,,Petco Park,
235,663968,Jake Mangum,PIT,LAA,2026-09-05T22:40:00Z,Scheduled,8,Yusei Kikuchi,579328,L,33.2,Longshot,Watch List,"Projected Lineup, Platoon Edge",6.1,53.1,24.3,47.9,75.0,27.0,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,20,0,"Last 7 games: 6/20, 0 HR","switch hitter; pitcher baseline 9.8% barrel, 12.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,2.21,29.27,86.04,96.7426,0.3269,0.0801,0.2816,67.65,3.87,27.72,15.42,3.7,0.0804,9.75,44.72,91.14,0.4532,0.1906,24.31,,,PNC Park,
236,688363,Graham Pauley,MIA,CHC,2026-09-05T20:10:00Z,Scheduled,8,Javier Assad,665871,R,32.9,Longshot,Watch List,"Projected Lineup, Platoon Edge",13.4,39.2,21.5,47.9,80.0,37.8,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,16,1,"Last 7 games: 4/16, 1 HR","platoon edge; pitcher baseline 6.0% barrel, 11.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.57,27.7,84.99,96.2124,0.3066,0.1074,0.2465,71.21,15.38,48.36,30.34,2.6,0.1455,6.02,43.97,89.62,0.4253,0.1565,26.5,,,loanDepot park,
237,665926,Andres Gimenez,TOR,KC,2026-09-05T23:10:00Z,Scheduled,9,Seth Lugo,607625,R,32.4,Longshot,Watch List,"Projected Lineup, Platoon Edge",7.2,53.4,23.2,40.2,80.0,17.7,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,21,0,"Last 7 games: 5/21, 0 HR","platoon edge; pitcher baseline 8.7% barrel, 20.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.21,25.6,85.74,95.9309,0.3344,0.0978,0.28,68.53,5.14,38.45,23.44,7.7,0.1086,8.65,43.66,90.14,0.4632,0.1904,28.9,,,Kauffman Stadium,
238,664728,Kyle Isbel,KC,TOR,2026-09-05T23:10:00Z,Scheduled,9,Max Scherzer,453286,R,32.4,Longshot,Watch List,"Projected Lineup, Platoon Edge",12.9,47.6,23.2,40.2,80.0,8.1,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,23,0,"Last 7 games: 4/23, 0 HR","platoon edge; pitcher baseline 10.1% barrel, 14.1 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,2.65,34.56,88.36,98.9723,0.3096,0.0819,0.2622,71.1,13.76,33.09,19.78,5.4,0.1127,10.09,35.47,88.02,0.4249,0.189,33.53,,,Kauffman Stadium,
239,643289,Mauricio Dubon,ATL,PHI,2026-09-05T22:05:00Z,Scheduled,5,Zack Wheeler,554430,R,32.3,Longshot,Watch List,Projected Lineup,9.9,26.0,34.3,81.9,50.0,34.9,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,26,1,"Last 7 games: 6/26, 1 HR","same-side matchup; pitcher baseline 6.5% barrel, 19.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,2.95,28.54,85.9,96.2201,0.3611,0.1001,0.2962,68.87,4.03,31.47,25.44,9.1,0.1161,6.5,34.8,86.98,0.3228,0.1212,25.74,,,Citizens Bank Park,
240,595978,Austin Hedges,CLE,DET,2026-09-05T22:10:00Z,Scheduled,8,Framber Valdez,664285,L,32.3,Longshot,Watch List,"Projected Lineup, Platoon Edge",12.7,37.0,27.6,47.9,78.0,26.4,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,23,1,"Last 7 games: 4/23, 1 HR","platoon edge; pitcher baseline 6.3% barrel, 15.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.17,31.92,86.94,97.6584,0.3071,0.0951,0.2686,69.96,10.3,49.07,23.87,5.0,0.1174,6.28,44.34,90.52,0.3896,0.1325,18.39,,,Progressive Field,
241,695490,Edwin Arroyo,CIN,MIL,2026-09-05T22:40:00Z,Scheduled,8,Dustin May,669160,R,32.3,Longshot,Watch List,"Projected Lineup, Platoon Edge",9.5,41.1,39.3,47.9,75.0,0.0,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,21,0,"Last 7 games: 2/21, 0 HR","switch hitter; pitcher baseline 7.7% barrel, 13.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,2.8,27.7,88.0,96.2813,0.351,0.081,0.293,69.2,5.3,42.0,19.6,0.0,0.041,7.73,44.43,90.04,0.3999,0.149,24.73,,,Great American Ball Park,
242,677587,Brayan Rocchio,CLE,DET,2026-09-05T22:10:00Z,Scheduled,9,Framber Valdez,664285,L,32.2,Longshot,Watch List,"Projected Lineup, Platoon Edge",13.9,35.4,27.6,40.2,75.0,51.3,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,23,2,Hot streak: 2 HR in last 7 games,"switch hitter; pitcher baseline 6.3% barrel, 15.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.09,32.35,87.16,97.2949,0.3496,0.106,0.2922,69.93,7.08,43.99,25.44,8.5,0.1112,6.28,44.34,90.52,0.3896,0.1325,18.39,,,Progressive Field,
243,694224,Gabriel Gonzalez,MIN,CWS,2026-09-05T23:10:00Z,Scheduled,6,Anthony Kay,641743,L,32.1,Longshot,Watch List,"Projected Lineup, Platoon Edge",1.6,40.8,27.6,71.7,78.0,12.0,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,5,1,5,0,"Last 5 games: 1/5, 0 HR","platoon edge; pitcher baseline 8.5% barrel, 19.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,0.0,0.0,63.1,66.6345,0.11,0.008,0.403,68.8,8.3,0.0,0.0,0.0,0.0,8.5,39.1,88.3,0.413,0.154,22.2,,,Rate Field,
244,680757,Steven Kwan,CLE,DET,2026-09-05T22:10:00Z,Scheduled,1,Framber Valdez,664285,L,31.9,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",2.5,37.0,27.6,88.7,50.0,22.4,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,26,0,"Last 7 games: 7/26, 0 HR","same-side matchup; pitcher baseline 6.3% barrel, 15.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,0.92,12.44,84.52,92.6412,0.3436,0.072,0.3184,62.8,0.31,28.58,23.09,4.7,0.0712,6.28,44.34,90.52,0.3896,0.1325,18.39,,,Progressive Field,
245,645305,Ali Sanchez,NYY,SD,2026-09-05T23:15:00Z,Scheduled,9,Robbie Ray,592662,L,31.8,Longshot,Watch List,"Projected Lineup, Platoon Edge",11.7,49.7,22.6,40.2,78.0,0.0,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,0,9,0,"Last 7 games: 0/9, 0 HR","platoon edge; pitcher baseline 9.0% barrel, 20.6 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,6.75,29.86,84.31,96.1167,0.3183,0.0903,0.2487,70.21,8.61,37.14,19.84,0.7,0.0779,9.04,39.8,89.74,0.4088,0.1758,34.29,,,Petco Park,
246,701162,Ben Malgeri,DET,CLE,2026-09-05T22:10:00Z,Scheduled,8,Parker Messick,800048,L,31.4,Longshot,Watch List,"Projected Lineup, Platoon Edge",25.5,18.3,27.6,47.9,78.0,15.3,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,18,0,"Last 7 games: 4/18, 0 HR","platoon edge; pitcher baseline 5.0% barrel, 11.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.5,43.6,90.1,100.3722,0.347,0.109,0.315,68.8,4.1,38.2,25.5,3.0,0.141,4.96,31.55,87.54,0.3379,0.1142,21.12,,,Progressive Field,
247,,Carlos Jorge,CIN,MIL,2026-09-05T22:40:00Z,Scheduled,9,Dustin May,669160,R,31.4,Longshot,Watch List,Projected Lineup,6.4,41.1,39.3,40.2,60.0,50.0,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H: P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,,,,,Recent form unavailable,"handedness incomplete; pitcher baseline 7.7% barrel, 13.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,,,,,,,,,,,,,,7.73,44.43,90.04,0.3999,0.149,24.73,,,Great American Ball Park,
248,672016,Denzel Clarke,ATH,SEA,2026-09-06T01:40:00Z,Scheduled,9,George Kirby,669923,R,31.1,Longshot,Watch List,Projected Lineup,21.3,40.7,25.4,40.2,50.0,7.0,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,12,0,"Last 7 games: 2/12, 0 HR","same-side matchup; pitcher baseline 7.3% barrel, 17.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.9,42.28,89.44,102.3279,0.2359,0.0548,0.2185,76.05,61.86,49.15,10.79,0.9,0.0545,7.34,41.73,89.83,0.4004,0.1444,24.66,,,T-Mobile Park,
249,666023,Freddy Fermin,SD,NYY,2026-09-05T23:15:00Z,Scheduled,8,Carlos Rodón,607074,L,30.7,Longshot,Watch List,"Projected Lineup, Platoon Edge",15.7,32.8,22.6,47.9,78.0,12.0,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,20,0,"Last 7 games: 4/20, 0 HR","platoon edge; pitcher baseline 7.0% barrel, 10.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.13,30.95,88.05,97.3554,0.3273,0.1058,0.2735,69.78,6.35,36.85,27.65,4.3,0.1027,6.97,37.64,89.44,0.3517,0.1317,27.74,,,Petco Park,
