rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
246,686681,Michael Massey,KC,PHI,2026-07-05T00:10:00Z,Scheduled,8,Jesús Luzardo,666200,L,30.5,Longshot,Watch List,Projected Lineup,31.2,20.0,23.2,47.9,50.0,14.6,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,23,0,"Last 7 games: 5/23, 0 HR","same-side matchup; pitcher baseline 6.1% barrel, 11.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.1,38.39,89.53,98.8384,0.3929,0.1542,0.2881,71.5,11.94,47.96,33.67,5.8,0.1418,6.07,31.85,86.96,0.3354,0.1116,21.03,,,Kauffman Stadium,
247,676439,Hunter Feduccia,TB,HOU,2026-07-04T23:10:00Z,Scheduled,9,Hunter Brown,686613,R,30.3,Longshot,Watch List,"Projected Lineup, Platoon Edge",29.3,12.9,27.6,40.2,80.0,12.0,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,20,0,"Last 7 games: 4/20, 0 HR","platoon edge; pitcher baseline 4.2% barrel, 6.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.48,35.81,89.84,98.731,0.3475,0.1283,0.2988,70.43,9.62,28.6,29.06,0.7,0.0773,4.15,35.77,85.61,0.2837,0.1003,25.96,,,Daikin Park,
248,683083,Nasim Nuñez,WSH,PIT,2026-07-04T15:05:00Z,In Progress,9,Braxton Ashcraft,677952,R,29.7,Longshot,Watch List,Platoon Edge,5.0,26.8,46.7,44.8,75.0,31.9,Yes,Yes,9,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,19,1,"Last 7 games: 4/19, 1 HR","switch hitter; pitcher baseline 5.5% barrel, 8.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,1.76,26.87,86.08,96.0202,0.3005,0.0748,0.2792,68.77,5.08,33.04,19.31,1.9,0.0874,5.54,39.62,89.47,0.343,0.1185,25.18,In From LF,93,Nationals Park,
249,690976,Alex Freeland,LAD,SD,2026-07-05T02:10:00Z,Scheduled,9,Wandy Peralta,593974,L,29.3,Longshot,Watch List,"Projected Lineup, Platoon Edge",24.7,19.4,27.6,40.2,75.0,0.0,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,21,0,"Last 7 games: 2/21, 0 HR","switch hitter; pitcher baseline 4.6% barrel, 3.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.32,37.93,89.37,98.7398,0.3214,0.1189,0.2789,70.7,9.33,36.25,27.02,2.7,0.099,4.59,35.22,87.88,0.3769,0.119,18.04,,,UNIQLO Field at Dodger Stadium,
250,680757,Steven Kwan,CLE,CWS,2026-07-04T23:10:00Z,Scheduled,9,Sean Burke,680732,R,29.2,Longshot,Watch List,"Projected Lineup, Platoon Edge",1.9,43.7,27.6,40.2,80.0,22.9,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,22,0,"Last 7 games: 6/22, 0 HR","platoon edge; pitcher baseline 8.4% barrel, 14.6 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,0.85,12.58,84.1,92.4202,0.3275,0.0699,0.3072,63.07,0.45,28.93,24.77,4.0,0.0663,8.4,38.57,89.32,0.4031,0.1655,31.47,,,Progressive Field,
251,691011,Drew Romo,CWS,CLE,2026-07-04T23:10:00Z,Scheduled,7,Parker Messick,800048,L,29.1,Longshot,Watch List,"Projected Lineup, Platoon Edge",15.6,19.5,27.6,59.8,75.0,0.0,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,1,22,0,"Last 7 games: 1/22, 0 HR","switch hitter; pitcher baseline 5.7% barrel, 7.5 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,8.3,29.2,84.5,96.1417,0.2149,0.0903,0.1785,68.42,3.57,40.3,36.1,3.5,0.1358,5.73,32.04,87.47,0.3498,0.1191,20.77,,,Progressive Field,
252,682668,Luisangel Acuna,CWS,CLE,2026-07-04T23:10:00Z,Scheduled,8,Parker Messick,800048,L,29.0,Longshot,Watch List,"Projected Lineup, Platoon Edge",15.5,20.3,27.6,47.9,78.0,22.9,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,11,0,"Last 7 games: 3/11, 0 HR","platoon edge; pitcher baseline 5.7% barrel, 7.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.43,36.83,88.88,99.6328,0.3151,0.0721,0.2717,71.68,25.13,32.57,17.49,0.7,0.0379,5.73,32.04,87.47,0.3498,0.1191,20.77,,,Progressive Field,
253,686452,Drew Millas,WSH,PIT,2026-07-04T15:05:00Z,In Progress,8,Braxton Ashcraft,677952,R,28.7,Longshot,Watch List,Platoon Edge,1.2,26.8,46.7,52.4,75.0,16.1,Yes,Yes,8,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,22,0,"Last 7 games: 5/22, 0 HR","switch hitter; pitcher baseline 5.5% barrel, 8.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.07,22.39,83.82,94.7868,0.3065,0.0793,0.2784,67.68,4.27,36.57,17.98,1.4,0.101,5.54,39.62,89.47,0.343,0.1185,25.18,In From LF,93,Nationals Park,
254,675961,Alika Williams,ATH,MIA,2026-07-05T01:40:00Z,Scheduled,9,Sandy Alcantara,645261,R,28.6,Longshot,Watch List,Projected Lineup,11.2,33.0,30.9,40.2,50.0,44.1,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,24,1,"Last 7 games: 7/24, 1 HR","same-side matchup; pitcher baseline 6.4% barrel, 15.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,0.0,38.0,86.4,97.9233,0.281,0.062,0.236,69.3,4.0,33.3,23.5,2.0,0.178,6.43,37.93,88.88,0.3919,0.1316,24.52,,,Sutter Health Park,
255,702222,Justin Crawford,PHI,KC,2026-07-05T00:10:00Z,Scheduled,9,Michael Wacha,608379,R,28.5,Longshot,Watch List,"Projected Lineup, Platoon Edge",9.5,30.7,23.2,40.2,80.0,34.2,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,23,0,Contact streak: 8/23 over last 7 games,"platoon edge; pitcher baseline 5.9% barrel, 11.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,1.0,34.4,86.9,97.7837,0.309,0.064,0.272,68.8,4.2,27.2,15.9,2.0,0.088,5.93,35.3,87.92,0.4035,0.1528,26.29,,,Kauffman Stadium,
