rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
97,666139,Josh Lowe,LAA,TEX,2026-07-10T00:05:00Z,Pre-Game,6,Nathan Eovaldi,543135,R,45.8,Longshot,Watch List,"Projected Lineup, Platoon Edge",34.1,39.3,41.1,71.7,80.0,32.9,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,23,1,"Last 7 games: 5/23, 1 HR","platoon edge; pitcher baseline 7.9% barrel, 16.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.72,38.2,88.88,99.4301,0.3903,0.1646,0.2889,73.59,36.32,36.83,31.22,8.2,0.1509,7.89,38.99,88.6,0.3958,0.1586,25.18,None,72,Globe Life Field,
98,811965,Joshua Kuroda-Grauer,ATH,DET,2026-07-09T22:40:00Z,Pre-Game,1,Framber Valdez,664285,L,45.6,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",12.8,38.0,66.1,93.2,78.0,45.0,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,12,26,0,Contact streak: 12/26 over last 7 games,"platoon edge; pitcher baseline 6.8% barrel, 12.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,0.0,32.1,89.1,98.6792,0.378,0.061,0.316,68.0,6.0,28.6,17.9,0.0,0.1,6.84,43.36,90.17,0.3952,0.1444,20.84,Out To LF,77,Comerica Park,
99,663837,Matt Vierling,DET,ATH,2026-07-09T22:40:00Z,Pre-Game,2,José Suarez,660761,L,45.6,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",30.9,17.2,66.1,100.0,78.0,7.0,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,24,0,"Last 7 games: 4/24, 0 HR","platoon edge; pitcher baseline 3.2% barrel, 2.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.27,38.78,88.91,99.1059,0.394,0.1447,0.3107,71.14,8.55,31.34,30.92,3.8,0.1163,3.24,37.23,88.42,0.345,0.0964,21.72,Out To LF,77,Comerica Park,
100,681987,Nate Eaton,BOS,CWS,2026-07-09T18:10:00Z,In Progress,7,Anthony Kay,641743,L,45.5,Longshot,Watch List,Platoon Edge,29.6,40.3,66.6,64.3,78.0,0.0,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,0,17,0,"Last 7 games: 0/17, 0 HR","platoon edge; pitcher baseline 8.8% barrel, 11.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.24,33.37,88.17,98.4946,0.3517,0.1608,0.3,73.3,31.9,52.26,18.08,1.0,0.1507,8.8,39.1,88.8,0.42,0.152,21.4,Out To LF,80,Rate Field,
101,805808,Kevin McGonigle,DET,ATH,2026-07-09T22:40:00Z,Pre-Game,1,José Suarez,660761,L,45.5,Longshot,Watch List,Premium Lineup Spot,34.8,17.2,66.1,93.2,50.0,48.5,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,28,1,Contact streak: 9/28 over last 7 games,"same-side matchup; pitcher baseline 3.2% barrel, 2.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.9,37.5,88.1,98.6345,0.448,0.174,0.37,71.3,17.5,40.2,34.5,7.0,0.135,3.24,37.23,88.42,0.345,0.0964,21.72,Out To LF,77,Comerica Park,
102,805367,Chase Meidroth,CWS,BOS,2026-07-09T18:10:00Z,In Progress,1,Patrick Sandoval,663776,L,45.4,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",12.1,41.2,66.6,93.2,78.0,29.2,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,26,1,"Last 7 games: 5/26, 1 HR","platoon edge; pitcher baseline 0.0% barrel, 0.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.63,34.84,87.92,97.4587,0.3267,0.0891,0.2909,67.05,1.25,37.63,19.56,6.4,0.0957,,,,,,,Out To LF,80,Rate Field,
103,663494,Bryan Torres,STL,MIL,2026-07-09T23:45:00Z,Pre-Game,7,Logan Henderson,701656,R,45.3,Longshot,Watch List,Platoon Edge,28.8,32.1,65.6,64.3,80.0,41.7,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,13,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 9.1% barrel, 2.3 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,9.3,31.1,86.6,96.7044,0.424,0.18,0.319,66.8,1.1,44.4,31.1,4.0,0.245,9.09,30.56,87.75,0.3562,0.1337,33.66,Out To RF,91,Busch Stadium,
104,608324,Alex Bregman,CHC,BAL,2026-07-09T17:35:00Z,Game Over,2,Trevor Rogers,669432,L,45.2,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",24.6,37.2,44.6,100.0,78.0,8.8,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,28,0,"Last 7 games: 5/28, 0 HR","platoon edge; pitcher baseline 7.1% barrel, 8.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.06,39.57,88.49,98.2928,0.3829,0.1355,0.3223,70.23,5.22,47.0,24.08,10.3,0.1302,7.11,41.82,89.28,0.3949,0.1517,25.16,In From CF,83,Oriole Park at Camden Yards,
105,669134,Luis Campusano,SD,AZ,2026-07-10T01:40:00Z,Scheduled,7,Merrill Kelly,518876,R,45.1,Longshot,Watch List,"Projected Lineup, Pitcher Vulnerable",28.5,71.9,22.6,59.8,50.0,44.5,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,17,1,"Last 7 games: 5/17, 1 HR","same-side matchup; pitcher baseline 12.9% barrel, 20.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.63,44.0,87.38,99.8011,0.3375,0.1351,0.3067,72.82,28.94,48.45,21.27,2.8,0.2114,12.94,43.78,90.13,0.5451,0.2517,27.13,,,Petco Park,
106,682674,Victor Bericoto,SF,COL,2026-07-10T01:45:00Z,Scheduled,8,Ryan Feltner,663372,R,44.9,Longshot,Watch List,"Projected Lineup, Strong Barrel",56.1,39.7,19.3,47.9,50.0,55.9,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,27,1,Contact streak: 10/27 over last 7 games,"same-side matchup; pitcher baseline 7.5% barrel, 7.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,14.3,47.6,88.5,100.2954,0.477,0.253,0.301,74.1,45.4,38.1,28.6,4.0,0.273,7.46,38.85,88.74,0.4274,0.1772,27.34,,,Oracle Park,
