rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
143,806198,Cooper Pratt,MIL,STL,2026-07-09T23:45:00Z,Pre-Game,8,Andre Pallante,669467,R,37.3,Longshot,Watch List,Projected Lineup,24.0,28.5,65.6,47.9,50.0,29.7,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,22,0,"Last 7 games: 7/22, 0 HR","same-side matchup; pitcher baseline 6.3% barrel, 12.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.9,35.8,89.1,98.8577,0.437,0.112,0.387,70.3,10.2,34.0,15.1,0.0,0.064,6.32,36.19,87.87,0.3824,0.1384,18.73,Out To RF,91,Busch Stadium,
144,805347,Jim Jarvis,ATL,PIT,2026-07-09T16:35:00Z,Game Over,9,Mitch Keller,656605,R,36.6,Longshot,Watch List,Platoon Edge,2.9,43.5,63.3,44.8,80.0,44.1,Yes,Yes,9,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,24,1,"Last 7 games: 7/24, 1 HR","platoon edge; pitcher baseline 7.5% barrel, 14.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,0.0,21.4,82.2,92.7078,0.236,0.021,0.223,70.6,13.5,28.6,21.4,0.0,0.0,7.45,42.54,89.47,0.4461,0.164,24.26,Out To LF,82,PNC Park,
145,677870,Leo Jiménez,MIA,SEA,2026-07-09T22:40:00Z,Pre-Game,9,Bryce Miller,682243,R,36.6,Longshot,Watch List,No major boost,31.4,33.2,35.0,44.8,50.0,45.3,Yes,Yes,9,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,20,1,"Last 7 games: 6/20, 1 HR","same-side matchup; pitcher baseline 7.5% barrel, 10.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,6.51,45.8,91.72,100.8021,0.3371,0.1115,0.2939,71.65,12.38,32.41,25.43,1.0,0.0806,7.51,33.83,87.92,0.3643,0.1519,32.21,None,72,loanDepot park,
146,650333,Luis Arraez,SF,COL,2026-07-10T01:45:00Z,Scheduled,2,Ryan Feltner,663372,R,36.3,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",7.4,39.7,19.3,95.5,80.0,18.2,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,29,0,"Last 7 games: 7/29, 0 HR","platoon edge; pitcher baseline 7.5% barrel, 7.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,0.75,21.04,86.73,94.2015,0.3721,0.0858,0.3044,63.09,0.12,30.73,27.47,5.2,0.1231,7.46,38.85,88.74,0.4274,0.1772,27.34,,,Oracle Park,
147,681909,Justin Dean,CHC,BAL,2026-07-09T17:35:00Z,Game Over,4,Trevor Rogers,669432,L,35.9,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",0.0,37.2,44.6,94.9,78.0,0.0,Yes,,,No,Yes,MLB Stats API; RotoWire,not found on RotoWire,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,0,2,0,"Last 7 games: 0/2, 0 HR","platoon edge; pitcher baseline 7.1% barrel, 8.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,0.0,23.31,80.33,90.1048,0.2763,0.057,0.2628,65.38,0.0,46.69,0.0,0.0,0.28,7.11,41.82,89.28,0.3949,0.1517,25.16,In From CF,83,Oriole Park at Camden Yards,
148,695391,Brett Harris,BOS,CWS,2026-07-09T18:10:00Z,In Progress,9,Anthony Kay,641743,L,35.7,Longshot,Watch List,Platoon Edge,8.3,40.3,66.6,44.8,78.0,0.0,Yes,Yes,8,Yes,Yes,MLB Stats API; RotoWire,order MLB 9 vs RotoWire 8,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,6,0,6,0,"Last 6 games: 0/6, 0 HR","platoon edge; pitcher baseline 8.8% barrel, 11.0 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,1.11,8.34,74.62,85.6058,0.1212,0.0283,0.2684,72.4,15.14,16.68,43.34,0.0,0.0204,8.8,39.1,88.8,0.42,0.152,21.4,Out To LF,80,Rate Field,
149,805300,Jakob Marsee,MIA,SEA,2026-07-09T22:40:00Z,Pre-Game,8,Bryce Miller,682243,R,35.7,Longshot,Watch List,Platoon Edge,19.4,33.2,35.0,52.4,80.0,31.6,Yes,Yes,8,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,24,1,"Last 7 games: 5/24, 1 HR","platoon edge; pitcher baseline 7.5% barrel, 10.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,4.81,36.22,87.43,98.536,0.3538,0.1176,0.3162,70.5,6.28,41.23,23.89,5.0,0.1272,7.51,33.83,87.92,0.3643,0.1519,32.21,None,72,loanDepot park,
150,808982,Jung Hoo Lee,SF,COL,2026-07-10T01:45:00Z,Scheduled,5,Ryan Feltner,663372,R,35.5,Longshot,Watch List,"Projected Lineup, Platoon Edge",11.1,39.7,19.3,81.9,80.0,15.3,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,27,0,"Last 7 games: 6/27, 0 HR","platoon edge; pitcher baseline 7.5% barrel, 7.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,2.79,29.48,87.1,96.516,0.3836,0.0954,0.3161,68.37,2.98,38.88,22.24,5.9,0.1326,7.46,38.85,88.74,0.4274,0.1772,27.34,,,Oracle Park,
151,678662,Ezequiel Tovar,COL,SF,2026-07-10T01:45:00Z,Scheduled,9,Carson Whisenhunt,687931,L,35.4,Longshot,Watch List,"Projected Lineup, Platoon Edge",29.7,31.9,19.3,40.2,78.0,47.2,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,21,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 3.8% barrel, 1.8 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,7.76,34.49,87.79,98.8613,0.3892,0.1576,0.2875,71.88,19.94,37.96,31.32,8.3,0.1365,3.75,40.34,89.74,0.4295,0.1486,34.1,,,Oracle Park,
152,663538,Nico Hoerner,CHC,BAL,2026-07-09T17:35:00Z,Game Over,7,Trevor Rogers,669432,L,34.9,Longshot,Watch List,Platoon Edge,8.1,37.2,44.6,64.3,78.0,12.0,Yes,Yes,6,Yes,Yes,MLB Stats API; RotoWire,order MLB 7 vs RotoWire 6,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,25,0,"Last 7 games: 5/25, 0 HR","platoon edge; pitcher baseline 7.1% barrel, 8.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,1.35,28.48,86.0,96.1852,0.3693,0.0829,0.3206,68.36,1.9,33.43,22.75,4.9,0.0949,7.11,41.82,89.28,0.3949,0.1517,25.16,In From CF,83,Oriole Park at Camden Yards,
153,681198,TJ Rumfield,COL,SF,2026-07-10T01:45:00Z,Scheduled,4,Carson Whisenhunt,687931,L,34.6,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",15.0,31.9,19.3,90.4,50.0,38.3,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,24,0,Contact streak: 9/24 over last 7 games,"same-side matchup; pitcher baseline 3.8% barrel, 1.8 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,5.6,28.9,84.0,96.5537,0.383,0.133,0.321,68.9,8.6,45.4,27.8,12.0,0.185,3.75,40.34,89.74,0.4295,0.1486,34.1,,,Oracle Park,
154,665877,José Fermín,STL,MIL,2026-07-09T23:45:00Z,Pre-Game,8,Logan Henderson,701656,R,34.5,Longshot,Watch List,No major boost,8.8,32.1,65.6,52.4,50.0,44.1,Yes,Yes,8,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,24,1,"Last 7 games: 7/24, 1 HR","same-side matchup; pitcher baseline 9.1% barrel, 2.3 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,1.68,29.75,85.84,96.2701,0.3453,0.0934,0.2963,68.14,3.51,46.57,24.73,3.1,0.1396,9.09,30.56,87.75,0.3562,0.1337,33.66,Out To RF,91,Busch Stadium,
155,669707,Jared Triolo,PIT,ATL,2026-07-09T16:35:00Z,Game Over,9,Bryce Elder,693821,R,34.4,Longshot,Watch List,No major boost,14.9,35.4,63.3,44.8,50.0,14.6,Yes,Yes,9,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,23,0,"Last 7 games: 5/23, 0 HR","same-side matchup; pitcher baseline 5.6% barrel, 15.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.47,36.38,87.53,98.5244,0.3242,0.0929,0.2855,70.97,8.42,36.17,22.01,2.8,0.0898,5.63,40.65,90.0,0.3927,0.1428,25.94,Out To LF,82,PNC Park,
156,687401,Joey Ortiz,MIL,STL,2026-07-09T23:45:00Z,Pre-Game,9,Andre Pallante,669467,R,34.3,Longshot,Watch List,Projected Lineup,13.1,28.5,65.6,40.2,50.0,63.3,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,21,1,Contact streak: 9/21 over last 7 games,"same-side matchup; pitcher baseline 6.3% barrel, 12.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.42,32.73,86.79,98.3418,0.3319,0.0897,0.289,72.61,26.36,28.41,21.29,4.2,0.0828,6.32,36.19,87.87,0.3824,0.1384,18.73,Out To RF,91,Busch Stadium,
157,686217,Sal Frelick,MIL,STL,2026-07-09T23:45:00Z,Pre-Game,7,Andre Pallante,669467,R,34.1,Longshot,Watch List,"Projected Lineup, Platoon Edge",5.7,28.5,65.6,59.8,80.0,0.0,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,1,19,0,"Last 7 games: 1/19, 0 HR","platoon edge; pitcher baseline 6.3% barrel, 12.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,2.4,27.61,85.78,96.4236,0.332,0.0812,0.2913,68.34,3.79,39.81,20.13,5.7,0.096,6.32,36.19,87.87,0.3824,0.1384,18.73,Out To RF,91,Busch Stadium,
158,806068,Colt Emerson,SEA,MIA,2026-07-09T22:40:00Z,Pre-Game,9,Janson Junk,676083,R,34.0,Longshot,Watch List,Platoon Edge,14.0,41.6,35.0,44.8,80.0,14.6,Yes,Yes,9,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,23,0,"Last 7 games: 5/23, 0 HR","platoon edge; pitcher baseline 7.2% barrel, 8.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.8,27.9,86.4,96.8146,0.27,0.103,0.235,72.6,25.5,39.5,20.9,7.0,0.203,7.17,43.31,90.41,0.4236,0.1606,24.2,None,72,loanDepot park,
159,672724,Oswald Peraza,LAA,TEX,2026-07-10T00:05:00Z,Pre-Game,9,Nathan Eovaldi,543135,R,34.0,Longshot,Watch List,Projected Lineup,25.0,39.3,41.1,40.2,50.0,0.0,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,22,0,"Last 7 games: 2/22, 0 HR","same-side matchup; pitcher baseline 7.9% barrel, 16.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.61,37.75,87.17,99.8973,0.3494,0.1253,0.2732,72.69,27.55,36.69,20.87,6.4,0.1252,7.89,38.99,88.6,0.3958,0.1586,25.18,None,72,Globe Life Field,
160,671289,Tyler Freeman,COL,SF,2026-07-10T01:45:00Z,Scheduled,6,Carson Whisenhunt,687931,L,33.7,Longshot,Watch List,"Projected Lineup, Platoon Edge",15.5,31.9,19.3,71.7,78.0,19.5,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,20,0,"Last 7 games: 5/20, 0 HR","platoon edge; pitcher baseline 3.8% barrel, 1.8 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,1.4,36.06,88.56,98.4987,0.3614,0.088,0.3236,70.6,12.01,34.37,20.31,2.7,0.0814,3.75,40.34,89.74,0.4295,0.1486,34.1,,,Oracle Park,
161,665923,Esteury Ruiz,MIA,SEA,2026-07-09T22:40:00Z,Pre-Game,7,Bryce Miller,682243,R,33.4,Longshot,Watch List,No major boost,20.4,33.2,35.0,64.3,50.0,0.0,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,1,12,0,"Last 7 games: 1/12, 0 HR","same-side matchup; pitcher baseline 7.5% barrel, 10.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,8.05,27.58,84.37,95.7238,0.3496,0.1519,0.2966,71.52,16.91,45.92,27.58,3.1,0.2144,7.51,33.83,87.92,0.3643,0.1519,32.21,None,72,loanDepot park,
162,664983,Jake McCarthy,COL,SF,2026-07-10T01:45:00Z,Scheduled,7,Carson Whisenhunt,687931,L,33.4,Longshot,Watch List,"Projected Lineup, Hot Hitter/Streak",16.2,31.9,19.3,59.8,50.0,92.6,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,27,3,Hot streak: 3 HR in last 7 games,"same-side matchup; pitcher baseline 3.8% barrel, 1.8 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,5.72,26.55,84.98,96.4907,0.3978,0.1399,0.307,70.71,11.79,36.33,22.01,7.5,0.19,3.75,40.34,89.74,0.4295,0.1486,34.1,,,Oracle Park,
163,681546,James Outman,DET,ATH,2026-07-09T22:40:00Z,Pre-Game,9,José Suarez,660761,L,33.1,Longshot,Watch List,No major boost,22.5,17.2,66.1,44.8,50.0,18.3,Yes,Yes,9,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,20,1,"Last 7 games: 2/20, 1 HR","same-side matchup; pitcher baseline 3.2% barrel, 2.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.43,31.0,86.32,97.3911,0.2796,0.1286,0.2286,72.18,19.76,53.5,29.32,3.9,0.1471,3.24,37.23,88.42,0.345,0.0964,21.72,Out To LF,77,Comerica Park,
164,695490,Edwin Arroyo,CIN,PHI,2026-07-09T23:10:00Z,Pre-Game,8,Jesús Luzardo,666200,L,32.6,Longshot,Watch List,"Good Environment, Platoon Edge",5.6,18.2,79.8,52.4,75.0,7.0,Yes,Yes,8,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,24,0,"Last 7 games: 4/24, 0 HR","switch hitter; pitcher baseline 5.9% barrel, 11.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,0.0,19.4,85.8,94.4453,0.352,0.054,0.311,69.2,6.0,43.3,13.4,0.0,0.059,5.86,32.13,87.03,0.3284,0.1088,21.66,Out To LF,87,Great American Ball Park,
165,670770,TJ Friedl,CIN,PHI,2026-07-09T23:10:00Z,Pre-Game,9,Jesús Luzardo,666200,L,31.8,Longshot,Watch List,Good Environment,9.8,19.4,79.8,44.8,50.0,24.0,Yes,Yes,9,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,19,1,"Last 7 games: 3/19, 1 HR","same-side matchup; pitcher baseline 5.9% barrel, 11.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,2.98,29.58,87.66,97.4113,0.2757,0.0767,0.2601,70.53,9.96,40.65,23.35,6.3,0.1009,5.86,32.13,87.03,0.3284,0.1088,21.66,Out To LF,87,Great American Ball Park,
166,696030,Alejandro Osuna,TEX,LAA,2026-07-10T00:05:00Z,Pre-Game,9,Reid Detmers,672282,L,30.9,Longshot,Watch List,No major boost,11.9,33.3,41.1,44.8,50.0,41.2,Yes,Yes,9,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,22,1,"Last 7 games: 6/22, 1 HR","same-side matchup; pitcher baseline 7.3% barrel, 8.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,2.29,31.54,87.78,98.4992,0.3429,0.0766,0.3221,71.55,21.44,26.45,15.79,1.3,0.0499,7.29,38.74,89.68,0.3469,0.1271,27.29,None,72,Globe Life Field,
167,690924,Braxton Fulford,COL,SF,2026-07-10T01:45:00Z,Scheduled,8,Carson Whisenhunt,687931,L,30.4,Longshot,Watch List,"Projected Lineup, Platoon Edge",18.6,31.9,19.3,47.9,78.0,0.0,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,1,12,0,"Last 7 games: 1/12, 0 HR","platoon edge; pitcher baseline 3.8% barrel, 1.8 HR allowed",fly-ball profile; pitcher allows elevated contact,6.42,30.93,86.74,98.1592,0.2465,0.0909,0.2228,71.81,22.09,24.9,37.33,1.0,0.111,3.75,40.34,89.74,0.4295,0.1486,34.1,,,Oracle Park,
168,645302,Victor Robles,SEA,MIA,2026-07-09T22:40:00Z,Pre-Game,8,Janson Junk,676083,R,30.3,Longshot,Watch List,No major boost,7.5,41.6,35.0,52.4,50.0,15.3,Yes,Yes,8,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,18,0,"Last 7 games: 4/18, 0 HR","same-side matchup; pitcher baseline 7.2% barrel, 8.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.43,20.75,85.47,95.0151,0.3151,0.0974,0.2608,68.05,1.39,47.94,30.72,0.3,0.0416,7.17,43.31,90.41,0.4236,0.1606,24.2,None,72,loanDepot park,
169,701852,Drew Cavanaugh,SF,COL,2026-07-10T01:45:00Z,Scheduled,9,Ryan Feltner,663372,R,30.2,Longshot,Watch List,"Projected Lineup, Platoon Edge",14.0,39.7,19.3,40.2,80.0,7.0,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,18,0,"Last 7 games: 3/18, 0 HR","platoon edge; pitcher baseline 7.5% barrel, 7.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.6,22.2,87.4,96.795,0.336,0.112,0.259,70.5,9.1,27.8,16.7,0.0,0.0,7.46,38.85,88.74,0.4274,0.1772,27.34,,,Oracle Park,
170,656716,Zach McKinstry,DET,ATH,2026-07-09T22:40:00Z,Pre-Game,7,José Suarez,660761,L,29.8,Longshot,Watch List,No major boost,4.3,17.2,66.1,64.3,50.0,16.6,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,26,0,"Last 7 games: 6/26, 0 HR","same-side matchup; pitcher baseline 3.2% barrel, 2.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.09,23.22,84.72,95.2516,0.3125,0.0837,0.2819,68.34,4.14,41.94,26.39,5.7,0.1188,3.24,37.23,88.42,0.345,0.0964,21.72,Out To LF,77,Comerica Park,
171,695508,Cam Cauley,TEX,LAA,2026-07-10T00:05:00Z,Pre-Game,8,Reid Detmers,672282,L,29.7,Longshot,Watch List,Platoon Edge,1.9,33.3,41.1,52.4,78.0,10.1,Yes,,,No,Yes,MLB Stats API; RotoWire,not found on RotoWire,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,16,0,"Last 7 games: 3/16, 0 HR","platoon edge; pitcher baseline 7.3% barrel, 8.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,0.0,14.3,81.0,90.8993,0.238,0.057,0.24,69.4,13.6,35.7,7.1,0.0,0.125,7.29,38.74,89.68,0.3469,0.1271,27.29,None,72,Globe Life Field,
