rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
37,702176,Alan Roden,MIN,SF,2026-09-22T01:45:00Z,Scheduled,5,Blade Tidwell,694918,R,39.8,Longshot,Watch List,"Projected Lineup, Platoon Edge",17.3,38.9,19.3,81.9,80.0,62.8,No,Yes,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,24,1,Contact streak: 10/24 over last 7 games,"platoon edge; pitcher baseline 9.4% barrel, 6.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.17,37.61,87.45,98.623,0.3512,0.1031,0.3075,70.1,11.95,35.49,21.87,0.6,0.0722,9.45,34.4,87.99,0.4129,0.1614,26.7,,,Oracle Park,
38,694376,Shay Whitcomb,SF,MIN,2026-09-22T01:45:00Z,Scheduled,7,Zebby Matthews,805673,R,38.2,Longshot,Watch List,"Projected Lineup, Strong Barrel",26.0,54.7,19.3,59.8,50.0,14.6,No,Yes,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,23,0,"Last 7 games: 5/23, 0 HR","same-side matchup; pitcher baseline 10.5% barrel, 19.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.1,28.77,85.83,97.7378,0.3482,0.1562,0.2379,71.66,17.43,42.79,26.88,3.1,0.1332,10.53,41.18,90.25,0.4344,0.1802,28.36,,,Oracle Park,
39,669701,Josh Smith,TOR,BAL,2026-09-21T22:35:00Z,Scheduled,6,Shane Baz,669358,R,38.0,Longshot,Watch List,"Projected Lineup, Platoon Edge",17.8,41.8,32.1,71.7,80.0,0.8,No,Yes,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,16,0,"Last 7 games: 2/16, 0 HR","platoon edge; pitcher baseline 7.7% barrel, 18.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.26,30.89,86.29,97.2272,0.3373,0.1197,0.2904,68.86,2.97,36.3,29.77,7.2,0.1213,7.68,41.22,89.91,0.3937,0.149,25.92,,,Oriole Park at Camden Yards,
40,605170,Victor Caratini,MIN,SF,2026-09-22T01:45:00Z,Scheduled,7,Blade Tidwell,694918,R,37.7,Longshot,Watch List,"Projected Lineup, Platoon Edge",29.2,38.3,19.3,59.8,75.0,17.7,No,Yes,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,21,0,"Last 7 games: 5/21, 0 HR","switch hitter; pitcher baseline 9.4% barrel, 6.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.79,39.51,89.26,98.9326,0.3809,0.1462,0.315,71.32,16.22,38.13,22.92,8.5,0.11,9.45,34.4,87.99,0.4129,0.1614,26.7,,,Oracle Park,
41,678218,Brandon Valenzuela,TOR,BAL,2026-09-21T22:35:00Z,Scheduled,8,Shane Baz,669358,R,36.8,Longshot,Watch List,"Projected Lineup, Platoon Edge",26.4,39.9,32.1,47.9,75.0,5.7,No,Yes,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,19,0,"Last 7 games: 3/19, 0 HR","switch hitter; pitcher baseline 7.7% barrel, 18.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.7,37.2,88.1,99.1308,0.373,0.134,0.31,72.6,22.1,43.9,23.8,8.0,0.144,7.68,41.22,89.91,0.3937,0.149,25.92,,,Oriole Park at Camden Yards,
42,695391,Brett Harris,SF,MIN,2026-09-22T01:45:00Z,Scheduled,5,Zebby Matthews,805673,R,36.8,Longshot,Watch List,Projected Lineup,12.9,54.7,19.3,81.9,50.0,12.0,No,Yes,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,20,0,"Last 7 games: 4/20, 0 HR","same-side matchup; pitcher baseline 10.5% barrel, 19.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.24,33.05,86.59,97.3571,0.2436,0.0773,0.2504,70.86,13.11,33.13,20.66,0.0,0.0785,10.53,41.18,90.25,0.4344,0.1802,28.36,,,Oracle Park,
43,807726,John Peck,DET,WSH,2026-09-21T22:40:00Z,Scheduled,9,,,,36.5,Longshot,Watch List,"Projected Lineup, Strong Barrel",34.4,41.2,27.6,40.2,60.0,0.8,No,Yes,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,16,0,"Last 7 games: 2/16, 0 HR","handedness incomplete; pitcher baseline 0.0% barrel, 0.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.1,40.5,88.3,98.866,0.383,0.142,0.341,72.2,17.8,24.3,13.5,0.0,0.021,,,,,,,,,Comerica Park,
44,703520,Brett Bateman,TOR,BAL,2026-09-21T22:35:00Z,Scheduled,1,Shane Baz,669358,R,36.4,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",2.7,41.8,32.1,88.7,80.0,20.9,No,Yes,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,27,0,"Last 7 games: 7/27, 0 HR","platoon edge; pitcher baseline 7.7% barrel, 18.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,1.7,20.7,84.6,94.8552,0.327,0.07,0.3,68.0,2.6,33.6,12.1,2.0,0.089,7.68,41.22,89.91,0.3937,0.149,25.92,,,Oriole Park at Camden Yards,
45,703601,Max Clark,DET,WSH,2026-09-21T22:40:00Z,Scheduled,6,,,,36.3,Longshot,Watch List,Projected Lineup,17.0,41.2,27.6,71.7,60.0,24.0,No,Yes,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,25,0,"Last 7 games: 7/25, 0 HR","handedness incomplete; pitcher baseline 0.0% barrel, 0.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,1.6,37.9,87.2,98.1265,0.356,0.086,0.318,73.5,30.1,35.5,25.8,3.0,0.159,,,,,,,,,Comerica Park,
46,814154,Scott Bandura,SF,MIN,2026-09-22T01:45:00Z,Scheduled,6,Zebby Matthews,805673,R,34.6,Longshot,Watch List,"Projected Lineup, Platoon Edge",2.5,54.7,19.3,71.7,80.0,10.1,No,Yes,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,16,0,"Last 7 games: 3/16, 0 HR","platoon edge; pitcher baseline 10.5% barrel, 19.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,0.0,16.7,75.7,85.5095,0.145,0.034,0.153,70.4,13.6,50.0,0.0,0.0,0.077,10.53,41.18,90.25,0.4344,0.1802,28.36,,,Oracle Park,
