rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
241,687401,Joey Ortiz,MIL,AZ,2026-07-05T20:00:00Z,Scheduled,9,Eduardo Rodriguez,593958,L,33.2,Longshot,Watch List,"Projected Lineup, Platoon Edge",11.9,43.1,28.2,40.2,78.0,39.8,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,19,1,"Last 7 games: 5/19, 1 HR","platoon edge; pitcher baseline 8.4% barrel, 13.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.21,33.01,86.93,98.2907,0.32,0.0806,0.2869,72.54,25.1,28.34,20.94,3.5,0.0681,8.41,36.74,88.55,0.4436,0.1811,26.42,,,Chase Field,
242,806198,Cooper Pratt,MIL,AZ,2026-07-05T20:00:00Z,Scheduled,8,Eduardo Rodriguez,593958,L,33.0,Longshot,Watch List,"Projected Lineup, Platoon Edge",14.4,43.1,28.2,47.9,78.0,0.0,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,21,0,"Last 7 games: 2/21, 0 HR","platoon edge; pitcher baseline 8.4% barrel, 13.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.3,27.5,88.2,97.133,0.365,0.09,0.343,69.7,7.0,32.5,15.0,0.0,0.02,8.41,36.74,88.55,0.4436,0.1811,26.42,,,Chase Field,
243,680700,Richie Palacios,TB,HOU,2026-07-05T19:30:00Z,Scheduled,8,Peter Lambert,663567,R,32.8,Longshot,Watch List,"Projected Lineup, Platoon Edge",13.4,36.4,27.6,47.9,80.0,32.9,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,23,1,"Last 7 games: 5/23, 1 HR","platoon edge; pitcher baseline 6.8% barrel, 10.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,4.29,31.01,87.38,96.7913,0.3632,0.0976,0.3229,68.73,2.89,34.36,19.86,1.7,0.098,6.8,39.3,89.0,0.363,0.153,34.5,,,Daikin Park,
244,665926,Andres Gimenez,TOR,SEA,2026-07-05T21:00:00Z,Scheduled,9,Emerson Hancock,676106,R,32.8,Longshot,Watch List,"Projected Lineup, Platoon Edge",8.0,52.3,25.4,40.2,80.0,19.5,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,16,0,"Last 7 games: 4/16, 0 HR","platoon edge; pitcher baseline 9.2% barrel, 12.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.49,25.32,86.37,96.0532,0.3316,0.0964,0.28,68.46,4.79,38.1,23.16,7.0,0.1268,9.17,44.18,90.12,0.4526,0.1878,28.31,,,T-Mobile Park,
245,702332,Caleb Durbin,BOS,LAA,2026-07-06T01:30:00Z,Scheduled,6,Ryan Johnson,696270,R,32.7,Longshot,Watch List,Projected Lineup,7.4,37.9,28.2,71.7,50.0,48.7,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,25,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 7.4% barrel, 5.4 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,3.37,28.72,84.85,96.3177,0.3403,0.1,0.2903,68.67,5.05,43.05,18.14,8.9,0.1548,7.38,38.45,88.45,0.4094,0.1595,33.25,,,Angel Stadium,
246,694876,Cooper Ingle,CLE,CWS,2026-07-05T18:00:00Z,Pre-Game,6,Chris Murphy,669684,L,32.5,Longshot,Watch List,No major boost,14.0,26.8,41.6,76.2,50.0,0.0,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,6,1,17,0,"Last 6 games: 1/17, 0 HR","same-side matchup; pitcher baseline 7.5% barrel, 1.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,0.0,37.5,90.2,97.6114,0.098,0.01,0.173,67.6,0.0,62.5,12.5,0.0,0.0,7.5,40.25,87.56,0.3144,0.1066,27.26,In From RF,82,Progressive Field,
247,676391,Ernie Clement,TOR,SEA,2026-07-05T21:00:00Z,Scheduled,7,Emerson Hancock,676106,R,32.4,Longshot,Watch List,Projected Lineup,6.9,52.3,25.4,59.8,50.0,18.0,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,25,0,"Last 7 games: 6/25, 0 HR","same-side matchup; pitcher baseline 9.2% barrel, 12.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,2.4,24.32,85.76,95.1936,0.3478,0.0923,0.2771,67.67,3.03,42.55,27.48,7.6,0.1322,9.17,44.18,90.12,0.4526,0.1878,28.31,,,T-Mobile Park,
248,665877,José Fermín,STL,CHC,2026-07-05T18:30:00Z,Pre-Game,8,Javier Assad,665871,R,32.2,Longshot,Watch List,No major boost,8.1,43.2,42.8,52.4,50.0,17.7,Yes,Yes,8,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,21,0,"Last 7 games: 5/21, 0 HR","same-side matchup; pitcher baseline 6.7% barrel, 7.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,1.26,29.68,85.84,96.2471,0.3453,0.0899,0.2977,68.0,3.72,46.71,22.98,2.4,0.1291,6.65,47.12,89.9,0.4417,0.1663,25.94,In From LF,70,Wrigley Field,
249,670764,Taylor Walls,TB,HOU,2026-07-05T19:30:00Z,Scheduled,7,Peter Lambert,663567,R,31.1,Longshot,Watch List,"Projected Lineup, Platoon Edge",6.1,35.3,27.6,59.8,75.0,27.7,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,23,0,"Last 7 games: 7/23, 0 HR","switch hitter; pitcher baseline 6.8% barrel, 10.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,3.27,23.39,85.67,95.2832,0.2831,0.0822,0.2659,68.38,2.48,35.81,30.45,1.2,0.0808,6.8,39.3,89.0,0.363,0.153,34.5,,,Daikin Park,
250,686217,Sal Frelick,MIL,AZ,2026-07-05T20:00:00Z,Scheduled,7,Eduardo Rodriguez,593958,L,30.9,Longshot,Watch List,Projected Lineup,6.0,43.1,28.2,59.8,50.0,29.7,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,22,0,"Last 7 games: 7/22, 0 HR","same-side matchup; pitcher baseline 8.4% barrel, 13.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,2.47,27.89,85.71,96.5379,0.3376,0.0826,0.2969,68.34,3.72,39.81,19.5,5.7,0.0967,8.41,36.74,88.55,0.4436,0.1811,26.42,,,Chase Field,
