rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
128,691723,Coby Mayo,BAL,BOS,2026-09-05T23:05:00Z,Scheduled,8,Sonny Gray,543243,R,43.7,Longshot,Watch List,"Projected Lineup, Strong Barrel",48.9,37.2,32.1,47.9,50.0,52.5,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,23,1,Contact streak: 8/23 over last 7 games,"same-side matchup; pitcher baseline 7.6% barrel, 18.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.71,44.12,90.1,102.4916,0.419,0.1985,0.3087,75.4,55.09,48.78,33.83,16.6,0.206,7.56,38.95,89.11,0.388,0.1383,22.78,,,Oriole Park at Camden Yards,
129,672640,Otto Lopez,MIA,CHC,2026-09-05T20:10:00Z,Pre-Game,4,Javier Assad,665871,R,43.6,Longshot,Watch List,Premium Lineup Spot,29.9,39.2,35.0,94.9,50.0,26.2,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,29,1,"Last 7 games: 5/29, 1 HR","same-side matchup; pitcher baseline 6.0% barrel, 11.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.47,40.12,88.85,100.1268,0.4235,0.1468,0.3244,71.77,22.6,33.21,22.36,11.5,0.1332,6.02,43.97,89.62,0.4253,0.1565,26.5,None,72,loanDepot park,
130,669394,Jake Burger,TEX,TB,2026-09-05T23:05:00Z,Scheduled,6,Drew Rasmussen,656876,R,43.4,Longshot,Watch List,"Projected Lineup, Strong Barrel",50.7,29.0,27.6,71.7,50.0,19.5,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,24,0,"Last 7 games: 6/24, 0 HR","same-side matchup; pitcher baseline 6.0% barrel, 14.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,12.29,47.45,90.26,102.8041,0.4346,0.1984,0.3149,75.37,58.28,41.25,28.18,20.9,0.1844,6.02,37.14,88.99,0.3568,0.125,23.03,,,Globe Life Field,
131,665161,Jeremy Pena,HOU,AZ,2026-09-05T23:15:00Z,Scheduled,1,Brandon Pfaadt,694297,R,43.4,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",31.8,42.5,27.6,88.7,50.0,32.5,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,28,1,"Last 7 games: 6/28, 1 HR","same-side matchup; pitcher baseline 8.7% barrel, 16.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.01,40.59,88.62,99.9013,0.4264,0.1529,0.3312,72.23,14.69,46.55,24.29,17.0,0.1849,8.66,37.33,88.98,0.4205,0.1666,23.76,,,Daikin Park,
132,665877,Jose Fermin,STL,COL,2026-09-06T00:10:00Z,Scheduled,1,Mason Adams,690279,R,43.4,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",9.8,69.3,38.7,88.7,50.0,16.6,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,26,0,"Last 7 games: 6/26, 0 HR","same-side matchup; pitcher baseline 13.0% barrel, 2.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,1.68,31.01,86.33,96.5237,0.346,0.0906,0.3033,68.07,3.09,48.53,25.15,4.5,0.1172,13.0,47.8,91.3,0.462,0.232,39.1,,,Coors Field,
133,664983,Jake McCarthy,COL,STL,2026-09-06T00:10:00Z,Scheduled,1,Matthew Liberatore,669461,L,43.4,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",15.5,55.9,38.7,88.7,50.0,41.7,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,29,1,"Last 7 games: 8/29, 1 HR","same-side matchup; pitcher baseline 9.9% barrel, 23.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.23,27.74,85.12,96.7882,0.3943,0.1322,0.3077,70.89,12.84,37.73,21.66,11.0,0.1739,9.9,42.22,90.39,0.4566,0.1899,29.29,,,Coors Field,
134,608070,Jose Ramirez,CLE,DET,2026-09-05T22:10:00Z,Scheduled,3,Framber Valdez,664285,L,43.2,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",27.8,35.4,27.6,92.1,75.0,34.9,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,26,1,"Last 7 games: 6/26, 1 HR","switch hitter; pitcher baseline 6.3% barrel, 15.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.11,39.24,89.04,99.3819,0.4194,0.1424,0.3385,70.27,12.98,50.97,28.92,16.7,0.1661,6.28,44.34,90.52,0.3903,0.1325,18.39,,,Progressive Field,
135,543760,Marcus Semien,NYM,SF,2026-09-05T20:10:00Z,Pre-Game,6,Anthony Molina,683627,R,43.1,Longshot,Watch List,No major boost,22.9,47.0,52.3,76.2,50.0,24.9,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,21,0,"Last 7 games: 6/21, 0 HR","same-side matchup; pitcher baseline 8.0% barrel, 5.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,6.24,33.6,86.97,97.372,0.3866,0.1411,0.3089,68.5,3.27,47.19,31.65,14.3,0.1305,8.02,39.51,87.49,0.4975,0.2112,35.39,L To R,80,Citi Field,
136,668939,Adley Rutschman,BOS,BAL,2026-09-05T23:05:00Z,Scheduled,5,Chris Bassitt,605135,R,43.1,Longshot,Watch List,"Projected Lineup, Platoon Edge",32.6,29.0,32.1,81.9,75.0,47.5,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,26,2,Hot streak: 2 HR in last 7 games,"switch hitter; pitcher baseline 6.2% barrel, 12.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.22,39.72,88.91,99.3072,0.4191,0.1634,0.3341,70.42,11.86,38.82,29.22,10.4,0.1691,6.19,36.25,87.7,0.414,0.1378,23.14,,,Oriole Park at Camden Yards,
137,666126,Carlos Cortes,ATH,SEA,2026-09-06T01:40:00Z,Scheduled,5,George Kirby,669923,R,43.0,Longshot,Watch List,"Projected Lineup, Platoon Edge",29.1,40.7,25.4,81.9,80.0,22.9,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,22,0,"Last 7 games: 6/22, 0 HR","platoon edge; pitcher baseline 7.3% barrel, 17.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.1,39.31,89.1,99.5357,0.394,0.1427,0.3084,70.76,14.48,30.69,22.52,6.8,0.1668,7.34,41.73,89.83,0.4004,0.1444,24.66,,,T-Mobile Park,
138,693304,Nick Gonzales,PIT,LAA,2026-09-05T22:40:00Z,Scheduled,1,Yusei Kikuchi,579328,L,42.9,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",15.9,54.4,24.3,88.7,78.0,30.0,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,25,0,Contact streak: 8/25 over last 7 games,"platoon edge; pitcher baseline 9.8% barrel, 12.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.45,35.51,86.91,98.1385,0.3813,0.1063,0.3169,70.64,12.52,37.01,21.05,5.7,0.0908,9.75,44.72,91.14,0.4532,0.1906,24.31,,,PNC Park,
139,691788,Joe Mack,MIA,CHC,2026-09-05T20:10:00Z,Pre-Game,7,Javier Assad,665871,R,42.7,Longshot,Watch List,Platoon Edge,33.2,39.2,35.0,64.3,80.0,17.3,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,17,0,"Last 7 games: 4/17, 0 HR","platoon edge; pitcher baseline 6.0% barrel, 11.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.5,38.1,88.1,99.4597,0.385,0.165,0.288,74.3,43.1,48.7,24.3,12.0,0.172,6.02,43.97,89.62,0.4253,0.1565,26.5,None,72,loanDepot park,
140,693307,Dillon Dingler,DET,CLE,2026-09-05T22:10:00Z,Scheduled,4,Parker Messick,800048,L,42.7,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",42.9,18.3,27.6,90.4,78.0,6.0,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,25,0,"Last 7 games: 4/25, 0 HR","platoon edge; pitcher baseline 5.0% barrel, 11.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.9,43.6,88.95,100.6377,0.4692,0.1983,0.3469,71.77,15.62,40.73,28.64,22.1,0.196,4.96,31.55,87.54,0.3379,0.1142,21.12,,,Progressive Field,
141,695731,Braden Montgomery,CWS,MIN,2026-09-05T23:10:00Z,Scheduled,5,Taj Bradley,671737,R,42.7,Longshot,Watch List,"Projected Lineup, Platoon Edge",24.8,45.8,27.6,81.9,75.0,24.3,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,25,1,"Last 7 games: 4/25, 1 HR","switch hitter; pitcher baseline 8.8% barrel, 20.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.4,41.2,88.9,100.114,0.401,0.142,0.332,69.8,8.4,38.7,19.6,6.0,0.138,8.8,43.33,90.32,0.3864,0.1578,29.19,,,Rate Field,
142,572233,Christian Walker,HOU,AZ,2026-09-05T23:15:00Z,Scheduled,6,Brandon Pfaadt,694297,R,42.7,Longshot,Watch List,"Projected Lineup, Strong Barrel",40.8,42.5,27.6,71.7,50.0,8.1,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,23,0,"Last 7 games: 4/23, 0 HR","same-side matchup; pitcher baseline 8.7% barrel, 16.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.03,42.46,89.71,101.5042,0.3986,0.1708,0.3049,74.31,43.69,42.06,27.72,24.9,0.1921,8.66,37.33,88.98,0.4205,0.1666,23.76,,,Daikin Park,
143,681297,Colton Cowser,BAL,BOS,2026-09-05T23:05:00Z,Scheduled,9,Sonny Gray,543243,R,42.6,Longshot,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge",45.7,37.2,32.1,40.2,80.0,18.3,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,22,1,"Last 7 games: 2/22, 1 HR","platoon edge; pitcher baseline 7.6% barrel, 18.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.65,42.29,88.87,100.9708,0.4145,0.1995,0.3119,74.37,44.08,38.45,32.85,13.9,0.1624,7.56,38.95,89.11,0.388,0.1383,22.78,,,Oriole Park at Camden Yards,
144,621493,Taylor Ward,SEA,ATH,2026-09-06T01:40:00Z,Scheduled,6,Jeffrey Springs,605488,L,42.6,Longshot,Watch List,"Projected Lineup, Platoon Edge",31.1,47.7,25.4,71.7,78.0,0.0,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,21,0,"Last 7 games: 2/21, 0 HR","platoon edge; pitcher baseline 9.2% barrel, 31.5 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,7.82,39.55,89.19,99.3976,0.3884,0.1504,0.333,68.8,4.02,33.87,29.8,15.7,0.1364,9.15,35.69,87.81,0.4471,0.1946,32.51,,,T-Mobile Park,
145,679529,Spencer Torkelson,DET,CLE,2026-09-05T22:10:00Z,Scheduled,7,Parker Messick,800048,L,42.5,Longshot,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge",48.1,18.3,27.6,59.8,78.0,54.4,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,21,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 5.0% barrel, 11.0 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,12.8,42.44,89.64,100.1912,0.4161,0.1978,0.3186,73.07,26.16,47.77,35.55,24.7,0.1992,4.96,31.55,87.54,0.3379,0.1142,21.12,,,Progressive Field,
146,686797,Brooks Lee,MIN,CWS,2026-09-05T23:10:00Z,Scheduled,2,Anthony Kay,641743,L,42.4,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",20.9,38.8,27.6,95.5,75.0,39.0,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,31,1,"Last 7 games: 8/31, 1 HR","switch hitter; pitcher baseline 8.5% barrel, 19.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.54,35.14,88.32,97.6907,0.353,0.1246,0.2785,69.92,8.7,41.64,29.35,20.2,0.169,8.5,39.1,88.3,0.413,0.154,22.2,,,Rate Field,
147,701678,Hao-Yu Lee,DET,CLE,2026-09-05T22:10:00Z,Scheduled,3,Parker Messick,800048,L,42.3,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",36.1,18.3,27.6,92.1,78.0,37.8,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,24,1,"Last 7 games: 6/24, 1 HR","platoon edge; pitcher baseline 5.0% barrel, 11.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.6,41.1,89.8,100.367,0.404,0.166,0.301,71.6,22.3,27.9,25.9,8.0,0.151,4.96,31.55,87.54,0.3379,0.1142,21.12,,,Progressive Field,
148,694208,Moises Ballesteros,LAA,PIT,2026-09-05T22:40:00Z,Scheduled,5,Braxton Ashcraft,677952,R,42.3,Longshot,Watch List,"Projected Lineup, Platoon Edge",32.7,31.7,24.3,81.9,80.0,31.6,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,24,1,"Last 7 games: 5/24, 1 HR","platoon edge; pitcher baseline 5.8% barrel, 15.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.17,42.12,90.01,100.7114,0.3755,0.1387,0.3032,72.43,30.77,33.94,20.58,5.5,0.1347,5.75,40.74,89.19,0.3629,0.1297,24.34,,,PNC Park,
149,805300,Jakob Marsee,MIA,CHC,2026-09-05T20:10:00Z,Pre-Game,5,Javier Assad,665871,R,42.2,Longshot,Watch List,Platoon Edge,20.6,39.2,35.0,86.4,80.0,28.9,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,21,1,"Last 7 games: 4/21, 1 HR","platoon edge; pitcher baseline 6.0% barrel, 11.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.16,36.71,87.78,98.6038,0.3545,0.1183,0.3169,70.43,5.86,42.42,23.89,7.8,0.1398,6.02,43.97,89.62,0.4253,0.1565,26.5,None,72,loanDepot park,
150,681807,David Fry,CLE,DET,2026-09-05T22:10:00Z,Scheduled,2,Framber Valdez,664285,L,42.2,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",19.8,37.0,27.6,95.5,78.0,45.0,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,7,0,Contact streak: 3/7 over last 7 games,"platoon edge; pitcher baseline 6.3% barrel, 15.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.07,35.04,86.46,97.8171,0.2595,0.1003,0.2433,70.89,11.54,54.69,30.92,6.6,0.1654,6.28,44.34,90.52,0.3903,0.1325,18.39,,,Progressive Field,
151,605141,Mookie Betts,LAD,WSH,2026-09-06T01:10:00Z,Scheduled,3,Cade Cavalli,676917,R,42.2,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",31.2,33.5,27.6,92.1,50.0,46.9,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,29,1,"Last 7 games: 9/29, 1 HR","same-side matchup; pitcher baseline 6.6% barrel, 14.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.55,37.27,89.8,98.3934,0.4227,0.1504,0.3293,69.46,8.46,39.61,33.94,17.9,0.1655,6.6,41.45,88.75,0.3783,0.1347,21.89,,,UNIQLO Field at Dodger Stadium,
152,678545,Osleivis Basabe,SF,NYM,2026-09-05T20:10:00Z,Pre-Game,8,Zac Thornton,804267,L,42.1,Longshot,Watch List,"Projected Lineup, Platoon Edge",27.6,42.0,52.3,47.9,78.0,26.8,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,17,1,"Last 7 games: 3/17, 1 HR","platoon edge; pitcher baseline 8.2% barrel, 7.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.4,35.4,87.7,98.3618,0.366,0.129,0.286,73.3,31.1,40.2,31.7,4.0,0.143,8.2,38.6,88.7,0.444,0.175,27.7,L To R,80,Citi Field,
153,663993,Nathaniel Lowe,CLE,DET,2026-09-05T22:10:00Z,Scheduled,5,Framber Valdez,664285,L,42.1,Longshot,Watch List,Projected Lineup,35.8,37.0,27.6,81.9,50.0,26.4,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,23,1,"Last 7 games: 4/23, 1 HR","same-side matchup; pitcher baseline 6.3% barrel, 15.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.05,41.22,89.14,100.7865,0.4171,0.1604,0.3254,73.93,38.59,34.4,25.78,15.9,0.1838,6.28,44.34,90.52,0.3903,0.1325,18.39,,,Progressive Field,
154,803011,Sam Antonacci,CWS,MIN,2026-09-05T23:10:00Z,Scheduled,1,Taj Bradley,671737,R,42.0,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",18.6,47.9,27.6,88.7,80.0,13.3,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,24,0,"Last 7 games: 5/24, 0 HR","platoon edge; pitcher baseline 8.8% barrel, 20.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.3,32.5,87.3,97.4904,0.387,0.117,0.34,69.9,8.0,32.7,21.9,8.0,0.121,8.8,43.33,90.32,0.3864,0.1578,29.19,,,Rate Field,
155,686681,Michael Massey,KC,TOR,2026-09-05T23:10:00Z,Scheduled,7,Max Scherzer,453286,R,41.9,Longshot,Watch List,"Projected Lineup, Platoon Edge",28.5,47.6,23.2,59.8,80.0,40.7,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,23,0,Contact streak: 9/23 over last 7 games,"platoon edge; pitcher baseline 10.1% barrel, 14.1 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,5.47,38.39,89.11,98.786,0.3908,0.1437,0.2937,71.5,12.54,49.36,31.29,8.6,0.1369,10.09,35.47,88.02,0.4249,0.189,33.53,,,Kauffman Stadium,
156,678662,Ezequiel Tovar,COL,STL,2026-09-06T00:10:00Z,Scheduled,9,Matthew Liberatore,669461,L,41.9,Longshot,Watch List,"Projected Lineup, Platoon Edge",29.2,55.9,38.7,40.2,78.0,8.5,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,17,0,"Last 7 games: 3/17, 0 HR","platoon edge; pitcher baseline 9.9% barrel, 23.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.34,35.4,88.07,99.0274,0.3864,0.1527,0.2896,71.95,20.89,37.4,30.13,9.7,0.1302,9.9,42.22,90.39,0.4566,0.1899,29.29,,,Coors Field,
157,643446,Jeff McNeil,ATH,SEA,2026-09-06T01:40:00Z,Scheduled,2,George Kirby,669923,R,41.9,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",12.5,40.7,25.4,95.5,80.0,71.9,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,11,31,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 7.3% barrel, 17.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,2.86,30.8,86.71,96.5729,0.3775,0.1034,0.3139,69.37,5.72,43.84,23.89,9.2,0.126,7.34,41.73,89.83,0.4004,0.1444,24.66,,,T-Mobile Park,
158,800325,Luis Lara,MIL,CIN,2026-09-05T22:40:00Z,Scheduled,6,Andrew Abbott,671096,L,41.6,Longshot,Watch List,"Projected Lineup, Platoon Edge",23.2,41.3,39.3,71.7,75.0,26.1,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,17,0,"Last 7 games: 5/17, 0 HR","switch hitter; pitcher baseline 8.1% barrel, 20.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.7,44.3,89.6,99.2524,0.36,0.088,0.317,71.5,18.1,30.2,15.1,1.0,0.102,8.14,36.99,89.13,0.4214,0.166,28.49,,,Great American Ball Park,
159,666211,Taylor Trammell,HOU,AZ,2026-09-05T23:15:00Z,Scheduled,8,Brandon Pfaadt,694297,R,41.3,Longshot,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge",38.0,42.5,27.6,47.9,80.0,10.1,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,16,0,"Last 7 games: 3/16, 0 HR","platoon edge; pitcher baseline 8.7% barrel, 16.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.74,37.71,88.9,100.6308,0.3532,0.1634,0.2822,75.86,59.55,44.93,28.62,5.8,0.1486,8.66,37.33,88.98,0.4205,0.1666,23.76,,,Daikin Park,
160,686611,Dylan Crews,WSH,LAD,2026-09-06T01:10:00Z,Scheduled,5,Tyler Glasnow,607192,R,41.2,Longshot,Watch List,Projected Lineup,39.4,31.0,27.6,81.9,50.0,13.0,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,29,0,"Last 7 games: 6/29, 0 HR","same-side matchup; pitcher baseline 7.9% barrel, 6.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.31,41.85,90.12,101.0112,0.4014,0.1671,0.3084,73.9,38.07,34.08,27.07,10.0,0.1419,7.86,37.75,89.39,0.3135,0.1245,25.42,,,UNIQLO Field at Dodger Stadium,
161,606192,Teoscar Hernandez,LAD,WSH,2026-09-06T01:10:00Z,Scheduled,8,Cade Cavalli,676917,R,41.2,Longshot,Watch List,"Projected Lineup, Strong Barrel",44.7,33.5,27.6,47.9,50.0,61.4,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,11,27,1,Contact streak: 11/27 over last 7 games,"same-side matchup; pitcher baseline 6.6% barrel, 14.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.73,45.47,90.2,101.5455,0.4329,0.1815,0.324,72.55,25.76,34.92,28.96,15.9,0.1657,6.6,41.45,88.75,0.3783,0.1347,21.89,,,UNIQLO Field at Dodger Stadium,
162,694197,Angel Genao,CLE,DET,2026-09-05T22:10:00Z,Scheduled,6,Framber Valdez,664285,L,41.1,Longshot,Watch List,"Projected Lineup, Platoon Edge",31.7,35.4,27.6,71.7,75.0,25.3,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,24,1,"Last 7 games: 4/24, 1 HR","switch hitter; pitcher baseline 6.3% barrel, 15.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.1,52.6,91.2,100.6211,0.362,0.111,0.3,72.5,27.0,37.2,15.4,2.0,0.11,6.28,44.34,90.52,0.3903,0.1325,18.39,,,Progressive Field,
