rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
84,683002,Gunnar Henderson,BAL,BOS,2026-09-05T23:05:00Z,Scheduled,3,Sonny Gray,543243,R,48.8,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",36.8,37.2,32.1,92.1,80.0,57.6,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,27,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 7.6% barrel, 18.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.48,45.07,90.28,101.2438,0.4033,0.1504,0.3235,74.67,46.82,40.66,23.03,20.5,0.1738,7.56,38.95,89.11,0.388,0.1383,22.78,,,Oriole Park at Camden Yards,
85,664034,Ty France,SD,NYY,2026-09-05T23:15:00Z,Scheduled,4,Carlos Rodón,607074,L,48.6,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",42.1,32.8,22.6,90.4,78.0,76.4,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,26,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 7.0% barrel, 10.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.96,47.07,91.25,101.0628,0.4264,0.1716,0.3308,71.77,20.02,35.66,25.39,16.1,0.1877,6.97,37.64,89.44,0.3517,0.1317,27.74,,,Petco Park,
86,687952,Christian Encarnacion-Strand,BAL,BOS,2026-09-05T23:05:00Z,Scheduled,6,Sonny Gray,543243,R,48.5,Longshot,Watch List,"Projected Lineup, Strong Barrel",55.5,37.2,32.1,71.7,50.0,37.8,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,20,1,"Last 7 games: 5/20, 1 HR","same-side matchup; pitcher baseline 7.6% barrel, 18.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,14.04,41.48,90.56,101.6193,0.4883,0.2423,0.3266,73.74,37.67,45.95,30.91,7.4,0.2124,7.56,38.95,89.11,0.388,0.1383,22.78,,,Oriole Park at Camden Yards,
87,592518,Manny Machado,SD,NYY,2026-09-05T23:15:00Z,Scheduled,3,Carlos Rodón,607074,L,48.5,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",47.6,32.8,22.6,92.1,78.0,32.0,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,27,0,Contact streak: 9/27 over last 7 games,"platoon edge; pitcher baseline 7.0% barrel, 10.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.31,46.53,91.15,101.8902,0.4446,0.189,0.3386,74.64,44.23,39.24,27.66,24.9,0.1829,6.97,37.64,89.44,0.3517,0.1317,27.74,,,Petco Park,
88,668904,Royce Lewis,MIN,CWS,2026-09-05T23:10:00Z,Scheduled,5,Anthony Kay,641743,L,48.4,Longshot,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge",41.9,40.8,27.6,81.9,78.0,43.2,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,28,1,"Last 7 games: 8/28, 1 HR","platoon edge; pitcher baseline 8.5% barrel, 19.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.66,40.79,89.8,100.7003,0.4098,0.167,0.311,74.72,50.31,46.51,30.43,13.7,0.1636,8.5,39.1,88.3,0.413,0.154,22.2,,,Rate Field,
89,680869,Zack Gelof,ATH,SEA,2026-09-06T01:40:00Z,Scheduled,3,George Kirby,669923,R,48.4,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Hot Hitter/Streak",40.7,40.7,25.4,92.1,50.0,79.9,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,28,3,Hot streak: 3 HR in last 7 games,"same-side matchup; pitcher baseline 7.3% barrel, 17.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.4,44.4,88.87,99.8012,0.3816,0.1774,0.2848,73.22,27.43,39.25,28.85,12.5,0.1806,7.34,41.73,89.83,0.4004,0.1444,24.66,,,T-Mobile Park,
90,592626,Joc Pederson,TEX,TB,2026-09-05T23:05:00Z,Scheduled,1,Drew Rasmussen,656876,R,48.3,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",49.0,29.0,27.6,88.7,80.0,28.5,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,16,1,"Last 7 games: 3/16, 1 HR","platoon edge; pitcher baseline 6.0% barrel, 14.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.55,49.14,91.9,101.9981,0.4259,0.1908,0.3325,72.53,25.34,42.83,30.66,19.5,0.2142,6.02,37.14,88.99,0.3568,0.125,23.03,,,Globe Life Field,
91,608324,Alex Bregman,CHC,MIA,2026-09-05T20:10:00Z,Pre-Game,4,Ryan Gusto,687473,R,48.1,Longshot,Watch List,"Premium Lineup Spot, Hot Hitter/Streak",28.1,45.0,35.0,94.9,50.0,100.0,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,13,30,5,Hot streak: 5 HR in last 7 games,"same-side matchup; pitcher baseline 8.3% barrel, 10.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.04,39.78,88.77,98.3947,0.3941,0.1446,0.3237,70.16,5.01,47.28,27.3,22.2,0.1855,8.31,44.02,89.83,0.4246,0.162,25.21,None,72,loanDepot park,
92,683146,Brett Baty,NYM,SF,2026-09-05T20:10:00Z,Pre-Game,9,Anthony Molina,683627,R,48.0,Longshot,Watch List,"Strong Barrel, Platoon Edge",42.6,47.0,52.3,44.8,80.0,26.1,Yes,Yes,9,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,17,0,"Last 7 games: 5/17, 0 HR","platoon edge; pitcher baseline 8.0% barrel, 5.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,10.59,43.33,90.21,101.7124,0.4052,0.1672,0.3137,75.08,53.86,36.1,25.68,11.0,0.1362,8.02,39.51,87.49,0.4975,0.2112,35.39,L To R,80,Citi Field,
93,624424,Michael Conforto,CHC,MIA,2026-09-05T20:10:00Z,Pre-Game,8,Ryan Gusto,687473,R,47.8,Longshot,Watch List,"Strong Barrel, Platoon Edge",45.9,45.0,35.0,52.4,80.0,41.2,Yes,Yes,8,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,11,1,"Last 7 games: 3/11, 1 HR","platoon edge; pitcher baseline 8.3% barrel, 10.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.82,43.09,90.39,100.8195,0.4233,0.1917,0.3286,72.85,33.72,43.6,34.69,12.7,0.2068,8.31,44.02,89.83,0.4246,0.162,25.21,None,72,loanDepot park,
