rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
244,677587,Brayan Rocchio,CLE,DET,2026-08-12T22:40:00Z,Scheduled,9,Framber Valdez,664285,L,29.6,Longshot,Watch List,"Projected Lineup, Platoon Edge",14.0,33.9,27.6,40.2,75.0,6.0,No,Yes,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,25,0,"Last 7 games: 4/25, 0 HR","switch hitter; pitcher baseline 6.3% barrel, 12.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.44,31.93,86.88,97.1883,0.3531,0.1074,0.2964,70.0,7.22,43.5,24.95,7.8,0.1154,6.28,43.99,90.1,0.3833,0.1325,19.23,,,Comerica Park,
245,665877,Jose Fermin,STL,PHI,2026-08-12T18:15:00Z,Scheduled,5,Zack Wheeler,554430,R,29.5,Longshot,Watch List,Projected Lineup,11.4,23.9,22.1,81.9,50.0,15.3,No,Yes,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,18,0,"Last 7 games: 4/18, 0 HR","same-side matchup; pitcher baseline 6.4% barrel, 15.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,1.47,31.78,86.96,96.8119,0.3544,0.0948,0.311,68.07,3.02,48.53,24.8,3.8,0.1235,6.36,34.66,86.91,0.3151,0.1156,25.95,,,Busch Stadium,
246,676391,Ernie Clement,TOR,BOS,2026-08-12T23:07:00Z,Scheduled,6,Ranger Suarez,624133,L,29.5,Longshot,Watch List,"Projected Lineup, Platoon Edge",6.0,18.0,30.4,71.7,78.0,32.5,No,Yes,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,28,1,"Last 7 games: 6/28, 1 HR","platoon edge; pitcher baseline 5.1% barrel, 8.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,2.47,22.57,85.34,94.8425,0.3408,0.0888,0.2736,67.46,2.61,42.55,28.46,9.0,0.1245,5.08,33.06,86.64,0.3496,0.1089,22.56,,,Rogers Centre,
247,670032,Nicky Lopez,TEX,LAA,2026-08-13T02:10:00Z,Scheduled,9,George Klassen,691946,R,29.5,Longshot,Watch List,"Projected Lineup, Platoon Edge",2.2,45.7,28.2,40.2,80.0,15.3,No,Yes,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,18,0,"Last 7 games: 4/18, 0 HR","platoon edge; pitcher baseline 13.8% barrel, 1.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,0.0,27.54,84.59,95.2567,0.2641,0.0405,0.254,66.58,0.75,33.45,11.23,0.7,0.0308,13.8,31.0,86.5,0.441,0.168,24.1,,,Angel Stadium,
248,656716,Zach McKinstry,DET,CLE,2026-08-12T22:40:00Z,Scheduled,9,Foster Griffin,656492,L,29.0,Longshot,Watch List,Projected Lineup,7.8,42.9,27.6,40.2,50.0,37.3,No,Yes,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,19,0,Contact streak: 7/19 over last 7 games,"same-side matchup; pitcher baseline 9.2% barrel, 21.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.58,25.53,85.63,95.8671,0.3363,0.0935,0.2959,68.13,4.28,40.19,26.95,6.4,0.13,9.2,37.6,87.9,0.411,0.161,25.8,,,Comerica Park,
249,703520,Brett Bateman,TOR,BOS,2026-08-12T23:07:00Z,Scheduled,2,Ranger Suarez,624133,L,28.6,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",2.2,18.0,30.4,95.5,50.0,22.9,No,Yes,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,5,6,22,0,"Last 5 games: 6/22, 0 HR","same-side matchup; pitcher baseline 5.1% barrel, 8.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,0.0,23.1,84.1,95.1639,0.307,0.087,0.275,68.4,0.0,7.7,15.4,0.0,0.056,5.08,33.06,86.64,0.3496,0.1089,22.56,,,Rogers Centre,
250,623168,Tyler Heineman,LAA,TEX,2026-08-13T02:10:00Z,Scheduled,9,Cal Quantrill,615698,R,28.3,Longshot,Watch List,"Projected Lineup, Platoon Edge",0.4,47.1,28.2,40.2,75.0,5.1,No,Yes,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,13,0,"Last 7 games: 2/13, 0 HR","switch hitter; pitcher baseline 9.5% barrel, 12.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,1.59,15.19,82.09,92.516,0.279,0.0566,0.2555,65.75,0.21,44.97,22.1,1.6,0.078,9.49,37.16,88.86,0.4547,0.1926,29.78,,,Angel Stadium,
251,683083,Nasim Nunez,WSH,CHC,2026-08-12T22:45:00Z,Scheduled,8,David Peterson,656849,L,28.1,Longshot,Watch List,"Projected Lineup, Platoon Edge",4.9,36.2,28.2,47.9,75.0,1.6,No,Yes,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,23,0,"Last 7 games: 3/23, 0 HR","switch hitter; pitcher baseline 6.7% barrel, 11.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,1.69,27.57,85.8,95.9407,0.2991,0.072,0.2785,68.67,4.91,31.85,18.4,1.9,0.0783,6.68,42.85,89.76,0.4182,0.1454,19.71,,,Nationals Park,
252,701852,Drew Cavanaugh,SF,HOU,2026-08-12T19:45:00Z,Scheduled,8,,,,27.6,Longshot,Watch List,Projected Lineup,6.3,41.2,19.3,47.9,60.0,12.0,No,Yes,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,20,0,"Last 7 games: 4/20, 0 HR","handedness incomplete; pitcher baseline 0.0% barrel, 0.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.7,22.2,84.9,97.3176,0.306,0.088,0.3,69.4,4.5,20.0,17.8,0.0,0.016,,,,,,,,,Oracle Park,
253,686765,Nick Sogard,BOS,TOR,2026-08-12T23:07:00Z,Scheduled,9,José Soriano,667755,R,27.6,Longshot,Watch List,"Projected Lineup, Platoon Edge",3.7,35.1,30.4,40.2,75.0,20.9,No,Yes,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,27,0,"Last 7 games: 7/27, 0 HR","switch hitter; pitcher baseline 7.6% barrel, 12.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,2.8,25.74,84.39,95.2747,0.3288,0.0778,0.309,68.92,4.24,45.03,21.92,0.0,0.0875,7.62,41.27,89.65,0.3782,0.1362,18.82,,,Rogers Centre,
254,686780,Pedro Pages,STL,PHI,2026-08-12T18:15:00Z,Scheduled,9,Zack Wheeler,554430,R,27.5,Longshot,Watch List,Projected Lineup,22.9,23.9,22.1,40.2,50.0,15.3,No,Yes,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,9,0,"Last 7 games: 2/9, 0 HR","same-side matchup; pitcher baseline 6.4% barrel, 15.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.86,37.76,87.02,99.3442,0.3379,0.1257,0.2639,72.53,23.1,36.97,26.43,6.1,0.1218,6.36,34.66,86.91,0.3151,0.1156,25.95,,,Busch Stadium,
255,665926,Andres Gimenez,TOR,BOS,2026-08-12T23:07:00Z,Scheduled,7,Ranger Suarez,624133,L,26.6,Longshot,Watch List,Projected Lineup,7.1,18.0,30.4,59.8,50.0,50.3,No,Yes,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,27,1,Contact streak: 9/27 over last 7 games,"same-side matchup; pitcher baseline 5.1% barrel, 8.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.35,24.83,85.95,95.8862,0.3337,0.0964,0.2793,68.46,5.21,38.52,22.95,7.7,0.117,5.08,33.06,86.64,0.3496,0.1089,22.56,,,Rogers Centre,
256,664702,Myles Straw,TOR,BOS,2026-08-12T23:07:00Z,Scheduled,8,Ranger Suarez,624133,L,26.2,Longshot,Watch List,"Projected Lineup, Platoon Edge",9.9,18.0,30.4,47.9,78.0,6.0,No,Yes,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,25,0,"Last 7 games: 4/25, 0 HR","platoon edge; pitcher baseline 5.1% barrel, 8.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.55,25.84,86.08,95.8165,0.358,0.1025,0.2936,68.26,5.8,36.01,27.53,3.3,0.1071,5.08,33.06,86.64,0.3496,0.1089,22.56,,,Rogers Centre,
257,695720,Tommy White,ATH,TB,2026-08-12T19:05:00Z,Scheduled,9,Drew Rasmussen,656876,R,26.0,Longshot,Watch List,Projected Lineup,11.8,29.4,30.9,40.2,50.0,5.1,No,Yes,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,26,0,"Last 7 games: 4/26, 0 HR","same-side matchup; pitcher baseline 6.6% barrel, 13.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.4,33.8,85.6,97.3267,0.355,0.082,0.282,70.0,14.0,29.4,19.1,0.0,0.024,6.58,36.09,88.71,0.3561,0.1271,22.96,,,Sutter Health Park,
258,669743,Alex Call,LAD,KC,2026-08-13T02:10:00Z,Scheduled,8,Daniel Lynch IV,663738,L,26.0,Longshot,Watch List,"Projected Lineup, Platoon Edge",2.9,25.7,27.6,47.9,78.0,19.5,No,Yes,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,8,0,"Last 7 games: 2/8, 0 HR","platoon edge; pitcher baseline 5.9% barrel, 3.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,2.75,21.97,85.26,94.5475,0.2976,0.0791,0.2916,66.73,3.42,36.51,24.54,2.2,0.0872,5.93,36.76,87.9,0.3685,0.1305,24.51,,,UNIQLO Field at Dodger Stadium,
259,683766,Christian Koss,SF,HOU,2026-08-12T19:45:00Z,Scheduled,9,,,,25.8,Longshot,Watch List,Projected Lineup,4.6,41.2,19.3,40.2,60.0,8.1,No,Yes,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,23,0,"Last 7 games: 4/23, 0 HR","handedness incomplete; pitcher baseline 0.0% barrel, 0.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.27,26.11,84.73,96.6445,0.283,0.0711,0.2389,69.72,5.93,38.37,23.53,0.9,0.0424,,,,,,,,,Oracle Park,
260,664770,Nathan Lukes,TOR,BOS,2026-08-12T23:07:00Z,Scheduled,9,Ranger Suarez,624133,L,24.0,Longshot,Watch List,Projected Lineup,9.2,18.0,30.4,40.2,50.0,40.3,No,Yes,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,30,1,"Last 7 games: 8/30, 1 HR","same-side matchup; pitcher baseline 5.1% barrel, 8.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,2.35,30.49,86.99,96.7634,0.3451,0.0917,0.2919,67.3,4.11,34.22,20.81,7.8,0.1191,5.08,33.06,86.64,0.3496,0.1089,22.56,,,Rogers Centre,
261,666163,Ben Rortvedt,LAD,KC,2026-08-13T02:10:00Z,Scheduled,9,Daniel Lynch IV,663738,L,22.7,Longshot,Watch List,Projected Lineup,5.7,25.7,27.6,40.2,50.0,7.0,No,Yes,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,5,1,6,0,"Last 5 games: 1/6, 0 HR","same-side matchup; pitcher baseline 5.9% barrel, 3.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,0.99,5.88,85.33,92.5102,0.3811,0.0487,0.3282,69.05,1.47,47.39,6.21,0.3,0.0159,5.93,36.76,87.9,0.3685,0.1305,24.51,,,UNIQLO Field at Dodger Stadium,
