rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
198,686475,Tyler Tolbert,KC,LAD,2026-08-13T02:10:00Z,Scheduled,7,Eric Lauer,641778,L,36.8,Longshot,Watch List,"Projected Lineup, Platoon Edge",10.3,56.3,27.6,59.8,78.0,7.0,No,Yes,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,12,0,"Last 7 games: 2/12, 0 HR","platoon edge; pitcher baseline 10.4% barrel, 19.9 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,3.52,31.94,86.2,97.2008,0.3458,0.0823,0.3095,69.39,3.65,35.41,21.86,2.4,0.1357,10.41,37.42,89.06,0.4596,0.2077,36.9,,,UNIQLO Field at Dodger Stadium,
199,641680,Jonah Heim,ATH,TB,2026-08-12T19:05:00Z,Scheduled,6,Drew Rasmussen,656876,R,36.7,Longshot,Watch List,"Projected Lineup, Platoon Edge",25.5,27.9,30.9,71.7,75.0,4.2,No,Yes,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,27,0,"Last 7 games: 4/27, 0 HR","switch hitter; pitcher baseline 6.6% barrel, 13.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.22,33.52,87.75,98.0739,0.3789,0.1459,0.2928,69.84,9.38,40.63,28.04,11.0,0.1687,6.58,36.09,88.71,0.3561,0.1271,22.96,,,Sutter Health Park,
200,680779,Henry Davis,PIT,MIA,2026-08-12T22:40:00Z,Scheduled,9,Janson Junk,676083,R,36.7,Longshot,Watch List,"Projected Lineup, Strong Barrel",36.1,44.5,21.5,40.2,50.0,14.6,No,Yes,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,23,0,"Last 7 games: 5/23, 0 HR","same-side matchup; pitcher baseline 7.9% barrel, 10.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.03,38.94,89.51,100.5789,0.3575,0.1501,0.2923,74.25,43.19,50.23,26.7,7.7,0.1313,7.87,43.17,90.69,0.4257,0.1641,23.43,,,loanDepot park,
201,669134,Luis Campusano,SD,MIL,2026-08-12T20:10:00Z,Scheduled,7,Dustin May,669160,R,36.6,Longshot,Watch List,Projected Lineup,21.7,42.2,22.6,59.8,50.0,60.3,No,Yes,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,25,1,Contact streak: 10/25 over last 7 games,"same-side matchup; pitcher baseline 7.5% barrel, 11.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.74,40.29,88.15,99.068,0.3025,0.1057,0.2976,72.75,27.47,46.84,20.29,2.8,0.1274,7.52,45.34,90.25,0.3992,0.1476,24.52,,,Petco Park,
202,701785,Kaelen Culpepper,MIN,BAL,2026-08-12T17:40:00Z,Scheduled,9,Shane Baz,669358,R,36.2,Longshot,Watch List,"Projected Lineup, Strong Barrel",33.8,40.3,27.1,40.2,50.0,23.4,No,Yes,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,4,2,13,1,"Last 4 games: 2/13, 1 HR","same-side matchup; pitcher baseline 7.5% barrel, 14.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,20.0,20.0,84.1,89.4778,0.268,0.144,0.291,72.8,31.6,60.0,20.0,1.0,0.333,7.47,41.36,89.98,0.3951,0.1483,24.94,,,Target Field,
203,806068,Colt Emerson,SEA,NYY,2026-08-12T23:05:00Z,Scheduled,9,Will Warren,701542,R,36.1,Longshot,Watch List,"Projected Lineup, Platoon Edge",15.8,47.2,38.2,40.2,80.0,20.8,No,Yes,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,22,1,"Last 7 games: 3/22, 1 HR","platoon edge; pitcher baseline 8.4% barrel, 17.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.0,31.4,86.8,97.1849,0.309,0.107,0.255,72.6,26.4,40.7,22.9,8.0,0.15,8.45,43.27,90.72,0.4225,0.1603,23.47,,,Yankee Stadium,
204,693304,Nick Gonzales,PIT,MIA,2026-08-12T22:40:00Z,Scheduled,5,Janson Junk,676083,R,36.0,Longshot,Watch List,Projected Lineup,16.2,44.5,21.5,81.9,50.0,16.6,No,Yes,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,26,0,"Last 7 games: 6/26, 0 HR","same-side matchup; pitcher baseline 7.9% barrel, 10.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.31,36.14,87.05,98.2617,0.3806,0.107,0.3113,70.64,12.52,38.13,21.05,5.7,0.0957,7.87,43.17,90.69,0.4257,0.1641,23.43,,,loanDepot park,
205,800325,Luis Lara,MIL,SD,2026-08-12T20:10:00Z,Scheduled,7,Robbie Ray,592662,L,35.9,Longshot,Watch List,"Projected Lineup, Platoon Edge",17.5,45.5,22.6,59.8,75.0,13.6,No,Yes,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,19,0,"Last 7 games: 4/19, 0 HR","switch hitter; pitcher baseline 8.7% barrel, 17.8 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,3.7,38.9,89.1,98.2998,0.342,0.08,0.32,71.0,16.4,29.6,20.4,0.0,0.103,8.69,39.87,89.67,0.4046,0.1695,33.87,,,Petco Park,
206,669364,Xavier Edwards,MIA,PIT,2026-08-12T22:40:00Z,Scheduled,1,Carmen Mlodzinski,669387,R,35.9,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",9.6,40.0,21.5,88.7,75.0,14.6,No,Yes,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,23,0,"Last 7 games: 5/23, 0 HR","switch hitter; pitcher baseline 7.1% barrel, 8.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,2.83,29.05,86.94,96.6025,0.3579,0.0942,0.3118,68.02,2.54,29.43,21.63,5.1,0.0952,7.08,44.72,90.48,0.4216,0.1448,23.67,,,loanDepot park,
207,656775,Cedric Mullins,TB,ATH,2026-08-12T19:05:00Z,Scheduled,7,,,,35.8,Longshot,Watch List,Projected Lineup,19.3,41.2,30.9,59.8,60.0,21.5,No,Yes,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,19,0,"Last 7 games: 5/19, 0 HR","handedness incomplete; pitcher baseline 0.0% barrel, 0.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.52,32.68,88.24,97.8138,0.3087,0.1222,0.2617,70.89,8.66,45.32,31.59,14.2,0.1582,,,,,,,,,Sutter Health Park,
