player,team,opponent,batting_order,pitcher,pitcher_hand,hitter_hand,barrel_pct,iso,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hard_hit_pct,hr_total,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,pitcher_hr_allowed,pitcher_hr_allowed_vs_lhh,pitcher_hr_allowed_vs_rhh,ballpark,park_hr_factor,weather_temp,wind_speed,wind_direction,confirmed_lineup,public_attention,odds
Kyle Schwarber,PHI,TOR,1,Patrick Corbin,L,L,22.1,0.341,93.1,103.911020714,.530,.295,.378,77,75.5,57.1,36.4,50.7,23,7.9,44.1,89.3,.466,.178,23.2,6,6,6,Rogers Centre,105,68,12,R To L,Yes,,
Trea Turner,PHI,TOR,2,Patrick Corbin,L,R,5.4,0.118,89.3,99.112671188,.364,.123,.290,71.5,18.6,31.7,29.7,40.1,7,7.9,44.1,89.3,.466,.178,23.2,6,6,6,Rogers Centre,105,68,12,R To L,Yes,,
Bryce Harper,PHI,TOR,3,Patrick Corbin,L,L,13.9,0.243,89.8,101.764597667,.569,.278,.413,74.1,45.2,37.2,26.1,43.9,14,7.9,44.1,89.3,.466,.178,23.2,6,6,6,Rogers Centre,105,68,12,R To L,Yes,,
Brandon Marsh,PHI,TOR,4,Patrick Corbin,L,L,8,0.183,90.5,100.586627037,.469,.166,.345,71.6,16.8,35.4,25,47.6,8,7.9,44.1,89.3,.466,.178,23.2,6,6,6,Rogers Centre,105,68,12,R To L,Yes,,
Alec Bohm,PHI,TOR,5,Patrick Corbin,L,R,3.7,0.135,90.5,99.917063789,.354,.110,.295,70.8,11.8,26.7,20.9,42.4,7,7.9,44.1,89.3,.466,.178,23.2,6,6,6,Rogers Centre,105,68,12,R To L,Yes,,
J.T. Realmuto,PHI,TOR,6,Patrick Corbin,L,R,4.5,0.094,89,98.995330536,.390,.134,.327,73.4,35.6,42.3,30.6,42.3,3,7.9,44.1,89.3,.466,.178,23.2,6,6,6,Rogers Centre,105,68,12,R To L,Yes,,
Bryson Stott,PHI,TOR,7,Patrick Corbin,L,L,7.8,0.153,89.9,99.383376145,.399,.149,.306,70.1,4.8,40.1,28.7,40.7,6,7.9,44.1,89.3,.466,.178,23.2,6,6,6,Rogers Centre,105,68,12,R To L,Yes,,
Adolis García,PHI,TOR,8,Patrick Corbin,L,R,8.9,0.127,92,101.586645068,.361,.139,.295,71.7,26.3,34.2,23.3,47.3,6,7.9,44.1,89.3,.466,.178,23.2,6,6,6,Rogers Centre,105,68,12,R To L,Yes,,
Edmundo Sosa,PHI,TOR,9,Patrick Corbin,L,R,8.2,0.126,87.3,99.767765946,.457,.172,.334,72.2,23.4,39.7,15.1,39.7,3,7.9,44.1,89.3,.466,.178,23.2,6,6,6,Rogers Centre,105,68,12,R To L,Yes,,
George Springer,TOR,PHI,1,Cristopher Sánchez,L,R,8,0.144,87.8,98.802404783,.372,.148,.301,72.5,28.4,44.9,24.6,37,5,8.3,44.3,89.4,.349,.128,17.1,3,3,3,Rogers Centre,105,68,12,R To L,Yes,,
