rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
55,805300,Jakob Marsee,MIA,KC,2026-09-03T23:40:00Z,Pre-Game,6,Michael Wacha,608379,R,46.3,Longshot,Watch List,"Good Environment, Platoon Edge",20.2,38.0,73.7,76.2,80.0,31.6,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,24,1,"Last 7 games: 5/24, 1 HR","platoon edge; pitcher baseline 7.0% barrel, 19.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.95,36.71,87.78,98.5916,0.3545,0.1176,0.3169,70.43,5.93,42.07,23.82,7.8,0.1398,6.98,36.07,88.13,0.4123,0.1633,29.09,Out To LF,97,Kauffman Stadium,
56,676475,Alec Burleson,STL,LAD,2026-09-04T02:10:00Z,Scheduled,4,Tarik Skubal,669373,L,45.6,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",52.2,28.7,27.6,90.4,50.0,2.7,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,29,0,"Last 7 games: 4/29, 0 HR","same-side matchup; pitcher baseline 7.8% barrel, 13.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.41,47.76,91.77,101.9502,0.5067,0.22,0.366,73.21,34.28,43.82,27.4,20.1,0.1802,7.75,35.17,86.87,0.3405,0.1205,25.9,,,UNIQLO Field at Dodger Stadium,
57,656775,Cedric Mullins,TB,TEX,2026-09-04T00:05:00Z,Pre-Game,6,Cal Quantrill,615698,R,44.4,Longshot,Watch List,Platoon Edge,21.2,48.0,41.1,76.2,80.0,37.8,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,20,1,"Last 7 games: 5/20, 1 HR","platoon edge; pitcher baseline 9.1% barrel, 14.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.94,33.52,88.17,97.9654,0.322,0.1278,0.2701,70.96,9.43,45.6,32.15,14.9,0.1547,9.14,38.28,89.28,0.4435,0.1877,28.8,None,72,Globe Life Field,
58,680869,Zack Gelof,ATH,SEA,2026-09-04T01:40:00Z,Scheduled,2,Kade Anderson,807739,L,44.2,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",37.8,24.2,25.4,95.5,78.0,34.9,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,26,1,"Last 7 games: 6/26, 1 HR","platoon edge; pitcher baseline 7.1% barrel, 2.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,9.7,43.63,88.66,99.6481,0.3676,0.1669,0.2792,73.22,27.71,38.62,28.36,11.1,0.1673,7.1,32.1,85.8,0.27,0.126,42.9,,,T-Mobile Park,
59,681351,Logan O'Hoppe,TEX,TB,2026-09-04T00:05:00Z,Pre-Game,7,Shane McClanahan,663556,L,44.0,Longshot,Watch List,"Strong Barrel, Platoon Edge",34.2,42.8,41.1,64.3,78.0,5.1,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,13,0,"Last 7 games: 2/13, 0 HR","platoon edge; pitcher baseline 8.8% barrel, 9.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.57,38.99,88.1,99.634,0.3557,0.148,0.2744,71.97,23.63,44.59,29.49,8.5,0.1076,8.8,40.9,89.1,0.406,0.164,26.9,None,72,Globe Life Field,
60,703607,Henry Bolte,ATH,SEA,2026-09-04T01:40:00Z,Scheduled,1,Kade Anderson,807739,L,43.7,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",35.8,24.2,25.4,88.7,78.0,57.4,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,31,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 7.1% barrel, 2.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,7.3,47.6,90.8,104.3964,0.367,0.122,0.31,77.0,72.4,32.3,15.9,8.0,0.115,7.1,32.1,85.8,0.27,0.126,42.9,,,T-Mobile Park,
61,671056,Ivan Herrera,STL,LAD,2026-09-04T02:10:00Z,Scheduled,2,Tarik Skubal,669373,L,43.6,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",33.7,28.7,27.6,95.5,78.0,20.9,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,27,0,"Last 7 games: 7/27, 0 HR","platoon edge; pitcher baseline 7.8% barrel, 13.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.11,42.52,89.87,101.2763,0.407,0.1509,0.343,73.81,42.58,37.31,19.52,15.5,0.1457,7.75,35.17,86.87,0.3405,0.1205,25.9,,,UNIQLO Field at Dodger Stadium,
62,691594,Javier Sanoja,MIA,KC,2026-09-03T23:40:00Z,Pre-Game,5,Michael Wacha,608379,R,43.2,Longshot,Watch List,Good Environment,10.0,38.0,73.7,86.4,50.0,63.3,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,12,27,1,Contact streak: 12/27 over last 7 games,"same-side matchup; pitcher baseline 7.0% barrel, 19.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,2.01,31.99,87.31,97.3594,0.3413,0.0802,0.2848,68.86,6.46,37.52,18.97,6.7,0.1453,6.98,36.07,88.13,0.4123,0.1633,29.09,Out To LF,97,Kauffman Stadium,
63,669257,Will Smith,LAD,STL,2026-09-04T02:10:00Z,Scheduled,5,Quinn Mathews,687273,L,43.2,Longshot,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge",51.9,12.6,27.6,81.9,78.0,9.3,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,22,0,"Last 7 games: 4/22, 0 HR","platoon edge; pitcher baseline 1.7% barrel, 1.0 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,12.62,42.48,90.53,100.3991,0.496,0.2228,0.3822,69.91,7.15,30.18,38.45,9.3,0.1541,1.7,33.3,88.1,0.312,0.073,25.0,,,UNIQLO Field at Dodger Stadium,
64,695336,Thomas Saggese,STL,LAD,2026-09-04T02:10:00Z,Scheduled,8,Tarik Skubal,669373,L,42.9,Longshot,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge, Hot Hitter/Streak",39.8,28.7,27.6,47.9,78.0,100.0,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,17,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 7.8% barrel, 13.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.85,39.62,89.29,100.2167,0.4161,0.1817,0.3027,71.41,17.69,35.15,27.39,3.4,0.1519,7.75,35.17,86.87,0.3405,0.1205,25.9,,,UNIQLO Field at Dodger Stadium,
