rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
59,686469,Vinnie Pasquantino,KC,MIN,2026-07-28T23:40:00Z,Pre-Game,5,Taj Bradley,671737,R,54.4,Longshot,Watch List,Platoon Edge,34.7,48.9,67.6,86.4,80.0,36.0,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,25,0,Contact streak: 9/25 over last 7 games,"platoon edge; pitcher baseline 9.2% barrel, 17.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.0,41.13,89.57,99.9119,0.4112,0.1602,0.3214,70.96,14.57,43.0,27.39,13.8,0.1431,9.15,43.05,90.46,0.391,0.161,29.89,Out To CF,89,Target Field,
60,701762,Nick Kurtz,ATH,BOS,2026-07-29T01:40:00Z,Scheduled,2,Jake Bennett,687562,L,54.4,Longshot,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot",75.6,24.9,30.9,95.5,50.0,18.3,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,1,22,1,"Last 7 games: 1/22, 1 HR","same-side matchup; pitcher baseline 5.7% barrel, 4.0 HR allowed",EV profile; pitcher fly-ball pressure modest,18.43,55.93,93.26,105.6244,0.5062,0.2591,0.3755,77.9,78.3,34.25,30.77,25.5,0.2625,5.7,36.9,87.4,0.369,0.137,24.4,,,Sutter Health Park,
61,642708,Amed Rosario,NYY,CWS,2026-07-28T23:40:00Z,Pre-Game,3,Anthony Kay,641743,L,54.2,Longshot,Watch List,"Good Environment, Premium Lineup Spot, Platoon Edge",39.6,39.8,71.6,96.6,78.0,7.0,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,12,0,"Last 7 games: 2/12, 0 HR","platoon edge; pitcher baseline 8.6% barrel, 14.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.36,40.94,90.5,101.4128,0.4257,0.1685,0.3156,73.76,38.23,39.71,23.3,8.1,0.1943,8.6,39.0,88.5,0.416,0.148,22.0,Out To RF,72,Rate Field,
62,547180,Bryce Harper,PHI,MIA,2026-07-28T22:40:00Z,Pre-Game,3,Sandy Alcantara,645261,R,53.9,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",52.8,34.8,35.0,96.6,80.0,43.7,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,24,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 6.6% barrel, 18.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.74,45.61,90.46,101.9853,0.4983,0.2289,0.3785,74.27,46.61,38.61,28.01,23.5,0.2351,6.57,38.28,89.02,0.3905,0.1358,24.45,None,72,loanDepot park,
63,664023,Ian Happ,CHC,STL,2026-07-28T23:45:00Z,Pre-Game,5,Michael McGreevy,700241,R,53.9,Longshot,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge",45.0,53.4,41.6,81.9,75.0,34.9,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,26,1,"Last 7 games: 6/26, 1 HR","switch hitter; pitcher baseline 9.8% barrel, 14.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.31,42.44,89.51,100.9423,0.4178,0.2,0.3274,71.98,19.16,43.35,33.65,19.5,0.1945,9.78,41.57,90.29,0.4843,0.2026,25.64,In From LF,91,Busch Stadium,
64,545361,Mike Trout,LAA,HOU,2026-07-29T01:38:00Z,Scheduled,2,Peter Lambert,663567,R,53.9,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",66.5,34.0,28.2,95.5,50.0,34.2,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,23,0,Contact streak: 8/23 over last 7 games,"same-side matchup; pitcher baseline 6.8% barrel, 11.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,17.55,48.18,90.55,103.3126,0.5139,0.26,0.3888,74.77,49.62,39.31,32.61,20.4,0.2147,6.8,37.6,89.0,0.348,0.142,33.5,,,Angel Stadium,
65,668709,JJ Bleday,CIN,CLE,2026-07-28T23:10:00Z,Scheduled,3,Gavin Williams,668909,R,53.8,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",39.8,57.2,39.3,92.1,80.0,18.3,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,27,1,"Last 7 games: 3/27, 1 HR","platoon edge; pitcher baseline 10.8% barrel, 20.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.41,40.52,88.77,100.0422,0.4227,0.183,0.3362,73.24,28.73,45.6,32.29,16.1,0.2221,10.75,47.38,90.68,0.4162,0.181,25.09,,,Great American Ball Park,
66,683002,Gunnar Henderson,BAL,DET,2026-07-28T22:40:00Z,Pre-Game,3,Troy Melton,675512,R,53.6,Longshot,Watch List,"Good Environment, Premium Lineup Spot, Platoon Edge",36.6,33.3,73.1,96.6,80.0,36.5,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,29,1,"Last 7 games: 7/29, 1 HR","platoon edge; pitcher baseline 7.0% barrel, 7.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.48,45.56,90.21,101.2949,0.3942,0.1476,0.3137,74.67,47.1,41.57,24.08,17.7,0.1752,6.99,39.68,89.33,0.3577,0.1428,24.84,Out To RF,75,Comerica Park,
67,518692,Freddie Freeman,LAD,SEA,2026-07-29T02:10:00Z,Scheduled,3,Luis Castillo,622491,R,53.6,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",45.2,51.0,27.6,92.1,80.0,45.0,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,14,28,0,Contact streak: 14/28 over last 7 games,"platoon edge; pitcher baseline 9.7% barrel, 16.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.12,44.23,90.34,100.6782,0.4894,0.2014,0.3731,70.25,8.61,36.47,28.47,17.7,0.1951,9.7,42.69,89.88,0.4243,0.173,28.14,,,UNIQLO Field at Dodger Stadium,
68,694671,Wyatt Langford,TEX,TB,2026-07-28T22:40:00Z,Pre-Game,2,Griffin Jax,643377,R,53.3,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot",43.6,46.5,41.1,100.0,50.0,63.1,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,27,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 10.0% barrel, 11.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.43,41.05,89.93,100.8238,0.441,0.1939,0.3264,72.82,26.27,41.49,29.9,15.0,0.2208,10.03,41.16,88.92,0.422,0.1674,23.72,None,72,Tropicana Field,
