rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
104,678218,Brandon Valenzuela,TOR,WSH,2026-07-28T22:45:00Z,Pre-Game,5,Cade Cavalli,676917,R,48.4,Longshot,Watch List,Platoon Edge,33.4,28.8,68.2,86.4,75.0,27.6,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,22,1,"Last 7 games: 4/22, 1 HR","switch hitter; pitcher baseline 6.0% barrel, 8.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.7,37.8,88.5,99.2316,0.398,0.158,0.318,72.7,23.2,41.7,27.6,8.0,0.171,5.97,41.03,88.82,0.3769,0.1284,21.05,Out To RF,80,Nationals Park,
105,681297,Colton Cowser,BAL,DET,2026-07-28T22:40:00Z,Pre-Game,8,Troy Melton,675512,R,48.2,Longshot,Watch List,"Strong Barrel, Good Environment, Platoon Edge",43.5,33.3,73.1,52.4,80.0,7.0,Yes,Yes,8,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,1,6,0,"Last 7 games: 1/6, 0 HR","platoon edge; pitcher baseline 7.0% barrel, 7.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.44,39.84,88.17,100.4885,0.4089,0.2009,0.3126,74.44,44.85,38.59,33.13,10.4,0.1442,6.99,39.68,89.33,0.3577,0.1428,24.84,Out To RF,75,Comerica Park,
106,695731,Braden Montgomery,CWS,NYY,2026-07-28T23:40:00Z,Pre-Game,6,Gerrit Cole,543037,R,48.2,Longshot,Watch List,"Good Environment, Platoon Edge",20.9,49.8,71.6,76.2,75.0,24.0,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,25,0,"Last 7 games: 7/25, 0 HR","switch hitter; pitcher baseline 10.7% barrel, 11.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,3.6,40.5,89.2,100.0271,0.363,0.119,0.305,69.9,9.4,32.4,19.8,3.0,0.163,10.7,43.1,90.1,0.391,0.154,32.8,Out To RF,72,Rate Field,
107,691788,Joe Mack,MIA,PHI,2026-07-28T22:40:00Z,Pre-Game,9,Aaron Nola,605400,R,48.1,Longshot,Watch List,"Strong Barrel, Platoon Edge",42.1,51.0,35.0,44.8,80.0,65.6,Yes,Yes,9,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,21,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 10.0% barrel, 22.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.3,39.7,88.9,100.1589,0.434,0.198,0.314,74.3,43.3,47.8,27.9,10.0,0.195,10.01,41.34,88.84,0.4282,0.1808,28.02,None,72,loanDepot park,
108,662139,Daulton Varsho,TOR,WSH,2026-07-28T22:45:00Z,Pre-Game,6,Cade Cavalli,676917,R,48.1,Longshot,Watch List,Platoon Edge,34.4,29.7,68.2,76.2,80.0,29.7,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,22,0,"Last 7 games: 7/22, 0 HR","platoon edge; pitcher baseline 6.0% barrel, 8.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.25,37.85,87.31,99.3912,0.4037,0.1662,0.3046,73.71,36.18,41.5,28.89,10.9,0.1868,5.97,41.03,88.82,0.3769,0.1284,21.05,Out To RF,80,Nationals Park,
109,650859,Luis Rengifo,SD,COL,2026-07-29T01:40:00Z,Pre-Game,6,Michael Lorenzen,547179,R,48.1,Longshot,Watch List,"Projected Lineup, Platoon Edge, Hot Hitter/Streak",18.6,51.6,57.6,71.7,75.0,81.7,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,23,2,Hot streak: 2 HR in last 7 games,"switch hitter; pitcher baseline 9.1% barrel, 18.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.86,36.48,87.94,98.2854,0.3603,0.1024,0.3034,70.69,14.51,35.71,17.03,4.1,0.0816,9.08,44.45,90.28,0.4671,0.1847,25.66,Out To RF,74,Petco Park,
110,677800,Wilyer Abreu,BOS,ATH,2026-07-29T01:40:00Z,Scheduled,4,Gage Jump,695611,L,47.9,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",52.1,37.3,30.9,90.4,50.0,0.0,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,27,0,"Last 7 games: 2/27, 0 HR","same-side matchup; pitcher baseline 6.3% barrel, 7.0 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,12.37,43.08,90.1,101.2155,0.4673,0.2166,0.3392,73.89,38.45,37.2,37.52,17.1,0.1968,6.3,43.1,90.3,0.4,0.144,26.9,,,Sutter Health Park,
111,665161,Jeremy Pena,HOU,LAA,2026-07-29T01:38:00Z,Scheduled,1,Reid Detmers,672282,L,47.8,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",31.0,36.9,28.2,88.7,78.0,100.0,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,14,31,5,Hot streak: 5 HR in last 7 games,"platoon edge; pitcher baseline 7.8% barrel, 10.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.1,40.73,88.41,99.9074,0.4481,0.1543,0.3501,72.23,14.37,46.9,24.71,12.8,0.1821,7.78,39.3,89.89,0.3567,0.1341,27.64,,,Angel Stadium,
112,641343,Jake Bauers,MIL,SF,2026-07-29T01:45:00Z,Scheduled,5,Landen Roupp,694738,R,47.7,Longshot,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge",59.6,19.9,19.3,81.9,80.0,34.5,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,20,0,Contact streak: 7/20 over last 7 games,"platoon edge; pitcher baseline 5.5% barrel, 8.9 HR allowed",EV profile; pitcher fly-ball pressure modest,13.56,50.99,92.33,103.2315,0.4598,0.2139,0.3561,76.64,71.12,39.71,29.63,14.7,0.2039,5.54,32.02,87.14,0.3499,0.1183,21.68,,,Oracle Park,
113,608324,Alex Bregman,CHC,STL,2026-07-28T23:45:00Z,Pre-Game,4,Michael McGreevy,700241,R,47.6,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",23.9,54.9,41.6,90.4,50.0,63.7,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,30,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 9.8% barrel, 14.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.92,38.73,88.56,98.1637,0.3717,0.1327,0.3146,70.16,4.94,46.79,25.69,13.1,0.1463,9.78,41.57,90.29,0.4843,0.2026,25.64,In From LF,91,Busch Stadium,
114,671218,Heliot Ramos,SF,MIL,2026-07-29T01:45:00Z,Scheduled,2,Logan Henderson,701656,R,47.3,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",52.9,34.1,19.3,95.5,50.0,18.3,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,29,1,"Last 7 games: 3/29, 1 HR","same-side matchup; pitcher baseline 8.6% barrel, 4.4 HR allowed",EV profile; pitcher allows elevated contact,13.21,49.01,92.15,103.1323,0.4541,0.1953,0.327,72.74,30.42,35.13,23.16,12.6,0.165,8.6,35.46,88.1,0.359,0.14,30.65,,,Oracle Park,
115,656775,Cedric Mullins,TB,TEX,2026-07-28T22:40:00Z,Pre-Game,4,Cal Quantrill,615698,R,47.2,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",20.1,51.2,41.1,94.9,80.0,33.7,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,27,1,"Last 7 games: 6/27, 1 HR","platoon edge; pitcher baseline 10.1% barrel, 12.2 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,4.73,32.26,88.24,97.8207,0.319,0.1267,0.2672,70.82,8.76,45.32,31.73,13.5,0.1568,10.12,37.16,88.37,0.4729,0.2066,30.34,None,72,Tropicana Field,
116,681624,Andy Pages,LAD,SEA,2026-07-29T02:10:00Z,Scheduled,2,Luis Castillo,622491,R,47.2,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",37.2,51.0,27.6,95.5,50.0,14.1,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,28,0,"Last 7 games: 6/28, 0 HR","same-side matchup; pitcher baseline 9.7% barrel, 16.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.26,41.61,88.81,100.0491,0.4343,0.1714,0.3314,72.95,27.31,36.5,28.93,20.0,0.1904,9.7,42.69,89.88,0.4243,0.173,28.14,,,UNIQLO Field at Dodger Stadium,
117,669016,Brandon Marsh,PHI,MIA,2026-07-28T22:40:00Z,Pre-Game,5,Sandy Alcantara,645261,R,47.1,Longshot,Watch List,Platoon Edge,39.9,34.8,35.0,86.4,80.0,19.9,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,23,1,"Last 7 games: 3/23, 1 HR","platoon edge; pitcher baseline 6.6% barrel, 18.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.03,45.91,90.05,100.3765,0.4285,0.1662,0.3188,71.47,15.4,38.12,26.59,14.5,0.1749,6.57,38.28,89.02,0.3905,0.1358,24.45,None,72,loanDepot park,
118,666176,Jo Adell,LAA,HOU,2026-07-29T01:38:00Z,Scheduled,7,Peter Lambert,663567,R,46.9,Longshot,Watch List,"Projected Lineup, Strong Barrel, Hot Hitter/Streak",52.1,34.0,28.2,59.8,50.0,89.2,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,23,3,Hot streak: 3 HR in last 7 games,"same-side matchup; pitcher baseline 6.8% barrel, 11.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,11.35,45.38,90.23,102.5944,0.479,0.2176,0.3405,77.39,71.86,37.58,27.49,22.3,0.1881,6.8,37.6,89.0,0.348,0.142,33.5,,,Angel Stadium,
119,681082,Bryson Stott,PHI,MIA,2026-07-28T22:40:00Z,Pre-Game,2,Sandy Alcantara,645261,R,46.7,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",27.7,34.8,35.0,100.0,80.0,54.3,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,25,1,Contact streak: 9/25 over last 7 games,"platoon edge; pitcher baseline 6.6% barrel, 18.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.64,35.66,88.65,98.57,0.4049,0.146,0.3179,69.82,6.33,34.87,29.27,9.5,0.1501,6.57,38.28,89.02,0.3905,0.1358,24.45,None,72,loanDepot park,
120,678554,Curtis Mead,BOS,ATH,2026-07-29T01:40:00Z,Scheduled,2,Gage Jump,695611,L,46.7,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",36.6,37.3,30.9,95.5,78.0,12.0,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,20,0,"Last 7 games: 4/20, 0 HR","platoon edge; pitcher baseline 6.3% barrel, 7.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.98,40.05,87.85,99.7969,0.4249,0.174,0.3373,72.81,30.27,43.05,30.51,12.8,0.1979,6.3,43.1,90.3,0.4,0.144,26.9,,,Sutter Health Park,
121,691777,Max Muncy,LAD,SEA,2026-07-29T02:10:00Z,Scheduled,4,Luis Castillo,622491,R,46.7,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",38.9,51.0,27.6,90.4,50.0,5.7,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,19,0,"Last 7 games: 3/19, 0 HR","same-side matchup; pitcher baseline 9.7% barrel, 16.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.8,43.67,89.69,101.5962,0.3614,0.1507,0.2831,74.08,45.26,43.1,23.63,6.2,0.1657,9.7,42.69,89.88,0.4243,0.173,28.14,,,UNIQLO Field at Dodger Stadium,
122,672640,Otto Lopez,MIA,PHI,2026-07-28T22:40:00Z,Pre-Game,1,Aaron Nola,605400,R,46.6,Longshot,Watch List,Premium Lineup Spot,32.0,51.0,35.0,93.2,50.0,20.9,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,27,0,"Last 7 games: 7/27, 0 HR","same-side matchup; pitcher baseline 10.0% barrel, 22.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.82,40.89,89.13,100.459,0.4354,0.1538,0.3321,71.84,23.61,32.51,22.43,10.8,0.1521,10.01,41.34,88.84,0.4282,0.1808,28.02,None,72,loanDepot park,
123,694249,Cole Carrigg,COL,SD,2026-07-29T01:40:00Z,Pre-Game,6,Michael King,650633,R,46.6,Longshot,Watch List,Platoon Edge,26.6,39.4,57.6,76.2,75.0,46.9,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,29,1,"Last 7 games: 9/29, 1 HR","switch hitter; pitcher baseline 9.4% barrel, 11.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.8,34.0,86.8,98.4899,0.402,0.155,0.322,73.7,39.6,45.6,31.1,5.0,0.232,9.37,35.23,87.66,0.4123,0.1702,26.91,Out To RF,74,Petco Park,
124,683011,Anthony Volpe,NYY,CWS,2026-07-28T23:40:00Z,Pre-Game,6,Anthony Kay,641743,L,46.5,Longshot,Watch List,"Good Environment, Platoon Edge",22.5,39.8,71.6,76.2,78.0,21.5,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,19,0,"Last 7 games: 5/19, 0 HR","platoon edge; pitcher baseline 8.6% barrel, 14.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.6,37.56,88.46,98.9574,0.3497,0.1134,0.3017,71.97,20.34,32.38,22.31,6.4,0.1118,8.6,39.0,88.5,0.416,0.148,22.0,Out To RF,72,Rate Field,
125,687263,Zach Neto,LAA,HOU,2026-07-29T01:38:00Z,Scheduled,1,Peter Lambert,663567,R,46.5,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",49.4,34.0,28.2,88.7,50.0,16.6,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,26,0,"Last 7 games: 6/26, 0 HR","same-side matchup; pitcher baseline 6.8% barrel, 11.0 HR allowed",fly-ball profile; pitcher allows elevated contact,13.23,41.91,89.81,100.2383,0.4334,0.2153,0.3209,71.26,13.51,47.41,35.17,21.1,0.2086,6.8,37.6,89.0,0.348,0.142,33.5,,,Angel Stadium,
126,605141,Mookie Betts,LAD,SEA,2026-07-29T02:10:00Z,Scheduled,5,Luis Castillo,622491,R,46.4,Longshot,Watch List,Projected Lineup,34.5,51.0,27.6,81.9,50.0,53.3,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,26,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 9.7% barrel, 16.7 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,7.6,37.76,90.01,98.5654,0.429,0.1602,0.3293,69.35,7.79,39.54,35.83,15.1,0.1711,9.7,42.69,89.88,0.4243,0.173,28.14,,,UNIQLO Field at Dodger Stadium,
127,696285,Jacob Young,WSH,TOR,2026-07-28T22:45:00Z,Pre-Game,9,Shane Bieber,669456,R,46.3,Longshot,Watch List,No major boost,20.4,65.5,68.2,44.8,50.0,57.5,Yes,Yes,9,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,21,1,Contact streak: 8/21 over last 7 games,"same-side matchup; pitcher baseline 11.5% barrel, 7.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.33,34.69,88.3,98.3965,0.3801,0.1174,0.3082,69.07,2.23,34.72,23.02,6.9,0.1225,11.53,47.29,90.61,0.5315,0.2369,25.47,Out To RF,80,Nationals Park,
128,677649,Ezequiel Duran,TEX,TB,2026-07-28T22:40:00Z,Pre-Game,3,Griffin Jax,643377,R,46.0,Longshot,Watch List,"Premium Lineup Spot, Hot Hitter/Streak",20.9,46.5,41.1,96.6,50.0,74.2,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,27,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 10.0% barrel, 11.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.54,35.03,87.68,98.799,0.3629,0.1174,0.2918,72.34,23.85,33.84,20.53,8.4,0.1488,10.03,41.16,88.92,0.422,0.1674,23.72,None,72,Tropicana Field,
129,669224,Austin Wells,NYY,CWS,2026-07-28T23:40:00Z,Pre-Game,9,Anthony Kay,641743,L,46.0,Longshot,Watch List,Good Environment,37.2,39.8,71.6,44.8,50.0,53.9,Yes,Yes,9,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,14,1,Contact streak: 5/14 over last 7 games,"same-side matchup; pitcher baseline 8.6% barrel, 14.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.89,44.43,89.41,100.6407,0.378,0.1633,0.2982,72.98,27.98,46.94,32.79,11.2,0.1435,8.6,39.0,88.5,0.416,0.148,22.0,Out To RF,72,Rate Field,
130,679845,Nick Loftin,KC,MIN,2026-07-28T23:40:00Z,Pre-Game,6,Taj Bradley,671737,R,45.9,Longshot,Watch List,No major boost,18.7,48.9,67.6,76.2,50.0,54.9,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,22,1,Contact streak: 8/22 over last 7 games,"same-side matchup; pitcher baseline 9.2% barrel, 17.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.39,31.06,87.57,97.0497,0.3604,0.1221,0.3031,69.05,4.92,45.41,27.45,4.7,0.1553,9.15,43.05,90.46,0.391,0.161,29.89,Out To CF,89,Target Field,
131,572233,Christian Walker,HOU,LAA,2026-07-29T01:38:00Z,Scheduled,5,Reid Detmers,672282,L,45.9,Longshot,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge",41.8,36.9,28.2,81.9,78.0,12.0,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,20,0,"Last 7 games: 4/20, 0 HR","platoon edge; pitcher baseline 7.8% barrel, 10.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.59,43.09,89.78,101.4676,0.3923,0.1687,0.3014,74.38,44.14,43.67,28.21,22.1,0.2047,7.78,39.3,89.89,0.3567,0.1341,27.64,,,Angel Stadium,
132,663656,Kyle Tucker,LAD,SEA,2026-07-29T02:10:00Z,Scheduled,7,Luis Castillo,622491,R,45.8,Longshot,Watch List,"Projected Lineup, Platoon Edge",35.3,51.0,27.6,59.8,80.0,43.7,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,24,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 9.7% barrel, 16.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.0,39.35,89.33,98.9305,0.4256,0.1605,0.3482,71.51,20.87,43.8,32.28,12.9,0.1553,9.7,42.69,89.88,0.4243,0.173,28.14,,,UNIQLO Field at Dodger Stadium,
133,686797,Brooks Lee,MIN,KC,2026-07-28T23:40:00Z,Pre-Game,8,Seth Lugo,607625,R,45.7,Longshot,Watch List,Platoon Edge,17.9,58.0,67.6,52.4,75.0,32.5,Yes,Yes,8,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,28,1,"Last 7 games: 6/28, 1 HR","switch hitter; pitcher baseline 9.9% barrel, 18.6 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,4.4,33.32,87.83,97.354,0.3425,0.1148,0.2778,69.92,8.42,41.15,27.32,15.3,0.1627,9.91,44.71,90.7,0.4793,0.2079,30.3,Out To CF,89,Target Field,
134,666397,Edouard Julien,COL,SD,2026-07-29T01:40:00Z,Pre-Game,8,Michael King,650633,R,45.7,Longshot,Watch List,Platoon Edge,38.7,40.6,57.6,52.4,80.0,0.0,Yes,Yes,8,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,1,20,0,"Last 7 games: 1/20, 0 HR","platoon edge; pitcher baseline 9.4% barrel, 11.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.56,48.11,90.6,100.2822,0.4128,0.1638,0.336,71.11,12.14,35.44,19.09,3.0,0.09,9.37,35.23,87.66,0.4123,0.1702,26.91,Out To RF,74,Petco Park,
135,686555,Isaac Collins,KC,MIN,2026-07-28T23:40:00Z,Pre-Game,8,Taj Bradley,671737,R,45.6,Longshot,Watch List,Platoon Edge,24.1,47.0,67.6,52.4,75.0,43.2,Yes,Yes,8,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,21,1,"Last 7 games: 6/21, 1 HR","switch hitter; pitcher baseline 9.2% barrel, 17.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.53,40.09,88.45,99.9607,0.3408,0.1025,0.3115,73.33,30.27,40.47,26.72,6.9,0.1333,9.15,43.05,90.46,0.391,0.161,29.89,Out To CF,89,Target Field,
136,542303,Marcell Ozuna,PIT,AZ,2026-07-28T22:40:00Z,Pre-Game,8,Brandon Pfaadt,694297,R,45.5,Longshot,Watch List,No major boost,39.6,47.5,51.8,52.4,50.0,28.9,Yes,Yes,8,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,21,1,"Last 7 games: 4/21, 1 HR","same-side matchup; pitcher baseline 9.9% barrel, 13.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.26,40.05,89.48,100.0276,0.4102,0.1838,0.3211,73.39,35.94,39.54,30.36,11.9,0.1379,9.92,40.27,89.47,0.4331,0.1757,21.1,L To R,78,PNC Park,
137,694497,Evan Carter,TEX,TB,2026-07-28T22:40:00Z,Pre-Game,5,Griffin Jax,643377,R,45.4,Longshot,Watch List,Platoon Edge,23.4,46.5,41.1,86.4,80.0,21.5,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,19,0,"Last 7 games: 5/19, 0 HR","platoon edge; pitcher baseline 10.0% barrel, 11.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.97,36.98,87.61,98.9698,0.3439,0.1274,0.3017,70.98,17.75,38.98,28.75,7.1,0.1485,10.03,41.16,88.92,0.422,0.1674,23.72,None,72,Tropicana Field,
138,691016,Tyler Soderstrom,ATH,BOS,2026-07-29T01:40:00Z,Scheduled,3,Jake Bennett,687562,L,45.4,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",44.9,24.9,30.9,92.1,50.0,52.3,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,26,1,Contact streak: 9/26 over last 7 games,"same-side matchup; pitcher baseline 5.7% barrel, 4.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.21,46.16,90.62,101.9659,0.4346,0.1771,0.3403,74.28,42.31,36.0,26.02,19.4,0.2197,5.7,36.9,87.4,0.369,0.137,24.4,,,Sutter Health Park,
