rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
141,686217,Sal Frelick,MIL,BAL,2026-09-18T23:05:00Z,Scheduled,7,,,,31.1,Longshot,Watch List,Projected Lineup,6.4,41.2,32.1,59.8,60.0,10.6,No,Yes,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,21,0,"Last 7 games: 4/21, 0 HR","handedness incomplete; pitcher baseline 0.0% barrel, 0.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,2.61,27.89,85.85,96.4695,0.3299,0.0847,0.2864,68.31,3.9,39.67,21.53,6.4,0.0981,,,,,,,,,Oriole Park at Camden Yards,
142,656716,Zach McKinstry,DET,CWS,2026-09-18T23:40:00Z,Scheduled,6,David Sandlin,689818,R,30.7,Longshot,Watch List,"Projected Lineup, Platoon Edge",6.4,30.0,27.6,71.7,80.0,0.0,No,Yes,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,1,17,0,"Last 7 games: 1/17, 0 HR","platoon edge; pitcher baseline 8.3% barrel, 6.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.23,24.48,85.77,95.6284,0.3265,0.0886,0.291,67.85,3.65,40.61,26.88,6.4,0.1216,8.3,33.3,86.8,0.369,0.146,25.0,,,Rate Field,
143,670770,TJ Friedl,CIN,CHC,2026-09-18T22:40:00Z,Scheduled,9,Clay Holmes,605280,R,30.6,Longshot,Watch List,"Projected Lineup, Platoon Edge",9.7,28.3,39.3,40.2,80.0,38.3,No,Yes,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,8,0,Contact streak: 3/8 over last 7 games,"platoon edge; pitcher baseline 5.2% barrel, 8.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,2.84,29.44,87.31,97.1536,0.2806,0.0809,0.2643,70.67,10.1,41.14,24.4,7.0,0.0946,5.19,41.95,89.63,0.3702,0.1206,18.76,,,Great American Ball Park,
144,695731,Braden Montgomery,CWS,DET,2026-09-18T23:40:00Z,Scheduled,9,Andrew Sears,808825,L,30.3,Longshot,Watch List,"Projected Lineup, Platoon Edge",23.8,24.5,27.6,40.2,75.0,0.0,No,Yes,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,0,19,0,"Last 7 games: 0/19, 0 HR","switch hitter; pitcher baseline 5.6% barrel, 2.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,4.5,40.2,88.9,99.9291,0.389,0.139,0.327,69.6,8.3,38.4,19.6,6.0,0.128,5.6,27.8,89.4,0.338,0.13,38.9,,,Rate Field,
145,686555,Isaac Collins,KC,PIT,2026-09-18T22:40:00Z,Scheduled,9,Paul Skenes,694973,R,30.1,Longshot,Watch List,"Projected Lineup, Platoon Edge",21.7,26.8,24.3,40.2,75.0,10.1,No,Yes,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,16,0,"Last 7 games: 3/16, 0 HR","switch hitter; pitcher baseline 6.6% barrel, 15.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.97,39.46,88.45,99.826,0.3247,0.0948,0.3052,73.33,30.34,39.91,25.18,6.9,0.1242,6.57,38.56,87.81,0.3371,0.1246,22.73,,,PNC Park,
146,689414,Liam Hicks,TB,BOS,2026-09-18T23:10:00Z,Scheduled,4,Ranger Suarez,624133,L,29.7,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",8.1,20.7,27.6,90.4,50.0,15.3,No,Yes,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,18,0,"Last 7 games: 4/18, 0 HR","same-side matchup; pitcher baseline 5.6% barrel, 10.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.81,27.56,84.67,96.1649,0.3528,0.0997,0.3157,68.03,3.65,41.54,24.15,14.4,0.1382,5.57,32.71,86.78,0.3552,0.1145,23.54,,,Tropicana Field,
147,703492,Nick Morabito,NYM,PHI,2026-09-18T23:15:00Z,Scheduled,9,,,,29.7,Longshot,Watch List,Projected Lineup,13.1,41.2,24.8,40.2,60.0,15.3,No,Yes,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,18,0,"Last 7 games: 4/18, 0 HR","handedness incomplete; pitcher baseline 0.0% barrel, 0.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,0.0,36.8,87.8,97.668,0.323,0.055,0.324,70.6,22.7,31.6,10.5,0.0,0.035,,,,,,,,,Citi Field,
148,666152,David Hamilton,MIL,BAL,2026-09-18T23:05:00Z,Scheduled,9,,,,29.4,Longshot,Watch List,Projected Lineup,10.7,41.2,32.1,40.2,60.0,2.0,No,Yes,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,15,0,"Last 7 games: 2/15, 0 HR","handedness incomplete; pitcher baseline 0.0% barrel, 0.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.04,27.94,86.88,96.8418,0.312,0.0932,0.2684,69.66,6.66,35.67,24.62,4.6,0.1042,,,,,,,,,Oriole Park at Camden Yards,
149,694497,Evan Carter,TEX,TOR,2026-09-19T00:05:00Z,Scheduled,9,Dylan Cease,656302,R,28.9,Longshot,Watch List,"Projected Lineup, Platoon Edge",20.5,21.5,27.6,40.2,80.0,0.0,No,Yes,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,1,12,0,"Last 7 games: 1/12, 0 HR","platoon edge; pitcher baseline 6.4% barrel, 14.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.41,35.37,87.47,98.7043,0.3306,0.119,0.2877,71.02,18.0,39.54,27.63,7.8,0.1317,6.36,33.58,86.59,0.3079,0.1107,25.19,,,Globe Life Field,
150,672016,Denzel Clarke,ATH,CLE,2026-09-18T23:10:00Z,Scheduled,9,Daniel Espino,682982,R,28.7,Longshot,Watch List,Projected Lineup,19.5,33.2,27.6,40.2,50.0,0.8,No,Yes,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,1,8,0,"Last 7 games: 1/8, 0 HR","same-side matchup; pitcher baseline 11.1% barrel, 2.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,3.69,41.16,88.6,102.0845,0.2289,0.0534,0.2164,76.12,63.05,45.44,10.44,0.9,0.0531,11.1,37.0,85.1,0.319,0.118,33.3,,,Progressive Field,
151,664728,Kyle Isbel,KC,PIT,2026-09-18T22:40:00Z,Scheduled,8,Paul Skenes,694973,R,28.5,Longshot,Watch List,"Projected Lineup, Platoon Edge",11.9,28.4,24.3,47.9,80.0,4.5,No,Yes,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,20,0,"Last 7 games: 3/20, 0 HR","platoon edge; pitcher baseline 6.6% barrel, 15.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,2.44,33.72,88.08,98.8128,0.3026,0.0777,0.2573,71.17,13.13,33.37,19.92,5.4,0.1043,6.57,38.56,87.81,0.3371,0.1246,22.73,,,PNC Park,
