rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
240,608324,Alex Bregman,CHC,SF,2026-06-14T02:05:00Z,Scheduled,4,Trevor McDonald,686790,R,35.3,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",26.9,21.3,19.3,90.4,50.0,24.3,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,25,1,"Last 7 games: 4/25, 1 HR","same-side matchup; pitcher baseline 3.9% barrel, 2.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.69,40.41,88.77,98.6791,0.3913,0.1425,0.3209,70.16,5.15,46.86,23.87,9.6,0.133,3.87,39.93,89.65,0.3557,0.1094,11.7,,,Oracle Park,
241,665926,Andrés Giménez,TOR,NYY,2026-06-13T19:07:00Z,Pre-Game,9,Cam Schlittler,693645,R,35.2,Longshot,Watch List,Platoon Edge,6.5,33.1,67.9,44.8,80.0,29.7,Yes,Yes,9,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,22,0,"Last 7 games: 7/22, 0 HR","platoon edge; pitcher baseline 7.4% barrel, 5.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.28,24.83,86.09,95.7604,0.3232,0.0929,0.2758,68.32,4.72,36.77,22.74,6.3,0.1226,7.36,40.97,88.58,0.3567,0.1344,27.02,Out To RF,71,Rogers Centre,
242,681082,Bryson Stott,PHI,MIL,2026-06-13T23:10:00Z,Scheduled,8,Shane Drohan,675660,L,35.1,Longshot,Watch List,Projected Lineup,28.9,37.6,27.6,47.9,50.0,24.9,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,21,0,"Last 7 games: 6/21, 0 HR","same-side matchup; pitcher baseline 9.4% barrel, 2.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.64,37.55,89.21,98.8204,0.3979,0.146,0.3116,69.82,5.21,35.92,28.85,8.1,0.1473,9.4,39.6,88.6,0.357,0.137,29.2,,,American Family Field,
243,694203,Denzer Guzman,LAA,TB,2026-06-14T02:07:00Z,Scheduled,7,Griffin Jax,643377,R,35.0,Longshot,Watch List,Projected Lineup,22.1,43.7,28.2,59.8,50.0,3.4,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,3,2,14,0,"Last 3 games: 2/14, 0 HR","same-side matchup; pitcher baseline 9.8% barrel, 7.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.5,42.69,87.34,98.1739,0.3083,0.1155,0.2182,72.94,30.92,45.5,26.5,0.6,0.0998,9.82,39.97,88.43,0.4262,0.1709,22.67,,,Angel Stadium,
244,701675,Nathan Church,STL,MIN,2026-06-13T18:10:00Z,Warmup,9,Connor Prielipp,687570,L,34.9,Longshot,Watch List,No major boost,20.8,39.9,45.6,44.8,50.0,16.6,Yes,Yes,9,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,26,0,"Last 7 games: 6/26, 0 HR","same-side matchup; pitcher baseline 9.2% barrel, 4.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.95,35.06,86.83,98.0305,0.3511,0.127,0.2722,69.84,8.97,35.83,19.99,3.8,0.1221,9.2,36.4,89.7,0.384,0.162,26.4,In From LF,69,Target Field,
245,666152,David Hamilton,MIL,PHI,2026-06-13T23:10:00Z,Scheduled,9,Aaron Nola,605400,R,34.9,Longshot,Watch List,"Projected Lineup, Platoon Edge",12.7,45.4,27.6,40.2,80.0,56.2,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,24,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 9.1% barrel, 13.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.53,28.57,86.46,96.9517,0.3099,0.1016,0.2712,70.08,8.65,35.25,27.98,3.9,0.1049,9.1,40.71,88.63,0.4303,0.1745,25.64,,,American Family Field,
246,645302,Victor Robles,SEA,WSH,2026-06-13T20:05:00Z,Pre-Game,6,Cade Cavalli,676917,R,34.8,Longshot,Watch List,No major boost,4.1,32.2,67.2,76.2,50.0,9.3,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,11,0,"Last 7 games: 2/11, 0 HR","same-side matchup; pitcher baseline 6.9% barrel, 5.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.78,20.96,84.21,93.9271,0.3151,0.0883,0.2503,68.12,1.6,49.76,22.04,0.3,0.064,6.88,39.91,88.68,0.3937,0.1382,21.75,Out To RF,86,Nationals Park,
247,671976,Tristan Peters,CWS,LAD,2026-06-13T20:10:00Z,Pre-Game,8,Yoshinobu Yamamoto,808967,R,34.7,Longshot,Watch List,Platoon Edge,7.6,29.8,59.6,52.4,80.0,32.0,Yes,Yes,8,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,24,0,Contact streak: 8/24 over last 7 games,"platoon edge; pitcher baseline 6.8% barrel, 10.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.01,30.13,86.59,97.5767,0.3026,0.084,0.2523,69.07,3.99,39.74,14.07,1.4,0.1022,6.82,37.88,88.3,0.3565,0.1298,23.71,L To R,81,Rate Field,
248,691594,Javier Sanoja,MIA,PIT,2026-06-13T20:05:00Z,Pre-Game,8,Bubba Chandler,696149,R,34.5,Longshot,Watch List,No major boost,9.8,40.9,47.3,52.4,50.0,50.3,Yes,Yes,8,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,21,1,Contact streak: 7/21 over last 7 games,"same-side matchup; pitcher baseline 8.4% barrel, 6.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,1.59,32.76,87.45,97.5797,0.3119,0.0739,0.268,69.21,8.07,43.89,17.36,3.2,0.1257,8.42,36.99,89.85,0.3989,0.1714,28.26,L To R,81,PNC Park,
249,650859,Luis Rengifo,MIL,PHI,2026-06-13T23:10:00Z,Scheduled,8,Aaron Nola,605400,R,34.1,Longshot,Watch List,"Projected Lineup, Platoon Edge",16.4,44.0,27.6,47.9,75.0,10.6,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,21,0,"Last 7 games: 4/21, 0 HR","switch hitter; pitcher baseline 9.1% barrel, 13.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.0,34.17,87.45,97.8605,0.3484,0.0961,0.2978,70.55,13.88,35.43,16.82,2.7,0.0641,9.1,40.71,88.63,0.4303,0.1745,25.64,,,American Family Field,
