rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
98,679529,Spencer Torkelson,DET,KC,2026-08-22T00:10:00Z,Pre-Game,6,Noah Cameron,702070,L,48.6,Longshot,Watch List,"Strong Barrel, Platoon Edge",48.6,39.3,35.7,76.2,78.0,2.5,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,22,0,"Last 7 games: 3/22, 0 HR","platoon edge; pitcher baseline 7.6% barrel, 15.2 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,13.01,42.23,89.57,100.207,0.4203,0.1999,0.32,73.07,25.88,47.14,35.69,23.3,0.1957,7.56,37.96,88.74,0.4117,0.1625,26.38,In From LF,85,Kauffman Stadium,
99,593428,Xander Bogaerts,SD,MIN,2026-08-22T01:40:00Z,Pre-Game,6,Connor Prielipp,687570,L,48.6,Longshot,Watch List,Platoon Edge,28.7,43.3,57.1,76.2,78.0,50.2,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,19,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 8.2% barrel, 12.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.48,40.32,88.86,100.033,0.3878,0.1355,0.3249,72.38,28.36,44.01,23.34,11.0,0.1147,8.2,41.1,90.2,0.399,0.162,26.8,Out To RF,75,Petco Park,
100,691720,Kyle Karros,COL,CLE,2026-08-22T00:40:00Z,Pre-Game,2,Joey Cantillo,676282,L,48.5,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",24.6,37.1,61.2,100.0,78.0,26.4,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,23,1,"Last 7 games: 4/23, 1 HR","platoon edge; pitcher baseline 7.9% barrel, 13.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.9,39.23,89.16,99.6388,0.3621,0.1208,0.3147,69.87,5.3,39.57,23.85,7.3,0.1266,7.9,39.98,88.59,0.3686,0.1403,27.23,In From CF,93,Coors Field,
101,683953,Travis Bazzana,CLE,COL,2026-08-22T00:40:00Z,Pre-Game,7,Tanner Gordon,685299,R,48.3,Longshot,Watch List,Platoon Edge,21.4,65.7,61.2,64.3,80.0,0.8,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,24,0,"Last 7 games: 3/24, 0 HR","platoon edge; pitcher baseline 11.2% barrel, 15.3 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,5.0,36.5,88.1,98.5324,0.348,0.125,0.299,69.7,12.6,38.9,27.9,9.0,0.136,11.22,43.93,91.15,0.4985,0.2244,33.53,In From CF,93,Coors Field,
102,703607,Henry Bolte,ATH,HOU,2026-08-22T00:10:00Z,Pre-Game,1,Hayden Wesneski,669713,R,48.2,Longshot,Watch List,Premium Lineup Spot,35.4,42.1,41.1,93.2,50.0,53.6,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,11,31,1,Contact streak: 11/31 over last 7 games,"same-side matchup; pitcher baseline 8.2% barrel, 3.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.0,47.7,91.1,104.4964,0.361,0.119,0.303,77.0,74.0,31.5,17.0,6.0,0.098,8.19,42.03,89.56,0.4227,0.1627,27.47,None,72,Daikin Park,
103,666126,Carlos Cortes,ATH,HOU,2026-08-22T00:10:00Z,Pre-Game,4,Hayden Wesneski,669713,R,48.2,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",31.2,42.1,41.1,94.9,80.0,22.9,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,22,0,"Last 7 games: 6/22, 0 HR","platoon edge; pitcher baseline 8.2% barrel, 3.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.31,39.87,89.52,99.7335,0.408,0.149,0.3196,70.76,14.41,30.69,23.29,6.1,0.1731,8.19,42.03,89.56,0.4227,0.1627,27.47,None,72,Daikin Park,
104,695734,Daylen Lile,WSH,MIA,2026-08-21T23:10:00Z,Pre-Game,1,Ryan Gusto,687473,R,48.1,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",32.8,48.6,35.0,93.2,80.0,3.4,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,28,0,"Last 7 games: 4/28, 0 HR","platoon edge; pitcher baseline 8.9% barrel, 10.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.51,37.93,88.62,98.8018,0.4273,0.1607,0.3228,70.5,8.38,40.73,33.25,13.2,0.1717,8.94,44.65,90.39,0.4257,0.1669,26.68,None,72,loanDepot park,
105,673357,Luis Robert Jr.,NYM,CWS,2026-08-21T23:40:00Z,Pre-Game,6,Sean Burke,680732,R,48.1,Longshot,Watch List,No major boost,35.7,44.4,52.1,76.2,50.0,54.0,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,17,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 8.5% barrel, 18.1 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,7.78,38.73,89.12,101.3889,0.4008,0.1646,0.3105,76.44,65.94,45.32,26.61,9.1,0.1452,8.54,38.64,89.25,0.3961,0.1648,31.26,R To L,78,Rate Field,
106,701678,Hao-Yu Lee,DET,KC,2026-08-22T00:10:00Z,Pre-Game,2,Noah Cameron,702070,L,48.0,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",30.6,39.3,35.7,100.0,78.0,42.0,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,15,0,Contact streak: 6/15 over last 7 games,"platoon edge; pitcher baseline 7.6% barrel, 15.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.1,38.1,88.8,99.5281,0.386,0.148,0.295,71.1,19.4,29.4,25.6,6.0,0.148,7.56,37.96,88.74,0.4117,0.1625,26.38,In From LF,85,Kauffman Stadium,
107,650859,Luis Rengifo,SD,MIN,2026-08-22T01:40:00Z,Pre-Game,2,Connor Prielipp,687570,L,47.9,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",16.1,42.0,57.1,100.0,75.0,63.1,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,27,2,Hot streak: 2 HR in last 7 games,"switch hitter; pitcher baseline 8.2% barrel, 12.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.58,33.4,87.45,97.8029,0.3568,0.1003,0.3062,70.76,14.09,36.83,18.22,5.5,0.0851,8.2,41.1,90.2,0.399,0.162,26.8,Out To RF,75,Petco Park,
