hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hitter_hand,barrel_pct,iso,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hard_hit_pct,hr_total,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,pitcher_hr_allowed,pitcher_hr_allowed_vs_lhh,pitcher_hr_allowed_vs_rhh,ballpark,park_hr_factor,weather_temp,wind_speed,wind_direction,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,public_attention,odds
596142,Gary Sánchez,MIL,LAD,2026-08-14T02:10:00Z,Pre-Game,3,Roki Sasaki,808963,R,R,9.85,0.2262,90.22,101.3815,0.4399,0.2055,0.3514,72.06,26.94,45.7,29.05,43.8,8.5,10.68,43.51,90.04,0.4223,0.1845,28.42,16.5,16.5,16.5,UNIQLO Field at Dodger Stadium,100,75,4,L To R,Yes,,,No,Yes,MLB Stats API; RotoWire,not found on RotoWire,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,18,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 10.7% barrel, 16.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,,
641343,Jake Bauers,MIL,LAD,2026-08-14T02:10:00Z,Pre-Game,4,Roki Sasaki,808963,R,L,13.98,0.2109,92.47,103.1227,0.4717,0.2223,0.3631,76.64,71.33,40.34,31.1,50.85,16.8,10.68,43.51,90.04,0.4223,0.1845,28.42,16.5,16.5,16.5,UNIQLO Field at Dodger Stadium,100,75,4,L To R,Yes,No,3,Yes,Yes,MLB Stats API; RotoWire,RotoWire not confirmed; order MLB 4 vs RotoWire 3,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,24,1,"Last 7 games: 6/24, 1 HR","platoon edge; pitcher baseline 10.7% barrel, 16.5 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,,
683734,Andrew Vaughn,MIL,LAD,2026-08-14T02:10:00Z,Pre-Game,5,Roki Sasaki,808963,R,R,7.59,0.164,90.06,99.9919,0.4181,0.15,0.3406,70.39,12.73,35.82,24.2,43.29,7.7,10.68,43.51,90.04,0.4223,0.1845,28.42,16.5,16.5,16.5,UNIQLO Field at Dodger Stadium,100,75,4,L To R,Yes,No,6,Yes,Yes,MLB Stats API; RotoWire,RotoWire not confirmed; order MLB 5 vs RotoWire 6,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,23,0,"Last 7 games: 6/23, 0 HR","same-side matchup; pitcher baseline 10.7% barrel, 16.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,,
592885,Christian Yelich,MIL,LAD,2026-08-14T02:10:00Z,Pre-Game,6,Roki Sasaki,808963,R,L,9.67,0.1572,89.01,100.8281,0.3928,0.1639,0.309,73.09,31.55,33.75,19.23,42.97,14.3,10.68,43.51,90.04,0.4223,0.1845,28.42,16.5,16.5,16.5,UNIQLO Field at Dodger Stadium,100,75,4,L To R,Yes,No,7,Yes,Yes,MLB Stats API; RotoWire,RotoWire not confirmed; order MLB 6 vs RotoWire 7,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,21,1,"Last 7 games: 5/21, 1 HR","platoon edge; pitcher baseline 10.7% barrel, 16.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,,
661388,William Contreras,MIL,LAD,2026-08-14T02:10:00Z,Pre-Game,7,Roki Sasaki,808963,R,R,7.1,0.1271,90.26,101.4213,0.4196,0.1639,0.3294,73.27,35.11,35.97,24.29,44.16,12.8,10.68,43.51,90.04,0.4223,0.1845,28.42,16.5,16.5,16.5,UNIQLO Field at Dodger Stadium,100,75,4,L To R,Yes,No,4,Yes,Yes,MLB Stats API; RotoWire,RotoWire not confirmed; order MLB 7 vs RotoWire 4,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,24,1,"Last 7 games: 2/24, 1 HR","same-side matchup; pitcher baseline 10.7% barrel, 16.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,,
687401,Joey Ortiz,MIL,LAD,2026-08-14T02:10:00Z,Pre-Game,8,Roki Sasaki,808963,R,R,3.91,0.1066,87.07,98.5898,0.3375,0.0953,0.2918,72.72,28.33,31.77,21.08,34.06,5.6,10.68,43.51,90.04,0.4223,0.1845,28.42,16.5,16.5,16.5,UNIQLO Field at Dodger Stadium,100,75,4,L To R,Yes,No,9,Yes,Yes,MLB Stats API; RotoWire,RotoWire not confirmed; order MLB 8 vs RotoWire 9,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,15,0,"Last 7 games: 4/15, 0 HR","same-side matchup; pitcher baseline 10.7% barrel, 16.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,,
666152,David Hamilton,MIL,LAD,2026-08-14T02:10:00Z,Pre-Game,9,Roki Sasaki,808963,R,L,4.32,0.1021,86.53,96.6525,0.2994,0.0939,0.2628,69.73,7.15,34.69,26.02,26.89,3.9,10.68,43.51,90.04,0.4223,0.1845,28.42,16.5,16.5,16.5,UNIQLO Field at Dodger Stadium,100,75,4,L To R,Yes,No,8,Yes,Yes,MLB Stats API; RotoWire,RotoWire not confirmed; order MLB 9 vs RotoWire 8,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,21,0,"Last 7 games: 4/21, 0 HR","platoon edge; pitcher baseline 10.7% barrel, 16.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,,
660271,Shohei Ohtani,LAD,MIL,2026-08-14T02:10:00Z,Pre-Game,1,Shane Drohan,675660,L,L,18.67,0.2784,93.85,104.4046,0.5958,0.3064,0.4131,74.96,52.66,47.05,32.41,54.15,35.4,8.7,37.2,88.0,0.362,0.132,29.3,9.0,9.0,9.0,UNIQLO Field at Dodger Stadium,100,75,4,L To R,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,29,3,Hot streak: 3 HR in last 7 games,"same-side matchup; pitcher baseline 8.7% barrel, 9.0 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,,
681624,Andy Pages,LAD,MIL,2026-08-14T02:10:00Z,Pre-Game,2,Shane Drohan,675660,L,R,7.91,0.1855,88.88,99.849,0.4336,0.1686,0.3307,72.78,26.4,37.76,28.79,40.98,21.4,8.7,37.2,88.0,0.362,0.132,29.3,9.0,9.0,9.0,UNIQLO Field at Dodger Stadium,100,75,4,L To R,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,26,1,"Last 7 games: 8/26, 1 HR","platoon edge; pitcher baseline 8.7% barrel, 9.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,,
669242,Tommy Edman,LAD,MIL,2026-08-14T02:10:00Z,Pre-Game,3,Shane Drohan,675660,L,S,5.48,0.1367,88.58,99.655,0.3886,0.1174,0.3196,70.52,11.83,43.02,25.73,37.45,6.0,8.7,37.2,88.0,0.362,0.132,29.3,9.0,9.0,9.0,UNIQLO Field at Dodger Stadium,100,75,4,L To R,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,26,0,"Last 7 games: 5/26, 0 HR","switch hitter; pitcher baseline 8.7% barrel, 9.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,,
