rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
137,694197,Angel Genao,CLE,CWS,2026-09-15T22:40:00Z,Pre-Game,6,Chris Murphy,669684,L,44.5,Longshot,Watch List,"Good Environment, Platoon Edge",28.6,26.7,73.1,76.2,75.0,5.7,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,19,0,"Last 7 games: 3/19, 0 HR","switch hitter; pitcher baseline 7.1% barrel, 2.6 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,4.3,52.1,91.1,100.53,0.346,0.098,0.294,72.3,25.1,39.4,12.8,2.0,0.091,7.08,38.01,87.63,0.3207,0.1129,31.88,Out To CF,81,Progressive Field,
138,521692,Salvador Perez,KC,HOU,2026-09-16T00:10:00Z,Scheduled,4,Hunter Brown,686613,R,44.4,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",47.0,22.5,27.6,90.4,50.0,43.2,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,28,1,"Last 7 games: 8/28, 1 HR","same-side matchup; pitcher baseline 6.2% barrel, 12.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.51,43.83,89.37,100.774,0.4598,0.2079,0.3248,72.06,22.42,41.98,31.06,22.3,0.1694,6.25,35.49,86.17,0.3278,0.122,23.3,,,Daikin Park,
139,668904,Royce Lewis,MIN,NYY,2026-09-15T23:40:00Z,Pre-Game,5,Max Fried,608331,L,44.3,Longshot,Watch List,"Strong Barrel, Platoon Edge",40.9,9.9,61.6,86.4,78.0,1.6,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,23,0,"Last 7 games: 3/23, 0 HR","platoon edge; pitcher baseline 3.5% barrel, 7.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.38,40.58,89.8,100.6079,0.4035,0.1628,0.3075,74.65,49.89,46.09,30.5,13.7,0.158,3.47,31.74,86.15,0.2961,0.0872,23.65,Out To RF,69,Target Field,
140,641487,J.P. Crawford,SEA,LAA,2026-09-16T01:38:00Z,Scheduled,1,Ryan Johnson,696270,R,44.3,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",20.3,46.1,28.2,88.7,80.0,53.7,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,30,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 9.4% barrel, 13.8 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,5.6,34.14,87.55,98.0293,0.3657,0.1193,0.3238,71.21,18.53,35.0,21.7,12.0,0.1218,9.41,36.49,87.75,0.4353,0.1833,33.88,,,Angel Stadium,
141,607043,Brandon Nimmo,TEX,BOS,2026-09-16T00:05:00Z,Scheduled,5,Patrick Sandoval,663776,L,44.2,Longshot,Watch List,Projected Lineup,46.7,32.3,27.6,81.9,50.0,18.2,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,29,0,"Last 7 games: 7/29, 0 HR","same-side matchup; pitcher baseline 6.5% barrel, 6.0 HR allowed",EV profile; pitcher fly-ball pressure modest,9.29,50.9,92.11,102.0745,0.4442,0.1782,0.3385,72.34,27.74,33.45,25.84,17.3,0.1579,6.5,35.7,87.6,0.441,0.161,24.4,,,Globe Life Field,
142,666126,Carlos Cortes,ATH,TB,2026-09-15T22:40:00Z,Pre-Game,7,Griffin Jax,643377,R,44.1,Longshot,Watch List,Platoon Edge,28.1,44.6,41.1,64.3,80.0,34.4,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,22,1,"Last 7 games: 5/22, 1 HR","platoon edge; pitcher baseline 9.5% barrel, 12.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.03,38.4,88.75,99.2908,0.3933,0.1413,0.3077,70.76,14.27,30.69,22.73,7.5,0.1668,9.47,42.0,89.13,0.4056,0.1576,23.44,None,72,Tropicana Field,
143,682626,Francisco Alvarez,NYM,BAL,2026-09-15T23:10:00Z,Scheduled,9,Shane Baz,669358,R,44.1,Longshot,Watch List,"Projected Lineup, Strong Barrel",54.0,40.8,24.8,40.2,50.0,53.3,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,26,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 7.5% barrel, 17.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,14.27,48.77,91.21,102.9613,0.43,0.2003,0.3239,74.11,42.04,37.68,24.61,13.8,0.1742,7.54,40.94,89.77,0.3923,0.1483,25.85,,,Citi Field,
144,694671,Wyatt Langford,TEX,BOS,2026-09-16T00:05:00Z,Scheduled,6,Patrick Sandoval,663776,L,44.0,Longshot,Watch List,"Projected Lineup, Platoon Edge",39.1,32.3,27.6,71.7,78.0,43.7,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,24,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 6.5% barrel, 6.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.24,40.35,89.72,100.4143,0.4095,0.1743,0.325,72.89,28.13,42.82,30.53,18.5,0.1963,6.5,35.7,87.6,0.441,0.161,24.4,,,Globe Life Field,
145,630105,Jake Cronenworth,SD,COL,2026-09-16T00:40:00Z,Scheduled,2,Kyle Freeland,607536,L,44.0,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",13.6,58.6,38.7,95.5,50.0,34.9,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,26,1,"Last 7 games: 6/26, 1 HR","same-side matchup; pitcher baseline 10.2% barrel, 23.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.82,31.58,87.45,97.6169,0.3089,0.0951,0.2833,71.32,17.11,31.68,24.12,6.8,0.0939,10.24,43.87,90.47,0.4751,0.1931,28.24,,,Coors Field,
146,690976,Alex Freeland,LAD,CIN,2026-09-15T22:40:00Z,Pre-Game,9,Rhett Lowder,695076,R,43.9,Longshot,Watch List,Platoon Edge,25.6,51.5,57.8,44.8,75.0,28.9,Yes,Yes,9,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,16,0,"Last 7 games: 5/16, 0 HR","switch hitter; pitcher baseline 9.9% barrel, 17.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.46,38.7,89.86,99.0544,0.3221,0.1189,0.2803,70.77,10.03,35.06,25.2,2.7,0.0892,9.9,39.0,90.1,0.464,0.192,28.1,In From RF,91,Great American Ball Park,
