rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
182,702284,Cole Young,SEA,LAA,2026-09-16T01:38:00Z,Scheduled,7,Ryan Johnson,696270,R,41.2,Longshot,Watch List,"Projected Lineup, Platoon Edge",23.9,46.1,28.2,59.8,80.0,48.3,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,25,1,Contact streak: 8/25 over last 7 games,"platoon edge; pitcher baseline 9.4% barrel, 13.8 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,5.32,36.0,88.09,98.8039,0.3816,0.1324,0.3096,71.51,21.58,41.84,26.59,13.1,0.1276,9.41,36.49,87.75,0.4353,0.1833,33.88,,,Angel Stadium,
183,689414,Liam Hicks,TB,ATH,2026-09-15T22:40:00Z,Pre-Game,4,Jack Perkins,678022,R,41.1,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",8.3,40.3,41.1,94.9,80.0,39.8,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,19,1,"Last 7 games: 5/19, 1 HR","platoon edge; pitcher baseline 9.0% barrel, 15.2 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,3.81,27.63,84.74,96.1823,0.3542,0.1004,0.3164,68.03,3.58,41.68,24.01,14.4,0.1389,9.04,36.79,87.87,0.3741,0.1482,33.61,None,72,Tropicana Field,
184,805300,Jakob Marsee,MIA,AZ,2026-09-16T01:40:00Z,Scheduled,5,Michael Soroka,647336,R,41.1,Longshot,Watch List,"Projected Lineup, Platoon Edge",20.4,34.7,28.2,81.9,80.0,63.3,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,13,28,1,Contact streak: 13/28 over last 7 games,"platoon edge; pitcher baseline 7.7% barrel, 8.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.88,37.06,87.85,98.6386,0.3615,0.1183,0.3204,70.36,5.58,41.37,23.05,8.5,0.1426,7.68,35.92,88.22,0.3937,0.1483,27.94,,,Chase Field,
185,665966,Carlos Narvaez,BAL,NYM,2026-09-15T23:10:00Z,Scheduled,8,Sean Manaea,640455,L,40.8,Longshot,Watch List,"Projected Lineup, Platoon Edge",31.0,54.2,24.8,47.9,78.0,2.0,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,15,0,"Last 7 games: 2/15, 0 HR","platoon edge; pitcher baseline 10.4% barrel, 18.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.21,39.98,90.96,100.1141,0.325,0.1263,0.2692,72.09,19.81,32.44,30.1,6.6,0.1003,10.37,41.76,89.38,0.4444,0.1897,28.61,,,Citi Field,
186,685133,Wade Meckler,LAA,SEA,2026-09-16T01:38:00Z,Scheduled,3,Logan Gilbert,669302,R,40.8,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",12.1,48.7,28.2,92.1,80.0,16.6,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,13,0,"Last 7 games: 3/13, 0 HR","platoon edge; pitcher baseline 9.7% barrel, 24.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.0,33.5,87.0,96.7173,0.359,0.098,0.316,69.0,2.3,34.0,19.0,3.0,0.091,9.72,41.49,90.03,0.3831,0.161,28.47,,,Angel Stadium,
187,681082,Bryson Stott,PHI,WSH,2026-09-15T22:45:00Z,Pre-Game,7,Jackson Kent,800600,L,40.7,Longshot,Watch List,No major boost,24.8,36.5,64.7,64.3,50.0,10.6,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,21,0,"Last 7 games: 4/21, 0 HR","same-side matchup; pitcher baseline 8.1% barrel, 1.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.73,34.75,88.72,98.3045,0.3979,0.1383,0.3228,69.72,6.61,34.52,27.45,10.9,0.1389,8.1,41.9,88.2,0.419,0.154,20.9,Out To LF,77,Nationals Park,
188,572233,Christian Walker,HOU,KC,2026-09-16T00:10:00Z,Scheduled,7,Michael Wacha,608379,R,40.6,Longshot,Watch List,"Projected Lineup, Strong Barrel",40.9,36.6,27.6,59.8,50.0,26.4,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,23,1,"Last 7 games: 4/23, 1 HR","same-side matchup; pitcher baseline 6.9% barrel, 21.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.17,42.18,89.43,101.3786,0.4028,0.1743,0.307,74.31,43.48,42.06,27.65,25.6,0.1893,6.91,35.51,87.85,0.406,0.1605,28.81,,,Daikin Park,
189,665161,Jeremy Pena,HOU,KC,2026-09-16T00:10:00Z,Scheduled,1,Michael Wacha,608379,R,40.5,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",30.8,36.6,27.6,88.7,50.0,9.8,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,27,0,"Last 7 games: 5/27, 0 HR","same-side matchup; pitcher baseline 6.9% barrel, 21.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.94,40.24,88.48,99.8323,0.4173,0.1494,0.3249,72.23,14.83,46.06,24.36,17.0,0.1772,6.91,35.51,87.85,0.406,0.1605,28.81,,,Daikin Park,
190,656811,Ryan O'Hearn,PIT,MIL,2026-09-15T22:40:00Z,Pre-Game,6,Jacob Misiorowski,694819,R,40.4,Longshot,Watch List,Platoon Edge,34.0,19.2,37.3,76.2,80.0,21.8,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,28,1,"Last 7 games: 4/28, 1 HR","platoon edge; pitcher baseline 5.1% barrel, 12.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.18,43.06,89.33,99.3432,0.4099,0.1565,0.3225,71.1,11.71,38.87,28.64,17.7,0.1777,5.1,34.56,87.67,0.281,0.101,25.85,In From RF,80,PNC Park,
191,669236,Jeremiah Jackson,BAL,NYM,2026-09-15T23:10:00Z,Scheduled,9,Sean Manaea,640455,L,40.4,Longshot,Watch List,"Projected Lineup, Platoon Edge",32.7,54.2,24.8,40.2,78.0,5.1,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,13,0,"Last 7 games: 2/13, 0 HR","platoon edge; pitcher baseline 10.4% barrel, 18.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.43,40.89,89.69,100.4808,0.386,0.1496,0.2861,72.6,26.05,40.21,24.49,6.4,0.1444,10.37,41.76,89.38,0.4444,0.1897,28.61,,,Citi Field,
192,701358,Cam Smith,HOU,KC,2026-09-16T00:10:00Z,Scheduled,9,Michael Wacha,608379,R,40.4,Longshot,Watch List,"Projected Lineup, Strong Barrel, Hot Hitter/Streak",41.4,36.6,27.6,40.2,50.0,73.0,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,25,3,Hot streak: 3 HR in last 7 games,"same-side matchup; pitcher baseline 6.9% barrel, 21.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.05,43.18,88.67,101.4302,0.4124,0.1746,0.3152,76.88,68.67,37.42,25.07,16.7,0.1668,6.91,35.51,87.85,0.406,0.1605,28.81,,,Daikin Park,
193,691720,Kyle Karros,COL,SD,2026-09-16T00:40:00Z,Scheduled,6,Walker Buehler,621111,R,40.3,Longshot,Watch List,Projected Lineup,24.8,43.2,38.7,71.7,50.0,29.2,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,26,1,"Last 7 games: 5/26, 1 HR","same-side matchup; pitcher baseline 8.7% barrel, 19.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.25,38.6,88.88,99.5616,0.3642,0.1243,0.3133,69.8,5.44,38.73,23.99,8.0,0.1294,8.73,38.29,88.95,0.4136,0.1631,23.3,,,Coors Field,
194,663538,Nico Hoerner,CHC,ATL,2026-09-15T23:40:00Z,Pre-Game,6,Martín Pérez,527048,L,40.2,Longshot,Watch List,"Projected Lineup, Platoon Edge",8.9,38.2,65.8,71.7,78.0,23.4,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,29,0,"Last 7 games: 8/29, 0 HR","platoon edge; pitcher baseline 8.1% barrel, 10.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,1.77,29.32,86.14,96.2921,0.3826,0.0843,0.3234,68.4,1.83,32.59,21.63,7.7,0.0935,8.07,37.51,87.99,0.4234,0.1639,24.13,Out To RF,78,Wrigley Field,
195,681393,Connor Norby,COL,SD,2026-09-16T00:40:00Z,Scheduled,8,Walker Buehler,621111,R,40.2,Longshot,Watch List,Projected Lineup,31.0,43.2,38.7,47.9,50.0,52.5,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,23,1,Contact streak: 8/23 over last 7 games,"same-side matchup; pitcher baseline 8.7% barrel, 19.9 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,8.49,37.17,87.39,98.2752,0.3799,0.1564,0.3077,70.28,8.62,42.45,35.28,7.3,0.1401,8.73,38.29,88.95,0.4136,0.1631,23.3,,,Coors Field,
196,699115,Carlos Jorge,CIN,LAD,2026-09-15T22:40:00Z,Pre-Game,1,Yoshinobu Yamamoto,808967,R,40.1,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",13.3,28.1,57.8,93.2,80.0,0.0,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,17,0,"Last 7 games: 2/17, 0 HR","platoon edge; pitcher baseline 6.5% barrel, 17.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.1,18.2,78.2,88.4171,0.282,0.095,0.203,69.1,5.6,45.5,27.3,0.0,0.0,6.47,37.6,88.09,0.3306,0.1207,22.94,In From RF,91,Great American Ball Park,
197,665926,Andrés Giménez,TOR,DET,2026-09-15T23:07:00Z,Pre-Game,7,Drew Anderson,623454,R,40.1,Longshot,Watch List,Platoon Edge,7.4,39.1,65.4,64.3,80.0,44.8,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,27,1,"Last 7 games: 8/27, 1 HR","platoon edge; pitcher baseline 8.4% barrel, 14.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.21,25.74,85.67,96.014,0.3407,0.0992,0.2842,68.53,5.14,38.66,23.09,8.4,0.1128,8.4,39.2,89.9,0.367,0.141,24.0,Out To CF,70,Rogers Centre,
198,670623,Isaac Paredes,HOU,KC,2026-09-16T00:10:00Z,Scheduled,3,Michael Wacha,608379,R,40.1,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Hot Hitter/Streak",17.7,36.6,27.6,92.1,50.0,79.0,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,25,3,Hot streak: 3 HR in last 7 games,"same-side matchup; pitcher baseline 6.9% barrel, 21.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.25,30.52,86.56,97.0549,0.3709,0.1292,0.3214,67.74,7.57,51.93,31.01,20.7,0.1837,6.91,35.51,87.85,0.406,0.1605,28.81,,,Daikin Park,
199,666211,Taylor Trammell,HOU,KC,2026-09-16T00:10:00Z,Scheduled,8,Michael Wacha,608379,R,40.1,Longshot,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge",38.6,36.6,27.6,47.9,80.0,10.6,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,21,0,"Last 7 games: 4/21, 0 HR","platoon edge; pitcher baseline 6.9% barrel, 21.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.95,38.27,89.11,101.0072,0.3539,0.1613,0.2836,75.93,60.32,47.17,28.2,5.8,0.1451,6.91,35.51,87.85,0.406,0.1605,28.81,,,Daikin Park,
200,673237,Yainer Diaz,HOU,KC,2026-09-16T00:10:00Z,Scheduled,6,Michael Wacha,608379,R,39.8,Longshot,Watch List,Projected Lineup,30.9,36.6,27.6,71.7,50.0,43.4,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,22,0,Contact streak: 9/22 over last 7 games,"same-side matchup; pitcher baseline 6.9% barrel, 21.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.08,39.47,89.27,99.9769,0.4132,0.1501,0.3071,72.48,22.58,35.86,18.54,13.7,0.1568,6.91,35.51,87.85,0.406,0.1605,28.81,,,Daikin Park,
201,701785,Kaelen Culpepper,MIN,NYY,2026-09-15T23:40:00Z,Pre-Game,2,Max Fried,608331,L,39.4,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",18.3,9.9,61.6,100.0,78.0,14.6,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,23,0,"Last 7 games: 5/23, 0 HR","platoon edge; pitcher baseline 3.5% barrel, 7.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.7,31.3,87.3,97.6862,0.372,0.123,0.304,73.6,35.9,42.2,24.1,3.0,0.132,3.47,31.74,86.15,0.2961,0.0872,23.65,Out To RF,69,Target Field,
202,596115,Trevor Story,BOS,TEX,2026-09-16T00:05:00Z,Scheduled,6,Jacob deGrom,594798,R,39.4,Longshot,Watch List,Projected Lineup,25.6,47.0,27.6,71.7,50.0,19.5,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,28,0,"Last 7 games: 7/28, 0 HR","same-side matchup; pitcher baseline 8.5% barrel, 21.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.33,40.28,88.46,99.6948,0.3531,0.1254,0.269,70.96,13.47,42.65,24.39,9.6,0.1245,8.53,43.93,90.31,0.3805,0.1546,29.25,,,Globe Life Field,
203,650333,Luis Arraez,PHI,WSH,2026-09-15T22:45:00Z,Pre-Game,4,Jackson Kent,800600,L,39.3,Longshot,Watch List,Premium Lineup Spot,6.9,36.5,64.7,94.9,50.0,15.3,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,27,0,"Last 7 games: 6/27, 0 HR","same-side matchup; pitcher baseline 8.1% barrel, 1.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,1.24,18.24,86.24,93.8902,0.3714,0.0851,0.303,62.92,0.19,30.17,28.52,6.6,0.107,8.1,41.9,88.2,0.419,0.154,20.9,Out To LF,77,Nationals Park,
204,691788,Joe Mack,MIA,AZ,2026-09-16T01:40:00Z,Scheduled,9,Michael Soroka,647336,R,39.1,Longshot,Watch List,"Projected Lineup, Platoon Edge",34.3,34.7,28.2,40.2,80.0,47.7,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,19,1,"Last 7 games: 6/19, 1 HR","platoon edge; pitcher baseline 7.7% barrel, 8.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.1,39.0,88.7,99.6552,0.391,0.168,0.291,74.3,43.7,48.6,25.2,13.0,0.169,7.68,35.92,88.22,0.3937,0.1483,27.94,,,Chase Field,
205,645277,Ozzie Albies,ATL,CHC,2026-09-15T23:40:00Z,Pre-Game,8,Kevin Gausman,592332,R,38.9,Longshot,Watch List,Platoon Edge,15.9,40.2,65.8,52.4,75.0,0.0,Yes,Yes,8,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,24,0,"Last 7 games: 2/24, 0 HR","switch hitter; pitcher baseline 7.7% barrel, 23.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.2,28.67,87.22,96.6932,0.3537,0.1212,0.2857,68.86,5.67,46.49,31.62,19.5,0.1495,7.73,39.93,88.95,0.4077,0.1613,26.16,Out To RF,78,Wrigley Field,
206,695681,Christian Moore,LAA,SEA,2026-09-16T01:38:00Z,Scheduled,6,Logan Gilbert,669302,R,38.8,Longshot,Watch List,Projected Lineup,23.9,48.7,28.2,71.7,50.0,9.8,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,27,0,"Last 7 games: 5/27, 0 HR","same-side matchup; pitcher baseline 9.7% barrel, 24.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.46,37.42,88.34,99.6034,0.3002,0.1077,0.2498,71.93,24.31,26.01,25.61,2.8,0.1083,9.72,41.49,90.03,0.3831,0.161,28.47,,,Angel Stadium,
207,680757,Steven Kwan,CLE,CWS,2026-09-15T22:40:00Z,Pre-Game,1,Chris Murphy,669684,L,38.7,Longshot,Watch List,"Good Environment, Premium Lineup Spot",2.4,27.0,73.1,93.2,50.0,57.2,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,11,29,1,Contact streak: 11/29 over last 7 games,"same-side matchup; pitcher baseline 7.1% barrel, 2.6 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,0.85,12.93,84.38,92.7318,0.3464,0.0734,0.3191,62.73,0.31,28.79,23.23,5.4,0.0782,7.08,38.01,87.63,0.3207,0.1129,31.88,Out To CF,81,Progressive Field,
208,677649,Ezequiel Duran,TEX,BOS,2026-09-16T00:05:00Z,Scheduled,1,Patrick Sandoval,663776,L,38.7,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",21.0,32.3,27.6,88.7,78.0,8.8,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,28,0,"Last 7 games: 5/28, 0 HR","platoon edge; pitcher baseline 6.5% barrel, 6.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.12,36.43,87.82,99.0858,0.3531,0.1167,0.2883,72.34,24.8,34.96,22.0,11.9,0.1411,6.5,35.7,87.6,0.441,0.161,24.4,,,Globe Life Field,
209,800325,Luis Lara,MIL,PIT,2026-09-15T22:40:00Z,Pre-Game,7,Lake Bachar,669199,R,38.6,Longshot,Watch List,Platoon Edge,20.3,42.0,37.3,64.3,75.0,9.8,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,27,0,"Last 7 games: 5/27, 0 HR","switch hitter; pitcher baseline 9.1% barrel, 12.1 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,4.2,44.2,88.8,99.3116,0.339,0.08,0.301,71.5,18.2,30.0,15.0,1.0,0.089,9.09,36.6,89.32,0.3794,0.1731,32.06,In From RF,80,PNC Park,
210,665750,Leody Taveras,BAL,NYM,2026-09-15T23:10:00Z,Scheduled,7,Sean Manaea,640455,L,38.6,Longshot,Watch List,"Projected Lineup, Platoon Edge",18.9,52.2,24.8,59.8,75.0,19.5,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,16,0,"Last 7 games: 4/16, 0 HR","switch hitter; pitcher baseline 10.4% barrel, 18.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.79,33.66,88.22,99.1534,0.3166,0.1082,0.2592,72.46,25.37,34.14,25.15,6.5,0.1186,10.37,41.76,89.38,0.4444,0.1897,28.61,,,Citi Field,
211,682877,Juan Brito,CIN,LAD,2026-09-15T22:40:00Z,Pre-Game,8,Yoshinobu Yamamoto,808967,R,38.5,Longshot,Watch List,Platoon Edge,19.5,26.3,57.8,52.4,75.0,60.3,Yes,Yes,8,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,20,1,Contact streak: 8/20 over last 7 games,"switch hitter; pitcher baseline 6.5% barrel, 17.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.1,30.4,85.6,96.6491,0.37,0.137,0.294,69.4,3.3,48.2,25.0,2.0,0.156,6.47,37.6,88.09,0.3306,0.1207,22.94,In From RF,91,Great American Ball Park,
212,641680,Jonah Heim,ATH,TB,2026-09-15T22:40:00Z,Pre-Game,8,Griffin Jax,643377,R,38.4,Longshot,Watch List,Platoon Edge,22.8,43.2,41.1,52.4,75.0,4.2,Yes,Yes,8,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,27,0,"Last 7 games: 4/27, 0 HR","switch hitter; pitcher baseline 9.5% barrel, 12.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.31,32.89,87.89,97.7578,0.3621,0.1361,0.2858,69.77,9.31,40.07,27.9,12.4,0.1547,9.47,42.0,89.13,0.4056,0.1576,23.44,None,72,Tropicana Field,
213,701852,Drew Cavanaugh,SF,STL,2026-09-15T23:45:00Z,Pre-Game,7,Andre Pallante,669467,R,38.0,Longshot,Watch List,Platoon Edge,11.2,25.3,68.6,64.3,80.0,34.9,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,13,1,"Last 7 games: 3/13, 1 HR","platoon edge; pitcher baseline 5.4% barrel, 13.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.5,28.9,85.1,98.1727,0.362,0.11,0.317,69.1,4.6,27.8,21.1,1.0,0.047,5.41,35.84,87.8,0.381,0.1279,17.4,Out To LF,91,Busch Stadium,
214,678662,Ezequiel Tovar,COL,SD,2026-09-16T00:40:00Z,Scheduled,9,Walker Buehler,621111,R,38.0,Longshot,Watch List,Projected Lineup,29.0,43.2,38.7,40.2,50.0,43.2,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,21,1,"Last 7 games: 6/21, 1 HR","same-side matchup; pitcher baseline 8.7% barrel, 19.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.34,34.63,88.07,98.9743,0.3885,0.1527,0.2917,72.02,21.1,37.47,30.34,10.4,0.1316,8.73,38.29,88.95,0.4136,0.1631,23.3,,,Coors Field,
215,804606,Konnor Griffin,PIT,MIL,2026-09-15T22:40:00Z,Pre-Game,1,Jacob Misiorowski,694819,R,37.8,Longshot,Watch List,Premium Lineup Spot,28.6,19.2,37.3,93.2,50.0,13.0,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,29,0,"Last 7 games: 6/29, 0 HR","same-side matchup; pitcher baseline 5.1% barrel, 12.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.5,36.0,87.6,100.3159,0.387,0.144,0.303,75.7,57.6,40.2,18.0,5.0,0.122,5.1,34.56,87.67,0.281,0.101,25.85,In From RF,80,PNC Park,
216,691182,Adael Amador,COL,SD,2026-09-16T00:40:00Z,Scheduled,7,Walker Buehler,621111,R,37.8,Longshot,Watch List,"Projected Lineup, Platoon Edge",12.9,41.0,38.7,59.8,75.0,54.7,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,25,2,Hot streak: 2 HR in last 7 games,"switch hitter; pitcher baseline 8.7% barrel, 19.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.53,25.33,83.61,96.8902,0.3256,0.1146,0.2802,69.2,8.01,53.15,24.74,3.1,0.2364,8.73,38.29,88.95,0.4136,0.1631,23.3,,,Coors Field,
