rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
136,679845,Nick Loftin,KC,TB,2026-06-23T22:40:00Z,Pre-Game,2,Shane McClanahan,663556,L,46.3,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",21.8,39.5,41.1,100.0,78.0,48.3,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,25,1,Contact streak: 8/25 over last 7 games,"platoon edge; pitcher baseline 8.5% barrel, 3.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.58,33.79,87.92,97.3548,0.3618,0.1228,0.3122,68.98,4.85,40.09,25.91,2.6,0.1609,8.5,42.0,90.0,0.38,0.142,26.1,None,72,Tropicana Field,
137,656555,Rhys Hoskins,CLE,CWS,2026-06-23T23:40:00Z,Pre-Game,4,Sean Burke,680732,R,45.9,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",36.2,42.8,37.1,90.4,50.0,18.3,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,25,1,"Last 7 games: 3/25, 1 HR","same-side matchup; pitcher baseline 8.2% barrel, 13.9 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,10.79,42.41,88.94,99.8013,0.3309,0.1459,0.2958,71.63,17.09,55.95,30.84,8.5,0.1804,8.19,38.22,89.18,0.408,0.1669,30.98,In From LF,69,Rate Field,
138,682622,Noelvi Marte,CIN,MIL,2026-06-23T23:10:00Z,Pre-Game,7,Brandon Sproat,687075,R,45.5,Longshot,Watch List,Good Environment,25.8,39.6,75.3,64.3,50.0,53.3,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,26,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 7.6% barrel, 9.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.72,32.94,88.36,99.2267,0.3781,0.1534,0.2844,72.53,25.78,49.68,20.57,6.3,0.1787,7.6,41.47,89.44,0.4116,0.1577,23.74,Out To RF,78,Great American Ball Park,
139,518692,Freddie Freeman,LAD,MIN,2026-06-23T23:40:00Z,Scheduled,3,Kendry Rojas,696070,L,45.4,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",49.6,19.9,27.1,92.1,50.0,56.2,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,24,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 8.3% barrel, 0.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.52,45.42,90.76,100.924,0.4908,0.2147,0.3696,70.25,8.33,36.05,29.94,16.3,0.2042,8.3,36.1,84.9,0.302,0.103,22.2,,,Target Field,
140,682177,Daniel Schneemann,CLE,CWS,2026-06-23T23:40:00Z,Pre-Game,5,Sean Burke,680732,R,45.4,Longshot,Watch List,"Projected Lineup, Platoon Edge",30.2,42.8,37.1,81.9,80.0,18.3,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,20,1,"Last 7 games: 2/20, 1 HR","platoon edge; pitcher baseline 8.2% barrel, 13.9 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,8.21,38.48,87.85,98.8054,0.3702,0.1499,0.2935,71.11,12.35,44.97,29.02,7.8,0.1396,8.19,38.22,89.18,0.408,0.1669,30.98,In From LF,69,Rate Field,
141,691777,Max Muncy,ATH,SF,2026-06-24T01:45:00Z,Scheduled,9,Robbie Ray,592662,L,45.4,Longshot,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge",43.2,57.4,19.3,40.2,78.0,36.7,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,17,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 11.1% barrel, 16.4 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,11.78,45.56,90.18,102.0309,0.3754,0.1598,0.2859,74.15,47.43,44.22,25.1,5.5,0.1769,11.07,39.24,89.46,0.4396,0.2045,37.02,,,Oracle Park,
142,657041,Lane Thomas,KC,TB,2026-06-23T22:40:00Z,Pre-Game,1,Shane McClanahan,663556,L,45.2,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",19.9,39.5,41.1,93.2,78.0,58.7,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,30,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 8.5% barrel, 3.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.8,34.94,87.45,98.3371,0.3301,0.1124,0.299,72.28,20.56,41.42,29.29,4.7,0.1274,8.5,42.0,90.0,0.38,0.142,26.1,None,72,Tropicana Field,
143,702616,Jackson Holliday,BAL,LAA,2026-06-24T01:38:00Z,Scheduled,8,Ryan Johnson,696270,R,45.2,Longshot,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge",44.3,47.0,28.2,47.9,80.0,22.8,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,20,1,"Last 7 games: 3/20, 1 HR","platoon edge; pitcher baseline 8.5% barrel, 4.7 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,12.0,44.86,89.43,99.9025,0.411,0.1812,0.3189,70.46,8.25,33.1,32.87,7.9,0.1715,8.5,40.06,88.87,0.471,0.1882,33.39,,,Angel Stadium,
144,663586,Austin Riley,ATL,SD,2026-06-24T01:40:00Z,Scheduled,7,,,,45.2,Longshot,Watch List,"Projected Lineup, Strong Barrel",49.9,41.2,22.6,59.8,60.0,33.9,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,26,0,Contact streak: 9/26 over last 7 games,"handedness incomplete; pitcher baseline 0.0% barrel, 0.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.49,46.56,91.46,102.5971,0.4104,0.1872,0.3076,75.69,57.56,42.11,31.15,10.4,0.1456,,,,,,,,,Petco Park,
145,665953,Andrés Chaparro,WSH,PHI,2026-06-23T22:45:00Z,Pre-Game,3,Jesús Luzardo,666200,L,45.1,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",36.4,22.2,45.2,96.6,78.0,9.3,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,11,0,"Last 7 games: 2/11, 0 HR","platoon edge; pitcher baseline 6.5% barrel, 11.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.14,40.53,88.8,100.7556,0.3864,0.1568,0.3394,74.21,45.1,46.07,29.31,0.3,0.0879,6.49,31.36,86.96,0.3459,0.1193,22.22,In From CF,72,Nationals Park,
