rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
168,663494,Bryan Torres,STL,SF,2026-09-08T00:10:00Z,Scheduled,1,Logan Webb,657277,R,35.6,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",11.0,30.2,19.3,88.7,80.0,45.0,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,16,0,Contact streak: 7/16 over last 7 games,"platoon edge; pitcher baseline 6.4% barrel, 11.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.8,28.0,87.2,96.0741,0.358,0.114,0.298,66.1,1.3,48.6,21.5,4.0,0.126,6.41,38.87,88.58,0.3833,0.1275,19.14,,,Oracle Park,
169,643396,Isiah Kiner-Falefa,BOS,LAA,2026-09-07T17:35:00Z,In Progress,8,Grayson Rodriguez,680570,R,35.5,Longshot,Watch List,No major boost,2.7,55.0,49.7,52.4,50.0,43.2,Yes,Yes,8,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,14,1,"Last 7 games: 4/14, 1 HR","same-side matchup; pitcher baseline 9.3% barrel, 12.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,2.31,26.52,83.06,95.2416,0.3306,0.0674,0.2935,68.04,2.95,38.43,14.04,2.0,0.0818,9.3,46.4,90.8,0.46,0.19,28.3,L To R,77,Fenway Park,
170,699393,Pedro Ramírez,CHC,MIL,2026-09-07T18:10:00Z,Pre-Game,9,Robert Gasser,688107,L,35.5,Longshot,Watch List,Platoon Edge,20.2,34.7,43.6,44.8,75.0,18.3,Yes,Yes,9,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,25,1,"Last 7 games: 3/25, 1 HR","switch hitter; pitcher baseline 7.7% barrel, 9.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.0,39.3,88.7,99.1947,0.346,0.097,0.289,72.3,22.5,40.7,22.7,4.0,0.14,7.67,36.98,88.34,0.3918,0.1558,26.82,In From CF,78,American Family Field,
171,703492,Nick Morabito,NYM,MIA,2026-09-07T17:10:00Z,In Progress,9,Eury Pérez,691587,R,35.2,Longshot,Watch List,No major boost,20.7,48.1,35.0,44.8,50.0,16.6,Yes,Yes,9,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,13,0,"Last 7 games: 3/13, 0 HR","same-side matchup; pitcher baseline 9.8% barrel, 15.5 HR allowed",EV profile; pitcher allows elevated contact,0.0,44.4,92.0,99.5226,0.29,0.057,0.294,70.2,22.6,55.6,11.1,0.0,0.053,9.84,41.39,89.24,0.3814,0.17,31.71,None,72,loanDepot park,
172,680757,Steven Kwan,CLE,BAL,2026-09-07T17:35:00Z,In Progress,1,Trevor Rogers,669432,L,35.0,Longshot,Watch List,Premium Lineup Spot,2.5,36.9,45.1,93.2,50.0,19.5,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,24,0,"Last 7 games: 6/24, 0 HR","same-side matchup; pitcher baseline 7.2% barrel, 13.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,0.92,12.72,84.52,92.7299,0.3436,0.0727,0.3184,62.8,0.31,28.16,23.16,4.7,0.0733,7.18,40.98,88.93,0.3872,0.1489,24.25,In From LF,78,Oriole Park at Camden Yards,
173,683090,Matthew Lugo,KC,AZ,2026-09-07T18:10:00Z,Warmup,8,Derek Law,571882,R,35.0,Longshot,Watch List,No major boost,5.3,49.5,56.7,52.4,50.0,19.5,Yes,Yes,8,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,5,1,4,0,"Last 5 games: 1/4, 0 HR","same-side matchup; pitcher baseline 7.1% barrel, 0.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.99,12.66,74.9,78.5506,0.1144,0.0486,0.0787,72.77,45.56,15.33,6.66,1.2,0.0696,7.1,42.9,90.2,0.605,0.199,21.4,R To L,90,Kauffman Stadium,
174,701785,Kaelen Culpepper,MIN,DET,2026-09-07T19:10:00Z,Pre-Game,8,Troy Melton,675512,R,34.9,Longshot,Watch List,No major boost,21.2,36.9,41.1,52.4,50.0,20.9,Yes,Yes,8,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,27,0,"Last 7 games: 7/27, 0 HR","same-side matchup; pitcher baseline 7.2% barrel, 10.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.2,30.6,87.6,97.6639,0.396,0.139,0.313,73.7,36.2,38.9,25.0,3.0,0.154,7.2,40.59,89.4,0.3787,0.1526,25.33,In From LF,77,Comerica Park,
175,688363,Graham Pauley,MIA,NYM,2026-09-07T17:10:00Z,In Progress,8,Jonah Tong,804636,R,34.6,Longshot,Watch List,Platoon Edge,12.4,39.8,35.0,52.4,80.0,23.4,Yes,Yes,8,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,13,1,"Last 7 games: 2/13, 1 HR","platoon edge; pitcher baseline 8.6% barrel, 1.6 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,5.43,27.21,84.85,96.0861,0.3017,0.1053,0.2514,71.21,15.17,49.48,29.64,2.6,0.1413,8.56,34.08,89.72,0.3898,0.1673,35.62,None,72,loanDepot park,
176,571771,Enrique Hernandez,LAD,CIN,2026-09-08T01:10:00Z,Scheduled,9,Chase Burns,695505,R,34.3,Longshot,Watch List,Projected Lineup,30.1,40.3,27.6,40.2,50.0,8.5,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,17,0,"Last 7 games: 3/17, 0 HR","same-side matchup; pitcher baseline 8.4% barrel, 12.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.66,38.51,88.97,99.3191,0.3478,0.1401,0.2667,70.33,12.42,30.22,27.22,4.4,0.1469,8.45,40.45,89.64,0.3581,0.1467,28.94,,,UNIQLO Field at Dodger Stadium,
177,641680,Jonah Heim,ATH,TOR,2026-09-08T02:05:00Z,Scheduled,7,Dylan Cease,656302,R,34.1,Longshot,Watch List,"Projected Lineup, Platoon Edge",24.0,19.5,30.9,59.8,75.0,34.9,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,26,1,"Last 7 games: 6/26, 1 HR","switch hitter; pitcher baseline 6.2% barrel, 13.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.52,33.8,88.03,97.9131,0.3649,0.1389,0.2872,69.84,9.03,40.77,27.9,12.4,0.1596,6.15,33.72,86.73,0.3065,0.11,25.05,,,Sutter Health Park,
